scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp1.bulk6.phaselate.tightloose.s20260904,least_laxity_first,low,late,loose,20260904,success,1.0,1.0,1.0,6,1.0,6,1.0,1.0526666666666666,669,1289,0
kvp1.bulk6.phaselate.tighttight.s20260901,least_laxity_first,low,late,tight,20260901,success,0.8333333333333334,0.8333333333333334,1.0,6,1.0,6,0.6666666666666666,1.0465,827,1128,0
kvp1.bulk6.phaselate.tighttight.s20260901,kv_constrained_online,low,late,tight,20260901,success,1.0,1.0,1.0,6,1.0,6,1.0,1.0465,740,1220,0
kvp1.bulk6.phaselate.tighttight.s20260902,least_laxity_first,low,late,tight,20260902,success,1.0,1.0,1.0,6,1.0,6,1.0,1.042,487,772,0
kvp1.bulk6.phaselate.tightloose.s20260903,least_laxity_first,low,late,loose,20260903,success,1.0,1.0,1.0,6,1.0,6,1.0,1.0025,524,833,0
kvp1.bulk6.phaselate.tightloose.s20260904,kv_constrained_online,low,late,loose,20260904,success,1.0,1.0,1.0,6,1.0,6,1.0,0.8953333333333333,393,1387,1564
kvp1.bulk6.phaselate.tighttight.s20260903,kv_constrained_online,low,late,tight,20260903,success,1.0,1.0,1.0,6,1.0,6,1.0,1.0508333333333333,500,868,32
kvp1.bulk6.phaselate.tighttight.s20260903,least_laxity_first,low,late,tight,20260903,success,1.0,1.0,1.0,6,1.0,6,1.0,1.0025,524,833,0
kvp1.bulk6.phaselate.tighttight.s20260904,kv_constrained_online,low,late,tight,20260904,success,1.0,1.0,1.0,6,1.0,6,1.0,1.0456666666666667,709,1146,0
kvp1.bulk6.phaselate.tighttight.s20260904,least_laxity_first,low,late,tight,20260904,success,0.9166666666666666,0.9166666666666666,1.0,6,1.0,6,0.8333333333333334,1.0526666666666666,669,1289,0
kvp1.bulk14.phaseearly.tightloose.s20260902,least_laxity_first,high,early,loose,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0856666666666666,854,1883,0
kvp1.bulk14.phaseearly.tightloose.s20260901,least_laxity_first,high,early,loose,20260901,success,0.9,0.9,1.0,14,0.8571428571428571,6,1.0,1.0913333333333333,1153,2190,0
kvp1.bulk14.phaseearly.tightloose.s20260903,least_laxity_first,high,early,loose,20260903,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.108,1602,1797,0
kvp1.bulk14.phaseearly.tightloose.s20260901,kv_constrained_online,high,early,loose,20260901,success,0.85,0.85,1.0,14,0.7857142857142857,6,1.0,1.0475,762,2399,1942
kvp1.bulk14.phaseearly.tightloose.s20260903,kv_constrained_online,high,early,loose,20260903,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0268333333333333,1020,2058,1162
kvp1.bulk14.phaseearly.tightloose.s20260904,least_laxity_first,high,early,loose,20260904,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.1233333333333333,1733,2087,0
kvp1.bulk14.phaseearly.tighttight.s20260901,least_laxity_first,high,early,tight,20260901,success,0.85,0.85,1.0,14,0.8571428571428571,6,0.8333333333333334,1.0913333333333333,1153,2190,0
kvp1.bulk14.phaseearly.tightloose.s20260904,kv_constrained_online,high,early,loose,20260904,success,0.9,0.9,1.0,14,0.8571428571428571,6,1.0,1.0225,1016,2448,1995
kvp1.bulk14.phaseearly.tighttight.s20260901,kv_constrained_online,high,early,tight,20260901,success,0.85,0.85,1.0,14,0.7857142857142857,6,1.0,1.0385,836,2423,688
kvp1.bulk14.phaseearly.tighttight.s20260902,least_laxity_first,high,early,tight,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0856666666666666,854,1883,0
kvp1.bulk14.phaseearly.tighttight.s20260902,kv_constrained_online,high,early,tight,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0456666666666667,1007,1854,732
kvp1.bulk14.phaseearly.tightloose.s20260902,kv_constrained_online,high,early,loose,20260902,success,0.95,0.95,1.0,14,0.9285714285714286,6,1.0,1.0403333333333333,949,1854,1207
