scenario_id,policy_id,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,max_decode_tokens_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturated_steps,budget_saturation_fraction,n_steps,max_waiting_queue,mean_waiting_queue
joint_mm_0206,least_laxity_first,172,1204,172,31,280,1512,385,0.290785498489426,1324,35,10.102719033232628
joint_mm_0206,kv_constrained_online,208,2060,208,28,299,1576,387,0.28794642857142855,1344,34,8.31547619047619
joint_mm_0207,full_prefill,0,0,0,0,19,54,54,0.15789473684210525,342,41,10.61111111111111
joint_mm_0207,chunked_prefill_small,0,0,0,0,2,2,4,0.010723860589812333,373,40,11.032171581769436
joint_mm_0207,estimated_service_time_first,31,221,31,15,15,46,50,0.1392757660167131,359,41,8.013927576601672
joint_mm_0207,weighted_fair_share,32,221,32,15,20,51,53,0.14560439560439561,364,41,8.04945054945055
joint_mm_0207,least_laxity_first,14,59,14,8,18,55,52,0.17218543046357615,302,42,16.211920529801326
joint_mm_0207,kv_constrained_online,35,243,35,15,21,55,54,0.14136125654450263,382,41,8.1282722513089
joint_mm_0208,full_prefill,0,0,0,0,2,2,37,0.018226600985221674,2030,26,14.155172413793103
joint_mm_0208,chunked_prefill_small,0,0,0,0,0,0,0,0.0,2088,28,14.582375478927203
joint_mm_0208,estimated_service_time_first,29,62,29,3,0,0,36,0.016165244723843737,2227,21,7.132465199820386
joint_mm_0208,weighted_fair_share,30,57,30,3,0,0,36,0.016296966953372568,2209,21,7.34857401539158
joint_mm_0208,least_laxity_first,9,13,9,2,3,3,38,0.0195573854863613,1943,42,24.43695316520844
joint_mm_0208,kv_constrained_online,30,53,30,3,8,8,37,0.017011494252873564,2175,21,9.168275862068965
joint_mm_0209,full_prefill,11,38,11,5,6,10,29,0.018412698412698412,1575,36,14.207619047619048
joint_mm_0209,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1671,38,14.843207660083783
joint_mm_0209,estimated_service_time_first,4,15,4,4,5,8,12,0.006749156355455568,1778,31,9.188413948256468
joint_mm_0209,weighted_fair_share,8,24,8,5,8,11,16,0.009478672985781991,1688,31,9.884478672985782
joint_mm_0209,least_laxity_first,0,0,0,0,5,8,6,0.004246284501061571,1413,40,21.359518754423213
joint_mm_0209,kv_constrained_online,12,24,12,3,9,13,21,0.012612612612612612,1665,35,11.53993993993994
joint_mm_0210,full_prefill,18,18,18,1,47,95,228,0.09836065573770492,2318,37,15.247627264883521
joint_mm_0210,chunked_prefill_small,0,0,0,0,0,0,2,0.0008058017727639,2482,38,16.01490733279613
joint_mm_0210,estimated_service_time_first,148,449,148,7,79,148,226,0.09201954397394137,2456,35,13.268322475570033
joint_mm_0210,weighted_fair_share,141,484,141,7,58,102,226,0.09358178053830228,2415,36,13.368944099378883
joint_mm_0210,least_laxity_first,153,527,153,7,34,78,226,0.10203160270880361,2215,37,19.700677200902934
joint_mm_0210,kv_constrained_online,172,526,172,7,84,146,226,0.09072661581694098,2491,36,13.577679646728221
joint_mm_0211,full_prefill,0,0,0,0,21,21,370,0.0738817891373802,5008,27,13.85802715654952
joint_mm_0211,chunked_prefill_small,0,0,0,0,0,0,0,0.0,5669,30,15.229140941965074
joint_mm_0211,estimated_service_time_first,219,439,219,3,6,6,371,0.0708420851632614,5237,23,10.563490548023678
joint_mm_0211,weighted_fair_share,221,411,221,3,21,21,371,0.0711136668583477,5217,24,10.81943645773433
joint_mm_0211,least_laxity_first,219,424,219,3,4,4,370,0.0737198645148436,5019,31,17.125323769675234
joint_mm_0211,kv_constrained_online,250,466,250,3,11,11,370,0.07062416491696889,5239,26,12.058408093147547
joint_mm_0212,full_prefill,8,22,8,4,13,30,16,0.013686911890504704,1169,21,7.578272027373824
joint_mm_0212,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1184,21,7.538006756756757
joint_mm_0212,estimated_service_time_first,6,27,6,7,7,13,13,0.011139674378748929,1167,21,7.572407883461868
joint_mm_0212,weighted_fair_share,6,21,6,4,7,14,13,0.011139674378748929,1167,21,7.572407883461868
joint_mm_0212,least_laxity_first,4,6,4,3,8,14,11,0.009409751924721984,1169,21,7.751069289991445
joint_mm_0212,kv_constrained_online,5,17,5,5,5,9,12,0.010282776349614395,1167,21,7.649528706083976
joint_mm_0213,full_prefill,0,0,0,0,1,1,2,0.0032733224222585926,611,15,2.8919803600654665
joint_mm_0213,chunked_prefill_small,0,0,0,0,0,0,0,0.0,615,16,3.0504065040650405
joint_mm_0213,estimated_service_time_first,0,0,0,0,1,1,1,0.0014814814814814814,675,14,2.24
joint_mm_0213,weighted_fair_share,0,0,0,0,1,1,1,0.0016207455429497568,617,14,2.478119935170178
joint_mm_0213,least_laxity_first,0,0,0,0,1,1,1,0.0016366612111292963,611,15,3.369885433715221
joint_mm_0213,kv_constrained_online,0,0,0,0,1,1,1,0.0015552099533437014,643,14,2.337480559875583
joint_mm_0214,full_prefill,0,0,0,0,18,65,31,0.03144016227180527,986,22,5.302231237322515
joint_mm_0214,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1002,22,5.279441117764471
joint_mm_0214,estimated_service_time_first,10,87,10,17,16,63,30,0.030643513789581207,979,21,5.045965270684372
joint_mm_0214,weighted_fair_share,10,85,10,16,16,63,30,0.03006012024048096,998,21,4.9839679358717435
joint_mm_0214,least_laxity_first,4,8,4,3,16,63,30,0.0353356890459364,849,22,7.385159010600707
joint_mm_0214,kv_constrained_online,10,82,10,16,16,63,30,0.029880478087649404,1004,22,5.104581673306773
joint_mm_0215,full_prefill,14,32,14,6,43,165,69,0.12994350282485875,531,14,1.7118644067796611
joint_mm_0215,chunked_prefill_small,0,0,0,0,15,52,20,0.03710575139146568,539,16,2.0686456400742115
joint_mm_0215,estimated_service_time_first,27,164,27,13,48,173,70,0.1318267419962335,531,13,1.6760828625235404
joint_mm_0215,weighted_fair_share,18,140,18,14,45,167,72,0.1340782122905028,537,15,1.7132216014897579
joint_mm_0215,least_laxity_first,18,37,18,8,50,176,73,0.1374764595103578,531,17,2.175141242937853
joint_mm_0215,kv_constrained_online,22,139,22,15,42,162,68,0.128060263653484,531,13,1.8097928436911488
joint_mm_0216,full_prefill,16,92,16,14,14,28,27,0.01641337386018237,1645,41,12.399392097264437
joint_mm_0216,chunked_prefill_small,0,0,0,0,0,0,0,0.0,1633,39,11.251071647274953
joint_mm_0216,estimated_service_time_first,14,82,14,13,9,14,27,0.017142857142857144,1575,37,9.314920634920634
joint_mm_0216,weighted_fair_share,17,113,17,14,9,15,30,0.018094089264173704,1658,37,9.519300361881784
