scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,favored_violations,favored_total,other_violations,other_total,jains_fairness_index,mean_ttft,status
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,estimated_service_time_first,0.925,0.925,1.0,1,60,8,60,0.9960388035569929,1.7792406275868515,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,fifo,0.5583333333333333,0.5583333333333333,1.0,53,60,0,60,0.6151000274047684,3.408832294253517,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,estimated_service_time_first,0.85,0.85,1.0,0,60,18,60,0.9697986577181207,2.805499794576394,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,fifo,0.475,0.475,1.0,55,60,8,60,0.5952729937706119,5.082058127909727,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,aging_priority,1.0,1.0,1.0,0,60,0,60,1.0,2.2236072942535183,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,aging_priority,0.6083333333333333,0.6083333333333333,1.0,21,60,26,60,0.9953305939484499,3.326808127909727,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,fifo,0.6,0.6,1.0,48,60,0,60,0.6923076923076923,2.1278848832250508,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,estimated_service_time_first,0.9583333333333334,0.9583333333333334,1.0,1,60,4,60,0.9993199335046092,1.208243216558383,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,weighted_fair_share,0.8666666666666667,0.8666666666666667,1.0,8,60,8,60,1.0,1.9523489609201845,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,aging_priority,1.0,1.0,1.0,0,60,0,60,1.0,1.4133098832250501,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,fifo,0.6083333333333333,0.6083333333333333,1.0,47,60,0,60,0.7069514460068985,3.0170788672790514,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,estimated_service_time_first,0.925,0.925,1.0,0,60,9,60,0.993468795355588,1.7135288672790518,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,weighted_fair_share,0.9416666666666667,0.9416666666666667,1.0,3,60,4,60,0.9999216914643695,1.2698265498917167,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,aging_priority,0.975,0.975,1.0,1,60,2,60,0.9999269539810081,2.0146705339457185,success
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,weighted_fair_share,0.7583333333333333,0.7583333333333333,1.0,12,60,17,60,0.9969901276185889,3.1853414612430613,success
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260816,estimated_service_time_first,0.8583333333333333,0.8583333333333333,1.0,1,60,16,60,0.9792320472586302,2.692413864368362,success
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260816,fifo,0.49166666666666664,0.49166666666666664,1.0,53,60,8,60,0.6322193970214312,5.02213053103503,success
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,weighted_fair_share,0.8333333333333334,0.8333333333333334,1.0,11,60,9,60,0.9996001599360254,1.925712200612385,success
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260816,aging_priority,0.7583333333333333,0.7583333333333333,1.0,12,60,17,60,0.9969901276185889,3.3341721977016943,success
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260817,estimated_service_time_first,0.7916666666666666,0.7916666666666666,1.0,0,60,25,60,0.9352331606217618,3.600983800538999,success
