canonical_scenario_id,mechanism_family,split,seed,reference_anwg,reference_num_completed,n_steps,n_branch_rows,n_disagreement_evaluated,n_agreement_evaluated
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260816,0.75,120,,0,0,0
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260817,0.6583333333333333,120,,0,0,0
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260816,0.85,120,,0,0,0
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260817,0.7416666666666667,120,,0,0,0
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260816,0.8666666666666667,120,,0,0,0
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260817,0.7583333333333333,120,,0,0,0
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,val,20260816,0.6484848484848484,120,,8,5,3
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,val,20260817,0.5242424242424243,120,,8,5,3
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260816,0.7696969696969697,120,,8,5,3
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260817,0.5545454545454546,120,,8,5,3
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favshort.noise0.00.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260816,0.9727272727272728,120,,8,5,3
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favshort.noise0.00.s20260817,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260817,0.9727272727272728,120,,8,5,3
FAMILY_A_FAIRNESS_STARVATION_V2::fs2.util1.1000.skew10.0000.favshort.noise0.30.s20260816,FAMILY_A_FAIRNESS_STARVATION_V2,train,20260816,0.9787878787878788,120,,8,5,3
