state_id,num_non_sbs_branches,mean_ref_latency_original,mean_ref_latency_corrected,mean_ref_latency_delta_s,mean_ref_latency_changed,p95_ref_latency_original,p95_ref_latency_corrected,p95_ref_latency_delta_s,p95_ref_latency_changed,defect_source_branch_id
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1144,1,0.046027933174455735,0.04604201768149799,-1.4084507042252947e-05,True,0.1251706295967102,0.1251706295967102,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1144::c4b1fb6b0b89aa2d403ffb2a039339bd4974ec477f51029ccaa0cecbbbe56680
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1243,1,0.0463787423169172,0.046371334909509794,7.407407407407363e-06,True,0.1324115604400635,0.1324115604400635,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1243::fa40fd61abb3a43fe214751d55680ea219b6e4d39ea482e48e80afb183a6724f
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1344,1,0.04646454617404205,0.04644129036008856,2.3255813953487747e-05,True,0.12056254081726074,0.12056254081726074,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1344::da3b058d9b3c2e2a5c572f04d599105d0af051ffb49bfea8cee6e6717f13daf1
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1446,1,0.04747556706725581,0.047434583460698426,4.098360655738209e-05,True,0.1251706295967102,0.1251706295967102,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1446::c9799019b08896f6921eaf7da4c11f0732626c860653d64bee28a94b75db253b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1455,1,0.04764891886120007,0.04768197671243973,-3.305785123966509e-05,True,0.12582892799377454,0.12582892799377454,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1455::c9799019b08896f6921eaf7da4c11f0732626c860653d64bee28a94b75db253b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1456,1,0.04789382664362596,0.047935493310292634,-4.1666666666675956e-05,True,0.1269260334014893,0.1269260334014893,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1456::c9799019b08896f6921eaf7da4c11f0732626c860653d64bee28a94b75db253b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1912,1,0.0521151384128038,0.05212589110097586,-1.0752688172056823e-05,True,0.1333477771759032,0.13460577125549306,-0.001257994079589847,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1912::db1b91eee82ac15e11f7e109963ab39eed2ed2faeffd0b6426b78fb57315c5ae
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1919,1,0.05214865012790855,0.052409519693125926,-0.00026086956521737675,True,0.13383763332366957,0.13570287666320816,-0.0018652433395385803,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1919::db1b91eee82ac15e11f7e109963ab39eed2ed2faeffd0b6426b78fb57315c5ae
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1942,1,0.05268036539289695,0.05271369872623028,-3.333333333332966e-05,True,0.1378970874786377,0.1378970874786377,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1942::4c0ad6668984730da6ea1a8ba0ddcc0096cb5f1ae7484391bfa9e20f311f1eb2
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1952,3,0.05338689842652747,0.0530947635950668,0.0002921348314606706,True,0.13899419288635248,0.13899419288635248,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1952::4c0ad6668984730da6ea1a8ba0ddcc0096cb5f1ae7484391bfa9e20f311f1eb2
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1955,2,0.0534266457557679,0.05305164575576791,0.0003749999999999934,True,0.14009129829406725,0.14009129829406725,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1955::4c0ad6668984730da6ea1a8ba0ddcc0096cb5f1ae7484391bfa9e20f311f1eb2
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1967,2,0.05361266318134888,0.053348295365256905,0.00026436781609197324,True,0.14118840370178234,0.14118840370178234,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1967::4c0ad6668984730da6ea1a8ba0ddcc0096cb5f1ae7484391bfa9e20f311f1eb2
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1977,1,0.05367333281317432,0.05354542583643012,0.0001279069767441965,True,0.1422855091094971,0.1422855091094971,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1977::4c0ad6668984730da6ea1a8ba0ddcc0096cb5f1ae7484391bfa9e20f311f1eb2
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2053,1,0.05319295975014024,0.05321765110816494,-2.469135802470046e-05,True,0.1477710361480713,0.1477710361480713,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2053::dbb90889c553d295092f1b8a66c038d6d6643f5cd60df6dbf8849e2d2ed700e4
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2746,2,0.058703442454338166,0.05764094245433817,0.001062499999999994,True,0.13148320951461778,0.13548320951461787,-0.004000000000000087,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2746::d6595f28619b645c0b2067a0689055c70a3712438cd7fb45747afffb670e14cb
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2757,2,0.05909636578661336,0.05843679131852829,0.0006595744680850738,True,0.1322386133193968,0.13723861331939682,-0.005000000000000032,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2757::d6595f28619b645c0b2067a0689055c70a3712438cd7fb45747afffb670e14cb
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2765,1,0.05964448356628425,0.05910100530541471,0.0005434782608695343,True,0.1193254895210265,0.13899401712417603,-0.01966852760314952,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2765::f4bac6ab8cf2d4fabc3a85bd5abe3cc7e9f2ce71769e1f06bb4ab3dd21dd1ce8
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2768,2,0.05889940312703455,0.05972162534925682,-0.0008222222222222658,True,0.1094509693145751,0.14074942092895498,-0.031298451614379885,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2768::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2772,2,0.05960063674233185,0.060373364015059126,-0.0007727272727272791,True,0.10959852361679094,0.1425048247337342,-0.032906301116943246,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2772::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2776,2,0.06075493085107146,0.060894465734792395,-0.00013953488372093342,True,0.11233596096038823,0.14426022853851314,-0.031924267578124915,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2776::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2784,2,0.06114045152210061,0.06125949914114824,-0.00011904761904762973,True,0.11276353197097766,0.1460156323432921,-0.033252100372314436,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2784::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2794,2,0.061128657550346646,0.06144573072107835,-0.00031707317073170066,True,0.14577103614807152,0.1477710361480713,-0.0019999999999997797,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2794::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2796,2,0.061059701299667424,0.06155970129966744,-0.0005000000000000143,True,0.1467134865760802,0.15051348657608019,-0.003799999999999998,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2796::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2808,2,0.060405952355800596,0.06135467030451855,-0.0009487179487179531,True,0.1190559370040897,0.15325593700408946,-0.03419999999999976,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2808::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2817,2,0.06277718865244018,0.06240876759980861,0.00036842105263157343,True,0.15004838743209825,0.15599838743209837,-0.005950000000000122,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2817::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2819,2,0.06379254464845405,0.06344119329710271,0.00035135135135133666,True,0.15314083786010713,0.15874083786010726,-0.005600000000000133,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2819::aee42031f64c04ca6b323cb79c8a4e809be74b03a47411be3832aa96c21d115b
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2826,1,0.07098589038848885,0.06426366816626662,0.006722222222222227,True,0.202907792568207,0.16148328828811653,0.04142450428009048,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2826::f59cddf74bf1736d50937b6e94420871a097970dbe6d91b58fdf4dbf4f1dd4f6
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2842,2,0.06483759945460735,0.06492331374032163,-8.571428571428619e-05,True,0.1439257387161254,0.16422573871612542,-0.020300000000000012,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2842::f4bac6ab8cf2d4fabc3a85bd5abe3cc7e9f2ce71769e1f06bb4ab3dd21dd1ce8
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2851,2,0.06372508884878726,0.0635192064958461,0.00020588235294116686,True,0.15396818914413446,0.1669681891441345,-0.01300000000000004,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2851::f4bac6ab8cf2d4fabc3a85bd5abe3cc7e9f2ce71769e1f06bb4ab3dd21dd1ce8
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2871,1,0.06649457307295371,0.06455517913355979,0.0019393939393939214,True,0.17931063957214363,0.1697106395721436,0.009600000000000025,True,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2871::f59cddf74bf1736d50937b6e94420871a097970dbe6d91b58fdf4dbf4f1dd4f6
phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2886,1,0.06543443220853812,0.06505943220853813,0.00037499999999998646,True,0.1724530900001527,0.1724530900001527,0.0,False,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2886::f59cddf74bf1736d50937b6e94420871a097970dbe6d91b58fdf4dbf4f1dd4f6
