all_alternatives_harmful,all_alternatives_zero,axis,beneficial_opportunity,condition_id,max_a_lat,mean_ref_latency,mixed_beneficial_and_harmful,num_non_sbs_branches,oracle_headroom,p95_ref_latency,regime_stage,source_dataset,state_id,window_index
0,0,active_sequence_capacity,1,active_4,1.4084507042252947e-05,0.04604201768149799,0,1,1.4084507042252947e-05,0.1251706295967102,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1144,11
1,0,active_sequence_capacity,0,active_4,-7.407407407407363e-06,0.046371334909509794,0,1,0.0,0.1324115604400635,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1243,11
1,0,active_sequence_capacity,0,active_4,-2.3255813953487747e-05,0.04644129036008856,0,1,0.0,0.12056254081726074,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1344,11
1,0,active_sequence_capacity,0,active_4,-4.098360655738209e-05,0.047434583460698426,0,1,0.0,0.1251706295967102,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1446,11
0,0,active_sequence_capacity,1,active_4,3.305785123966509e-05,0.04768197671243973,0,1,3.305785123966509e-05,0.12582892799377454,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1455,11
0,0,active_sequence_capacity,1,active_4,4.1666666666675956e-05,0.047935493310292634,0,1,4.1666666666675956e-05,0.1269260334014893,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1456,11
0,0,active_sequence_capacity,1,active_4,1.0752688172056823e-05,0.05212589110097586,0,1,1.0752688172056823e-05,0.13460577125549306,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1912,11
0,0,active_sequence_capacity,1,active_4,0.00026086956521737675,0.052409519693125926,0,1,0.00026086956521737675,0.13570287666320816,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1919,11
0,0,active_sequence_capacity,1,active_4,3.333333333332966e-05,0.05271369872623028,0,1,3.333333333332966e-05,0.1378970874786377,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1942,11
0,0,active_sequence_capacity,1,active_4,0.00016853932584270231,0.0530947635950668,1,3,0.00016853932584270231,0.13899419288635248,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1952,11
0,0,active_sequence_capacity,0,active_4,0.0,0.05305164575576791,0,2,0.0,0.14009129829406725,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1955,11
1,0,active_sequence_capacity,0,active_4,-1.1494252873577027e-05,0.053348295365256905,0,2,0.0,0.14118840370178234,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1967,11
1,0,active_sequence_capacity,0,active_4,-0.0001279069767441965,0.05354542583643012,0,1,0.0,0.1422855091094971,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1977,11
0,0,active_sequence_capacity,1,active_4,2.469135802470046e-05,0.05321765110816494,0,1,2.469135802470046e-05,0.1477710361480713,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2053,11
0,0,active_sequence_capacity,1,active_4,0.0008750000000000147,0.05764094245433817,1,2,0.0008750000000000147,0.13548320951461787,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2746,11
1,0,active_sequence_capacity,0,active_4,-2.1276595744641746e-05,0.05843679131852829,0,2,0.0,0.13723861331939682,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2757,11
1,0,active_sequence_capacity,0,active_4,-0.0005434782608695343,0.05910100530541471,0,1,0.0,0.13899401712417603,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2765,11
0,0,active_sequence_capacity,1,active_4,0.0008222222222222658,0.05972162534925682,0,2,0.0008222222222222658,0.14074942092895498,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2768,11
0,0,active_sequence_capacity,1,active_4,0.0007727272727272791,0.060373364015059126,0,2,0.0007727272727272791,0.1425048247337342,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2772,11
0,0,active_sequence_capacity,1,active_4,0.00013953488372093342,0.060894465734792395,1,2,0.00013953488372093342,0.14426022853851314,strongest-valid,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2776,11
