active_cap_binding_fraction,active_sequence_capacity_binding_states,active_sequence_capacity_near_binding_states,arrival_load_ratio,arrival_multiplier,axis,axis_value,canonical_action_collapse_states,completed_request_count,completion_fraction,condition_id,disagreement_rate,disagreement_states,distinct_alternative_action_hashes,drain_steps,dropped_request_count,fresh_window_id,kv_cap_binding_fraction,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,latency_outcomes_used_for_regime_selection,max_active_pressure,max_active_sequences,max_active_sequences_param,max_kv_pressure,max_kv_tokens_param,max_kv_utilization,max_observed_kv_tokens,max_queue_length,mean_active_pressure,mean_active_sequences,mean_kv_pressure,mean_kv_utilization,mean_observed_kv_tokens,mean_queue_length,native_controls,near_kv_cap_fraction,no_policy_choice_states,num_total_requests_metric,policy_ranking_proxy_difference_states,pressure_order,pressure_regime_class,requests,sbs_arrival_normalized_weighted_goodput,sbs_decision_states,scenario_id,schema_version,simulation_end_condition,source_dataset,source_record_id_end,source_record_id_start,source_row_end,source_row_start,token_budget_binding_fraction,token_budget_binding_proxy_states,true_canonical_disagreement_states,unfinished_request_count,unique_alternative_canonical_action_hashes,validity_class,window_index,windows_with_disagreement
0.0,0,0,1.0,1.0,active_sequence_capacity,512,16,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w21,0.0,0,0,False,0.013671875,7,512,0.0021955,8000000,0.0021955,17564.0,3,0.0029973477193995382,1.5346420323325636,0.0004348543302540416,0.0004348543302540416,3478.834642032333,0.046189376443418015,1,0.0,4330,200,16,0,VALID_UNCONSTRAINED,200,1.0,4330,FRESH_LATENCY_SUPPORT::azure_2023_code::w21::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,4399,4200,4399,4200,0.0,0,0,0,0,VALID_UNCONSTRAINED,21,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,11,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w23,0.0,0,0,False,0.013671875,7,512,0.00192,8000000,0.00192,15360.0,5,0.0028009342321099035,1.4340783268402706,0.0003022314435103547,0.0003022314435103547,2417.851548082838,0.04100881689563256,1,0.0,4877,200,11,0,VALID_UNCONSTRAINED,200,1.0,4877,FRESH_LATENCY_SUPPORT::azure_2023_code::w23::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,4799,4600,4799,4600,0.0,0,0,0,0,VALID_UNCONSTRAINED,23,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,7,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w25,0.0,0,0,False,0.01171875,6,512,0.001091375,8000000,0.001091375,8731.0,3,0.00235835720747889,1.2074788902291917,0.0002859774577804584,0.0002859774577804584,2287.819662243667,0.04020908725371934,1,0.0,4974,200,7,0,VALID_UNCONSTRAINED,200,1.0,4974,FRESH_LATENCY_SUPPORT::azure_2023_code::w25::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,5199,5000,5199,5000,0.0,0,0,0,0,VALID_UNCONSTRAINED,25,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,7,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w27,0.0,0,0,False,0.01171875,6,512,0.002515875,8000000,0.002515875,20127.0,2,0.0025204247110182,1.2904574520413183,0.0003165534001475652,0.0003165534001475652,2532.427201180522,0.04918839153959666,1,0.0,4066,200,7,0,VALID_UNCONSTRAINED,200,1.0,4066,FRESH_LATENCY_SUPPORT::azure_2023_code::w27::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,5599,5400,5599,5400,0.0,0,0,0,0,VALID_UNCONSTRAINED,27,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,10,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w29,0.0,0,0,False,0.009765625,5,512,0.001627,8000000,0.001627,13016.0,4,0.0023206611881785282,1.1881785283474064,0.0002919734117410535,0.0002919734117410535,2335.787293928428,0.04020908725371934,1,0.0,4974,200,10,0,VALID_UNCONSTRAINED,200,1.0,4974,FRESH_LATENCY_SUPPORT::azure_2023_code::w29::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,5999,5800,5999,5800,0.0,0,0,0,0,VALID_UNCONSTRAINED,29,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,10,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w31,0.0,0,0,False,0.013671875,7,512,0.002345,8000000,0.002345,18760.0,3,0.0028613345937293,1.4650033119894017,0.00035521784610289246,0.00035521784610289246,2841.7427688231396,0.044159858688452194,1,0.0,4529,200,10,0,VALID_UNCONSTRAINED,200,1.0,4529,FRESH_LATENCY_SUPPORT::azure_2023_code::w31::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,6399,6200,6399,6200,0.0,0,0,0,0,VALID_UNCONSTRAINED,31,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,16,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w33,0.0,0,0,False,0.015625,8,512,0.002237125,8000000,0.002237125,17897.0,3,0.00299300755444091,1.532419867873746,0.0004830595485686323,0.0004830595485686323,3864.4763885490584,0.048935649620748714,1,0.0,4087,200,16,0,VALID_UNCONSTRAINED,200,1.0,4087,FRESH_LATENCY_SUPPORT::azure_2023_code::w33::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,6799,6600,6799,6600,0.0,0,0,0,0,VALID_UNCONSTRAINED,33,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,8,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w35,0.0,0,0,False,0.009765625,5,512,0.00187625,8000000,0.00187625,15010.0,3,0.0030515131826152303,1.562374749498998,0.0003708467246993988,0.0003708467246993988,2966.7737975951904,0.050100200400801605,1,0.0,3992,200,8,0,VALID_UNCONSTRAINED,200,1.0,3992,FRESH_LATENCY_SUPPORT::azure_2023_code::w35::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,7199,7000,7199,7000,0.0,0,0,0,0,VALID_UNCONSTRAINED,35,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,13,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w37,0.0,0,0,False,0.01171875,6,512,0.002242125,8000000,0.002242125,17937.0,3,0.002515604975283779,1.2879897473452948,0.00044829675485170273,0.00044829675485170273,3586.3740388136216,0.03661662394727206,1,0.0,5462,200,13,0,VALID_UNCONSTRAINED,200,1.0,5462,FRESH_LATENCY_SUPPORT::azure_2023_code::w37::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,7599,7400,7599,7400,0.0,0,0,0,0,VALID_UNCONSTRAINED,37,0
0.0,0,0,1.0,1.0,active_sequence_capacity,512,13,200,1.0,active_512,0.0,0,0,250000,0,azure_2023_code::w39,0.0,0,0,False,0.013671875,7,512,0.0017585,8000000,0.0017585,14068.0,2,0.0028610564604685212,1.4648609077598829,0.0003894826134699854,0.0003894826134699854,3115.860907759883,0.04880429477794046,1,0.0,4098,200,13,0,VALID_UNCONSTRAINED,200,1.0,4098,FRESH_LATENCY_SUPPORT::azure_2023_code::w39::faithful::active_512,industry_realism_action_opportunity_phase_b_v2.0.0,COMPLETE_ALL_REQUESTS,azure_2023_code,7999,7800,7999,7800,0.0,0,0,0,0,VALID_UNCONSTRAINED,39,0
