scenario_id,policy_name,anwg,inter_violations,inter_total,bulk_violations,bulk_total,jains_fairness_index,mean_ttft,status
fs.util0.5000.skew1.0000.vol0.1000.s20260815,fifo,1.0,0,12,0,108,1.0,0.1834766024455273,success
fs.util0.5000.skew1.0000.vol0.1000.s20260815,aging_priority,1.0,0,12,0,108,1.0,0.16631826911219383,success
fs.util0.5000.skew1.0000.vol0.1000.s20260815,estimated_service_time_first,1.0,0,12,0,108,1.0,0.15967660244552714,success
fs.util0.5000.skew1.0000.vol0.1000.s20260815,weighted_fair_share,1.0,0,12,0,108,1.0,0.15967660244552714,success
fs.util0.5000.skew1.0000.vol0.1000.s20260816,weighted_fair_share,1.0,0,12,0,108,1.0,0.1023592818968853,success
fs.util0.5000.skew1.0000.vol0.1000.s20260816,aging_priority,1.0,0,12,0,108,1.0,0.10575928189688537,success
fs.util0.5000.skew1.0000.vol0.1000.s20260816,fifo,1.0,0,12,0,108,1.0,0.11122594856355197,success
fs.util0.5000.skew1.0000.vol0.1000.s20260816,estimated_service_time_first,1.0,0,12,0,108,1.0,0.1023592818968853,success
fs.util0.5000.skew1.0000.vol0.2000.s20260815,estimated_service_time_first,1.0,0,24,0,96,1.0,0.1499535454493389,success
fs.util0.5000.skew1.0000.vol0.2000.s20260815,aging_priority,1.0,0,24,0,96,1.0,0.15582021211600558,success
fs.util0.5000.skew1.0000.vol0.2000.s20260815,fifo,0.9833333333333333,2,24,0,96,0.9981132075471698,0.18142021211600562,success
fs.util0.5000.skew1.0000.vol0.2000.s20260816,fifo,1.0,0,24,0,96,1.0,0.11561735276576601,success
fs.util0.5000.skew1.0000.vol0.2000.s20260816,estimated_service_time_first,1.0,0,24,0,96,1.0,0.09683401943243285,success
fs.util0.5000.skew1.0000.vol0.2000.s20260816,aging_priority,1.0,0,24,0,96,1.0,0.10112568609909946,success
fs.util0.5000.skew1.0000.vol0.2000.s20260815,weighted_fair_share,1.0,0,24,0,96,1.0,0.15187854544933888,success
fs.util0.5000.skew1.0000.vol0.2000.s20260816,weighted_fair_share,1.0,0,24,0,96,1.0,0.09683401943243285,success
fs.util0.5000.skew1.0000.vol0.3000.s20260815,fifo,1.0,0,36,0,84,1.0,0.1605968235774285,success
fs.util0.5000.skew1.0000.vol0.3000.s20260815,estimated_service_time_first,1.0,0,36,0,84,1.0,0.13553849024409514,success
fs.util0.5000.skew1.0000.vol0.3000.s20260815,aging_priority,1.0,0,36,0,84,1.0,0.13457182357742853,success
fs.util0.5000.skew1.0000.vol0.3000.s20260816,fifo,0.9916666666666667,1,36,0,84,0.9998016660055535,0.12411814826583102,success
fs.util0.5000.skew1.0000.vol0.3000.s20260816,estimated_service_time_first,1.0,0,36,0,84,1.0,0.10610981493249778,success
fs.util0.5000.skew1.0000.vol0.3000.s20260815,weighted_fair_share,1.0,0,36,0,84,1.0,0.13553849024409514,success
fs.util0.5000.skew1.0000.vol0.3000.s20260816,aging_priority,1.0,0,36,0,84,1.0,0.11295981493249775,success
fs.util0.5000.skew1.0000.vol0.3000.s20260816,weighted_fair_share,0.9916666666666667,1,36,0,84,0.9998016660055535,0.1060181482658311,success
fs.util0.5000.skew3.0000.vol0.1000.s20260815,fifo,1.0,0,12,0,108,1.0,0.1834766024455273,success
fs.util0.5000.skew3.0000.vol0.1000.s20260815,estimated_service_time_first,1.0,0,12,0,108,1.0,0.15967660244552714,success
fs.util0.5000.skew3.0000.vol0.1000.s20260815,aging_priority,1.0,0,12,0,108,1.0,0.16631826911219383,success
fs.util0.5000.skew3.0000.vol0.1000.s20260816,fifo,1.0,0,12,0,108,1.0,0.11122594856355197,success
fs.util0.5000.skew3.0000.vol0.1000.s20260816,estimated_service_time_first,1.0,0,12,0,108,1.0,0.1023592818968853,success
fs.util0.5000.skew3.0000.vol0.1000.s20260816,aging_priority,1.0,0,12,0,108,1.0,0.10575928189688537,success
fs.util0.5000.skew3.0000.vol0.1000.s20260815,weighted_fair_share,1.0,0,12,0,108,1.0,0.15967660244552714,success
fs.util0.5000.skew3.0000.vol0.2000.s20260815,estimated_service_time_first,1.0,0,24,0,96,1.0,0.1499535454493389,success
fs.util0.5000.skew3.0000.vol0.2000.s20260815,fifo,0.9833333333333333,2,24,0,96,0.9981132075471698,0.18142021211600562,success
fs.util0.5000.skew3.0000.vol0.1000.s20260816,weighted_fair_share,1.0,0,12,0,108,1.0,0.1023592818968853,success
fs.util0.5000.skew3.0000.vol0.2000.s20260815,aging_priority,1.0,0,24,0,96,1.0,0.15582021211600558,success
fs.util0.5000.skew3.0000.vol0.2000.s20260816,fifo,1.0,0,24,0,96,1.0,0.11561735276576601,success
fs.util0.5000.skew3.0000.vol0.2000.s20260815,weighted_fair_share,1.0,0,24,0,96,1.0,0.1499535454493389,success
fs.util0.5000.skew3.0000.vol0.2000.s20260816,estimated_service_time_first,1.0,0,24,0,96,1.0,0.09683401943243285,success
fs.util0.5000.skew3.0000.vol0.3000.s20260815,fifo,1.0,0,36,0,84,1.0,0.1605968235774285,success
fs.util0.5000.skew3.0000.vol0.2000.s20260816,aging_priority,1.0,0,24,0,96,1.0,0.10112568609909946,success
fs.util0.5000.skew3.0000.vol0.3000.s20260815,estimated_service_time_first,1.0,0,36,0,84,1.0,0.13553849024409514,success
fs.util0.5000.skew3.0000.vol0.2000.s20260816,weighted_fair_share,1.0,0,24,0,96,1.0,0.09683401943243285,success
fs.util0.5000.skew3.0000.vol0.3000.s20260815,aging_priority,1.0,0,36,0,84,1.0,0.13457182357742853,success
fs.util0.5000.skew3.0000.vol0.3000.s20260815,weighted_fair_share,1.0,0,36,0,84,1.0,0.13553849024409514,success
fs.util0.5000.skew3.0000.vol0.3000.s20260816,fifo,0.9916666666666667,1,36,0,84,0.9998016660055535,0.12411814826583102,success
fs.util0.5000.skew3.0000.vol0.3000.s20260816,estimated_service_time_first,1.0,0,36,0,84,1.0,0.10610981493249778,success
fs.util0.5000.skew3.0000.vol0.3000.s20260816,aging_priority,1.0,0,36,0,84,1.0,0.11179314826583107,success
fs.util0.5000.skew5.0000.vol0.1000.s20260815,fifo,1.0,0,12,0,108,1.0,0.1834766024455273,success
fs.util0.5000.skew3.0000.vol0.3000.s20260816,weighted_fair_share,1.0,0,36,0,84,1.0,0.10610981493249778,success
fs.util0.5000.skew5.0000.vol0.1000.s20260815,estimated_service_time_first,1.0,0,12,0,108,1.0,0.15967660244552714,success
fs.util0.5000.skew5.0000.vol0.1000.s20260815,aging_priority,1.0,0,12,0,108,1.0,0.16631826911219383,success
fs.util0.5000.skew5.0000.vol0.1000.s20260816,fifo,1.0,0,12,0,108,1.0,0.11122594856355197,success
fs.util0.5000.skew5.0000.vol0.1000.s20260816,estimated_service_time_first,1.0,0,12,0,108,1.0,0.1023592818968853,success
fs.util0.5000.skew5.0000.vol0.1000.s20260815,weighted_fair_share,1.0,0,12,0,108,1.0,0.15967660244552714,success
fs.util0.5000.skew5.0000.vol0.1000.s20260816,aging_priority,1.0,0,12,0,108,1.0,0.10575928189688537,success
fs.util0.5000.skew5.0000.vol0.2000.s20260815,estimated_service_time_first,1.0,0,24,0,96,1.0,0.1499535454493389,success
fs.util0.5000.skew5.0000.vol0.2000.s20260815,fifo,0.9833333333333333,2,24,0,96,0.9981132075471698,0.18142021211600562,success
fs.util0.5000.skew5.0000.vol0.1000.s20260816,weighted_fair_share,1.0,0,12,0,108,1.0,0.1023592818968853,success
fs.util0.5000.skew5.0000.vol0.2000.s20260815,aging_priority,1.0,0,24,0,96,1.0,0.15582021211600558,success
fs.util0.5000.skew5.0000.vol0.2000.s20260816,fifo,1.0,0,24,0,96,1.0,0.11561735276576601,success
fs.util0.5000.skew5.0000.vol0.2000.s20260816,estimated_service_time_first,1.0,0,24,0,96,1.0,0.09683401943243285,success
fs.util0.5000.skew5.0000.vol0.2000.s20260815,weighted_fair_share,1.0,0,24,0,96,1.0,0.1499535454493389,success
fs.util0.5000.skew5.0000.vol0.2000.s20260816,aging_priority,1.0,0,24,0,96,1.0,0.10112568609909946,success
fs.util0.5000.skew5.0000.vol0.3000.s20260815,estimated_service_time_first,1.0,0,36,0,84,1.0,0.13553849024409514,success
fs.util0.5000.skew5.0000.vol0.3000.s20260815,fifo,1.0,0,36,0,84,1.0,0.1605968235774285,success
