policy_name,axis,axis_value,n,mean_primary,mean_interactive_violation_rate,mean_bulk_violation_rate,mean_jains_fairness_index
aging_priority,target_utilization,0.5,24,1.0,0.0,0.0,1.0
aging_priority,target_utilization,0.8,24,1.0,0.0,0.0,1.0
aging_priority,target_utilization,1.0,24,1.0,0.0,0.0,1.0
aging_priority,target_utilization,1.2,24,1.0,0.0,0.0,1.0
aging_priority,target_utilization,1.5,24,1.0,0.0,0.0,1.0
aging_priority,tenant_weight_skew,1.0,30,1.0,0.0,0.0,1.0
aging_priority,tenant_weight_skew,3.0,30,1.0,0.0,0.0,1.0
aging_priority,tenant_weight_skew,5.0,30,1.0,0.0,0.0,1.0
aging_priority,tenant_weight_skew,10.0,30,1.0,0.0,0.0,1.0
aging_priority,interactive_volume_fraction,0.1,40,1.0,0.0,0.0,1.0
aging_priority,interactive_volume_fraction,0.2,40,1.0,0.0,0.0,1.0
aging_priority,interactive_volume_fraction,0.3,40,1.0,0.0,0.0,1.0
estimated_service_time_first,target_utilization,0.5,24,1.0,0.0,0.0,1.0
estimated_service_time_first,target_utilization,0.8,24,1.0,0.0,0.0,1.0
estimated_service_time_first,target_utilization,1.0,24,0.9986111111111111,0.0,0.001984126984126984,0.9999940241424644
estimated_service_time_first,target_utilization,1.2,24,0.9597222222222223,0.0,0.050402336860670194,0.9992792987790613
estimated_service_time_first,target_utilization,1.5,24,0.9013888888888889,0.0,0.12364969135802469,0.995633702622071
estimated_service_time_first,tenant_weight_skew,1.0,30,0.9719444444444445,0.0,0.03520723104056437,0.9989814051087194
estimated_service_time_first,tenant_weight_skew,3.0,30,0.9719444444444445,0.0,0.03520723104056437,0.9989814051087194
estimated_service_time_first,tenant_weight_skew,5.0,30,0.9719444444444445,0.0,0.03520723104056437,0.9989814051087194
estimated_service_time_first,tenant_weight_skew,10.0,30,0.9719444444444445,0.0,0.03520723104056437,0.9989814051087194
estimated_service_time_first,interactive_volume_fraction,0.1,40,0.9708333333333333,0.0,0.032407407407407406,0.9991177007289579
estimated_service_time_first,interactive_volume_fraction,0.2,40,0.97,0.0,0.0375,0.9988446259660525
estimated_service_time_first,interactive_volume_fraction,0.3,40,0.975,0.0,0.03571428571428571,0.9989818886311476
fifo,target_utilization,0.5,24,0.9958333333333333,0.018518518518518517,0.0,0.999652478925454
fifo,target_utilization,0.8,24,0.9625,0.18981481481481483,0.0,0.9871190022273686
fifo,target_utilization,1.0,24,0.8930555555555555,0.5092592592592593,0.0,0.8816493418447439
fifo,target_utilization,1.2,24,0.8472222222222222,0.8009259259259259,0.0,0.6838000731687126
fifo,target_utilization,1.5,24,0.8138888888888889,0.9513888888888888,0.0,0.5473899440421575
fifo,tenant_weight_skew,1.0,30,0.9025,0.49398148148148147,0.0,0.8199221680416873
fifo,tenant_weight_skew,3.0,30,0.9025,0.49398148148148147,0.0,0.8199221680416873
fifo,tenant_weight_skew,5.0,30,0.9025,0.49398148148148147,0.0,0.8199221680416873
fifo,tenant_weight_skew,10.0,30,0.9025,0.49398148148148147,0.0,0.8199221680416873
fifo,interactive_volume_fraction,0.1,40,0.9508333333333333,0.4916666666666667,0.0,0.8020275369709332
fifo,interactive_volume_fraction,0.2,40,0.8925,0.5375,0.0,0.8028368275251171
fifo,interactive_volume_fraction,0.3,40,0.8641666666666666,0.4527777777777778,0.0,0.8549021396290115
weighted_fair_share,target_utilization,0.5,24,0.9996527777777777,0.0011574074074074073,0.0,0.9999917360835647
weighted_fair_share,target_utilization,0.8,24,0.9979166666666667,0.008101851851851851,0.0,0.9998754123407149
weighted_fair_share,target_utilization,1.0,24,0.9927083333333333,0.028935185185185182,0.001984126984126984,0.9989758067220894
weighted_fair_share,target_utilization,1.2,24,0.9409722222222222,0.10011574074074074,0.049472277336860666,0.9938674024078967
weighted_fair_share,target_utilization,1.5,24,0.8659722222222223,0.21006944444444445,0.1212797619047619,0.9799442124853055
weighted_fair_share,tenant_weight_skew,1.0,30,0.9397222222222222,0.17916666666666667,0.03296406525573192,0.9801512645814787
weighted_fair_share,tenant_weight_skew,3.0,30,0.9627777777777777,0.05277777777777778,0.034810405643738974,0.9987584263607724
weighted_fair_share,tenant_weight_skew,5.0,30,0.9655555555555556,0.03611111111111111,0.03520723104056437,0.9996723564141434
weighted_fair_share,tenant_weight_skew,10.0,30,0.9697222222222223,0.010648148148148148,0.03520723104056437,0.9995416086752625
weighted_fair_share,interactive_volume_fraction,0.1,40,0.9625,0.08541666666666667,0.03217592592592593,0.9892927141395945
weighted_fair_share,interactive_volume_fraction,0.2,40,0.956875,0.06666666666666667,0.03723958333333333,0.9966269829596479
weighted_fair_share,interactive_volume_fraction,0.3,40,0.9589583333333334,0.05694444444444444,0.03422619047619047,0.9976730449245004
