faithful_policy,sarathi_faithful_arrival_normalized_weighted_goodput,sarathi_faithful_completion_fraction,sarathi_faithful_mean_latency,sarathi_faithful_mean_tpot,sarathi_faithful_mean_ttft,sarathi_faithful_rejection_fraction,sarathi_faithful_request_throughput,sarathi_faithful_slo_attainment,sarathi_faithful_weighted_goodput,shape,vllm_chunked_prefill_faithful_arrival_normalized_weighted_goodput,vllm_chunked_prefill_faithful_completion_fraction,vllm_chunked_prefill_faithful_mean_latency,vllm_chunked_prefill_faithful_mean_tpot,vllm_chunked_prefill_faithful_mean_ttft,vllm_chunked_prefill_faithful_rejection_fraction,vllm_chunked_prefill_faithful_request_throughput,vllm_chunked_prefill_faithful_slo_attainment,vllm_chunked_prefill_faithful_weighted_goodput,vllm_faithful_arrival_normalized_weighted_goodput,vllm_faithful_completion_fraction,vllm_faithful_mean_latency,vllm_faithful_mean_tpot,vllm_faithful_mean_ttft,vllm_faithful_rejection_fraction,vllm_faithful_request_throughput,vllm_faithful_slo_attainment,vllm_faithful_weighted_goodput,window_idx,winner,winner_arrival_normalized_weighted_goodput,winner_completion_fraction,winner_is_rejecting,winner_mean_latency,winner_mean_tpot,winner_mean_ttft,winner_rejection_fraction,winner_request_throughput,winner_slo_attainment,winner_weighted_goodput
vllm_faithful,,,,,,,,,,long_prefill_overlap,,,,,,,,,,0.047619047619047616,1.0,0.03364285714285714,0.0009523809523809524,0.02983333333333333,0.0,567.5675675675676,0.04761904761904767,0.047619047619047616,3,scorpio_style_slo_guard,0.2619047619047619,0.2619047619047619,True,0.006,0.001,0.002,0.7380952380952381,2.182972812065886,1.0,1.0
sarathi_faithful,0.047619047619047616,1.0,0.03364285714285714,0.0009523809523809524,0.02983333333333333,0.0,567.5675675675676,0.04761904761904767,0.047619047619047616,long_prefill_overlap,,,,,,,,,,,,,,,,,,,3,scorpio_style_slo_guard,0.2619047619047619,0.2619047619047619,True,0.006,0.001,0.002,0.7380952380952381,2.182972812065886,1.0,1.0
vllm_chunked_prefill_faithful,,,,,,,,,,long_prefill_overlap,0.047619047619047616,1.0,0.03364285714285714,0.0009523809523809524,0.02983333333333333,0.0,567.5675675675676,0.04761904761904767,0.047619047619047616,,,,,,,,,,3,scorpio_style_slo_guard,0.2619047619047619,0.2619047619047619,True,0.006,0.001,0.002,0.7380952380952381,2.182972812065886,1.0,1.0
vllm_faithful,,,,,,,,,,kv_pressure_admission_order,,,,,,,,,,0.75,1.0,0.028500000000000004,0.001,0.02075,0.0,97.5609756097561,0.75,0.75,4,edf,1.0,1.0,False,0.0295,0.001,0.02175,0.0,71.42857142857143,1.0,1.0
sarathi_faithful,0.75,1.0,0.028500000000000004,0.001,0.02075,0.0,97.5609756097561,0.75,0.75,kv_pressure_admission_order,,,,,,,,,,,,,,,,,,,4,edf,1.0,1.0,False,0.0295,0.001,0.02175,0.0,71.42857142857143,1.0,1.0
vllm_chunked_prefill_faithful,,,,,,,,,,kv_pressure_admission_order,0.75,1.0,0.028500000000000004,0.001,0.02075,0.0,97.5609756097561,0.75,0.75,,,,,,,,,,4,edf,1.0,1.0,False,0.0295,0.001,0.02175,0.0,71.42857142857143,1.0,1.0
vllm_faithful,,,,,,,,,,long_prefill_overlap,,,,,,,,,,0.625,1.0,0.038125,0.00075,0.023875,0.0,156.8627450980392,0.625,0.625,8,scorpio_style_slo_guard,0.75,0.75,True,0.021,0.001,0.002,0.25,1.1988011988011988,1.0,1.0
sarathi_faithful,0.625,1.0,0.038125,0.00075,0.023875,0.0,156.8627450980392,0.625,0.625,long_prefill_overlap,,,,,,,,,,,,,,,,,,,8,scorpio_style_slo_guard,0.75,0.75,True,0.021,0.001,0.002,0.25,1.1988011988011988,1.0,1.0
vllm_chunked_prefill_faithful,,,,,,,,,,long_prefill_overlap,0.625,1.0,0.038125,0.00075,0.023875,0.0,156.8627450980392,0.625,0.625,,,,,,,,,,8,scorpio_style_slo_guard,0.75,0.75,True,0.021,0.001,0.002,0.25,1.1988011988011988,1.0,1.0
vllm_faithful,,,,,,,,,,admission_reorder_boundary,,,,,,,,,,0.6,1.0,0.0144,0.0006000000000000001,0.009000000000000001,0.0,178.57142857142856,0.6,0.6,17,edf,1.0,1.0,False,0.013800000000000002,0.0006000000000000001,0.0084,0.0,161.29032258064515,1.0,1.0
sarathi_faithful,0.6,1.0,0.0144,0.0006000000000000001,0.009000000000000001,0.0,178.57142857142856,0.6,0.6,admission_reorder_boundary,,,,,,,,,,,,,,,,,,,17,edf,1.0,1.0,False,0.013800000000000002,0.0006000000000000001,0.0084,0.0,161.29032258064515,1.0,1.0
vllm_chunked_prefill_faithful,,,,,,,,,,admission_reorder_boundary,0.6,1.0,0.0144,0.0006000000000000001,0.009000000000000001,0.0,178.57142857142856,0.6,0.6,,,,,,,,,,17,edf,1.0,1.0,False,0.013800000000000002,0.0006000000000000001,0.0084,0.0,161.29032258064515,1.0,1.0
vllm_faithful,,,,,,,,,,long_prefill_overlap,,,,,,,,,,0.13333333333333333,1.0,0.03306666666666667,0.000866666666666666,0.02960000000000001,0.0,416.66666666666663,0.1333333333333333,0.13333333333333333,23,scorpio_style_slo_guard,0.4666666666666667,0.4666666666666667,True,0.005999999999999999,0.001,0.002,0.5333333333333333,1.3988808952837728,1.0,1.0
sarathi_faithful,0.13333333333333333,1.0,0.03306666666666667,0.000866666666666666,0.02960000000000001,0.0,416.66666666666663,0.1333333333333333,0.13333333333333333,long_prefill_overlap,,,,,,,,,,,,,,,,,,,23,scorpio_style_slo_guard,0.4666666666666667,0.4666666666666667,True,0.005999999999999999,0.001,0.002,0.5333333333333333,1.3988808952837728,1.0,1.0
vllm_chunked_prefill_faithful,,,,,,,,,,long_prefill_overlap,0.13333333333333333,1.0,0.03306666666666667,0.000866666666666666,0.02960000000000001,0.0,416.66666666666663,0.1333333333333333,0.13333333333333333,,,,,,,,,,23,scorpio_style_slo_guard,0.4666666666666667,0.4666666666666667,True,0.005999999999999999,0.001,0.002,0.5333333333333333,1.3988808952837728,1.0,1.0
vllm_faithful,,,,,,,,,,long_prefill_overlap,,,,,,,,,,0.08333333333333333,1.0,0.08675,0.0008749999999999999,0.052625000000000005,0.0,220.1834862385321,0.08333333333333337,0.08333333333333333,33,scorpio_style_slo_guard,0.875,0.875,True,0.041,0.0010000000000000002,0.0020000000000000005,0.125,4.183266932270916,1.0,1.0
