policy_name,mean_canonical_anwg,median_canonical_anwg,mean_unweighted_slo_success,mean_favored_violation_rate,mean_other_violation_rate,mean_jains_fairness_index,mean_ttft,n_perfect_anwg,frac_perfect_anwg,scenarios_with_favored_violations,scenarios_with_other_violations,n_scenarios
aging_priority,0.5877104377104377,0.6361111111111111,0.5716435185185185,0.4097222222222222,0.44699074074074074,0.9681378585804172,4.09835804269594,6,0.08333333333333333,65,66,72
estimated_service_time_first,0.7204194725028058,0.775,0.7649305555555556,0.325,0.1451388888888889,0.8876458572765787,2.6002759825107553,0,0.0,60,36,72
fifo,0.28372615039281707,0.23775252525252524,0.4583333333333333,0.8944444444444444,0.18888888888888888,0.618221215293022,4.692544732510755,0,0.0,72,45,72
weighted_fair_share,0.7405618686868687,0.7458333333333333,0.7454861111111111,0.29791666666666666,0.2111111111111111,0.9460421089020308,3.114996237140385,0,0.0,69,69,72
