policy_name,axis,axis_value,n,mean_canonical_anwg,mean_favored_violation_rate,mean_other_violation_rate,mean_jains_fairness_index
aging_priority,target_utilization,1.1,24,0.6940656565656566,0.32083333333333336,0.2833333333333333,0.9777345088653931
aging_priority,target_utilization,1.3,24,0.5652988215488215,0.4326388888888889,0.47638888888888886,0.9661695424002716
aging_priority,target_utilization,1.5,24,0.5037668350168351,0.4756944444444444,0.58125,0.9605095244755869
aging_priority,tenant_weight_skew,1.0,24,0.5572916666666666,0.4486111111111111,0.43680555555555556,0.9811746071544724
aging_priority,tenant_weight_skew,10.0,24,0.6145202020202021,0.3770833333333333,0.46944444444444444,0.9423736855823779
aging_priority,tenant_weight_skew,5.0,24,0.5913194444444444,0.40347222222222223,0.43472222222222223,0.9808652830044015
aging_priority,favored_tenant_size,long,36,0.4087962962962963,0.6078703703703704,0.5930555555555556,0.9494357217057402
aging_priority,favored_tenant_size,short,36,0.7666245791245792,0.21157407407407408,0.30092592592592593,0.9868399954550943
aging_priority,prediction_noise_sigma,0.0,36,0.5278759820426487,0.4513888888888889,0.5685185185185185,0.9585842303563881
aging_priority,prediction_noise_sigma,0.3,36,0.6475448933782267,0.3680555555555555,0.32546296296296295,0.9776914868044464
estimated_service_time_first,target_utilization,1.1,24,0.7770412457912458,0.27083333333333337,0.08125,0.9301878908728476
estimated_service_time_first,target_utilization,1.3,24,0.7072390572390572,0.33958333333333335,0.15416666666666667,0.882315104483006
estimated_service_time_first,target_utilization,1.5,24,0.6769781144781145,0.3645833333333333,0.2,0.8504345764738824
estimated_service_time_first,tenant_weight_skew,1.0,24,0.7649305555555556,0.325,0.1451388888888889,0.8876458572765787
estimated_service_time_first,tenant_weight_skew,10.0,24,0.6913510101010101,0.325,0.1451388888888889,0.8876458572765787
estimated_service_time_first,tenant_weight_skew,5.0,24,0.7049768518518519,0.325,0.1451388888888889,0.8876458572765787
estimated_service_time_first,favored_tenant_size,long,36,0.5245230078563412,0.6361111111111111,0.0,0.8083841440547557
estimated_service_time_first,favored_tenant_size,short,36,0.9163159371492705,0.013888888888888888,0.2902777777777778,0.9669075704984018
estimated_service_time_first,prediction_noise_sigma,0.0,36,0.6900813692480359,0.3597222222222222,0.1625,0.860017153361523
estimated_service_time_first,prediction_noise_sigma,0.3,36,0.7507575757575757,0.2902777777777778,0.12777777777777777,0.9152745611916345
fifo,target_utilization,1.1,24,0.35934343434343435,0.8458333333333333,0.03333333333333333,0.6446760516615015
fifo,target_utilization,1.3,24,0.2835648148148148,0.8958333333333333,0.18541666666666667,0.6184769665167915
fifo,target_utilization,1.5,24,0.20827020202020202,0.9416666666666667,0.34791666666666665,0.5915106277007727
fifo,tenant_weight_skew,1.0,24,0.4583333333333333,0.8944444444444444,0.18888888888888888,0.618221215293022
fifo,tenant_weight_skew,10.0,24,0.1696969696969697,0.8944444444444444,0.18888888888888888,0.618221215293022
fifo,tenant_weight_skew,5.0,24,0.22314814814814815,0.8944444444444444,0.18888888888888888,0.618221215293022
fifo,favored_tenant_size,long,36,0.28518518518518515,0.9,0.16666666666666666,0.6002656249418135
fifo,favored_tenant_size,short,36,0.2822671156004489,0.8888888888888888,0.2111111111111111,0.6361768056442304
fifo,prediction_noise_sigma,0.0,36,0.2335858585858586,0.9305555555555556,0.28055555555555556,0.5951964524184716
fifo,prediction_noise_sigma,0.3,36,0.3338664421997755,0.8583333333333333,0.09722222222222222,0.6412459781675722
weighted_fair_share,target_utilization,1.1,24,0.7967276936026936,0.24791666666666667,0.12152777777777778,0.9645872390510917
weighted_fair_share,target_utilization,1.3,24,0.7355324074074074,0.3013888888888889,0.21597222222222223,0.9457022556127552
weighted_fair_share,target_utilization,1.5,24,0.689425505050505,0.34444444444444444,0.29583333333333334,0.9278368320422454
weighted_fair_share,tenant_weight_skew,1.0,24,0.7375,0.36944444444444446,0.15555555555555556,0.9240805143242445
weighted_fair_share,tenant_weight_skew,10.0,24,0.7532828282828283,0.24583333333333332,0.25555555555555554,0.9643503523106517
weighted_fair_share,tenant_weight_skew,5.0,24,0.7309027777777778,0.27847222222222223,0.2222222222222222,0.9496954600711961
weighted_fair_share,favored_tenant_size,long,36,0.5948512906846241,0.5222222222222223,0.1398148148148148,0.9147582005953072
weighted_fair_share,favored_tenant_size,short,36,0.8862724466891133,0.07361111111111111,0.2824074074074074,0.9773260172087543
weighted_fair_share,prediction_noise_sigma,0.0,36,0.7149410774410775,0.3212962962962963,0.2587962962962963,0.9393536200479471
weighted_fair_share,prediction_noise_sigma,0.3,36,0.7661826599326599,0.274537037037037,0.16342592592592592,0.9527305977561144
