scenario_id,target_utilization,tenant_weight_skew,favored_tenant_size,prediction_noise_sigma,seed,token_length_source,size_priority_alignment,best_policy,second_policy,best_vs_second_margin,exact_tie,exact_winners,n_exact_winners,near_tie_eps_0.0,near_tie_eps_0.001,near_tie_eps_0.005,near_tie_eps_0.01,score__aging_priority,score__estimated_service_time_first,score__fifo,score__weighted_fair_share
fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260816,1.1,1.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.025000000000000022,False,weighted_fair_share,1,False,False,False,False,0.3416666666666667,0.725,0.5416666666666666,0.75
fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260817,1.1,1.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.325,0.6583333333333333,0.4583333333333333,0.6583333333333333
fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260816,1.1,1.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.008333333333333304,False,weighted_fair_share,1,False,False,False,True,0.7833333333333333,0.8416666666666667,0.725,0.85
fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260817,1.1,1.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.033333333333333326,False,weighted_fair_share,1,False,False,False,False,0.48333333333333334,0.7083333333333334,0.5166666666666667,0.7416666666666667
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,1.1,1.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.07499999999999996,False,aging_priority,1,False,False,False,False,1.0,0.925,0.5583333333333333,0.8666666666666667
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,1.1,1.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.09166666666666667,False,estimated_service_time_first,1,False,False,False,False,0.6083333333333333,0.85,0.475,0.7583333333333333
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,1.1,1.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.04166666666666663,False,aging_priority,1,False,False,False,False,1.0,0.9583333333333334,0.6,0.9416666666666667
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,1.1,1.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.04999999999999993,False,aging_priority,1,False,False,False,False,0.975,0.925,0.6083333333333333,0.8333333333333334
fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260816,1.1,10.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.14848484848484844,False,weighted_fair_share,1,False,False,False,False,0.4696969696969697,0.5,0.16666666666666666,0.6484848484848484
fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260817,1.1,10.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,aging_priority,0.06666666666666671,False,weighted_fair_share,1,False,False,False,False,0.4575757575757576,0.3787878787878788,0.12424242424242424,0.5242424242424243
fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260816,1.1,10.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.0575757575757575,False,weighted_fair_share,1,False,False,False,False,0.6863636363636364,0.7121212121212122,0.5,0.7696969696969697
fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260817,1.1,10.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.08484848484848484,False,weighted_fair_share,1,False,False,False,False,0.3712121212121212,0.4696969696969697,0.12121212121212122,0.5545454545454546
fs2.util1.1000.skew10.0000.favshort.noise0.00.s20260816,1.1,10.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.027272727272727226,False,aging_priority,1,False,False,False,False,1.0,0.9727272727272728,0.19696969696969696,0.9727272727272728
fs2.util1.1000.skew10.0000.favshort.noise0.00.s20260817,1.1,10.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first|weighted_fair_share,weighted_fair_share,0.0,True,estimated_service_time_first|weighted_fair_share,2,True,True,True,True,0.6424242424242425,0.9727272727272728,0.15454545454545454,0.9727272727272728
fs2.util1.1000.skew10.0000.favshort.noise0.30.s20260816,1.1,10.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.021212121212121238,False,aging_priority,1,False,False,False,False,1.0,0.9787878787878788,0.2727272727272727,0.9787878787878788
fs2.util1.1000.skew10.0000.favshort.noise0.30.s20260817,1.1,10.0,short,0.3,20260817,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.010606060606060619,False,aging_priority,1,False,False,False,False,0.996969696969697,0.9863636363636363,0.2878787878787879,0.9863636363636363
fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260816,1.1,5.0,long,0.0,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.04444444444444451,False,weighted_fair_share,1,False,False,False,False,0.41944444444444445,0.5416666666666666,0.2361111111111111,0.5861111111111111
fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260817,1.1,5.0,long,0.0,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.11388888888888882,False,weighted_fair_share,1,False,False,False,False,0.3888888888888889,0.4305555555555556,0.18611111111111112,0.5444444444444444
fs2.util1.1000.skew5.0000.favlong.noise0.30.s20260816,1.1,5.0,long,0.3,20260816,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.02499999999999991,False,weighted_fair_share,1,False,False,False,False,0.7083333333333334,0.7361111111111112,0.5416666666666666,0.7611111111111111
fs2.util1.1000.skew5.0000.favlong.noise0.30.s20260817,1.1,5.0,long,0.3,20260817,burstgpt_staged,conflict_long_high,weighted_fair_share,estimated_service_time_first,0.05833333333333335,False,weighted_fair_share,1,False,False,False,False,0.38333333333333336,0.5138888888888888,0.19444444444444445,0.5722222222222222
fs2.util1.1000.skew5.0000.favshort.noise0.00.s20260816,1.1,5.0,short,0.0,20260816,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.036111111111111094,False,aging_priority,1,False,False,False,False,1.0,0.9638888888888889,0.2638888888888889,0.9638888888888889
fs2.util1.1000.skew5.0000.favshort.noise0.00.s20260817,1.1,5.0,short,0.0,20260817,burstgpt_staged,aligned_short_high,estimated_service_time_first,weighted_fair_share,0.01388888888888884,False,estimated_service_time_first,1,False,False,False,False,0.6361111111111111,0.95,0.21388888888888888,0.9361111111111111
fs2.util1.1000.skew5.0000.favshort.noise0.30.s20260816,1.1,5.0,short,0.3,20260816,burstgpt_staged,aligned_short_high,aging_priority,estimated_service_time_first,0.025000000000000022,False,aging_priority,1,False,False,False,False,1.0,0.975,0.3333333333333333,0.975
