scenario_id,target_utilization,tenant_weight_skew,favored_tenant_size,prediction_noise_sigma,seed,policy_i,policy_j,delta_ij
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260816,1.1,1.0,short,0.0,20260816,aging_priority,estimated_service_time_first,0.07499999999999996
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,1.1,1.0,short,0.0,20260817,aging_priority,estimated_service_time_first,-0.2416666666666667
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260816,1.1,1.0,short,0.3,20260816,aging_priority,estimated_service_time_first,0.04166666666666663
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,1.1,1.0,short,0.3,20260817,aging_priority,estimated_service_time_first,0.04999999999999993
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260816,1.3,1.0,short,0.0,20260816,aging_priority,estimated_service_time_first,-0.09999999999999998
fs2.util1.3000.skew1.0000.favshort.noise0.00.s20260817,1.3,1.0,short,0.0,20260817,aging_priority,estimated_service_time_first,-0.23333333333333328
fs2.util1.3000.skew1.0000.favshort.noise0.30.s20260816,1.3,1.0,short,0.3,20260816,aging_priority,estimated_service_time_first,-0.033333333333333326
fs2.util1.3000.skew1.0000.favshort.noise0.30.s20260817,1.3,1.0,short,0.3,20260817,aging_priority,estimated_service_time_first,-0.15000000000000002
fs2.util1.5000.skew1.0000.favshort.noise0.00.s20260816,1.5,1.0,short,0.0,20260816,aging_priority,estimated_service_time_first,-0.125
fs2.util1.5000.skew1.0000.favshort.noise0.00.s20260817,1.5,1.0,short,0.0,20260817,aging_priority,estimated_service_time_first,-0.21666666666666667
fs2.util1.5000.skew1.0000.favshort.noise0.30.s20260816,1.5,1.0,short,0.3,20260816,aging_priority,estimated_service_time_first,-0.16666666666666663
fs2.util1.5000.skew1.0000.favshort.noise0.30.s20260817,1.5,1.0,short,0.3,20260817,aging_priority,estimated_service_time_first,-0.17500000000000004
fs2.util1.1000.skew5.0000.favshort.noise0.00.s20260816,1.1,5.0,short,0.0,20260816,aging_priority,estimated_service_time_first,0.036111111111111094
fs2.util1.1000.skew5.0000.favshort.noise0.00.s20260817,1.1,5.0,short,0.0,20260817,aging_priority,estimated_service_time_first,-0.3138888888888889
fs2.util1.1000.skew5.0000.favshort.noise0.30.s20260816,1.1,5.0,short,0.3,20260816,aging_priority,estimated_service_time_first,0.025000000000000022
fs2.util1.1000.skew5.0000.favshort.noise0.30.s20260817,1.1,5.0,short,0.3,20260817,aging_priority,estimated_service_time_first,0.005555555555555536
