prompt_bucket,max_tokens,concurrency_level,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
long,64,1,5,5,0,0,5,11.124199999999998,0.6403,42.55945999999999,50.924851999999994,0.24796,0.2424,0.2977,0.29866
long,64,2,5,5,0,0,5,0.6866,0.6664,0.73678,0.737916,0.25928,0.2405,0.31948,0.32333599999999996
long,64,4,5,5,0,0,5,0.75046,0.7411,0.80272,0.810224,0.23442,0.2306,0.27968,0.281296
long,64,8,5,5,0,0,5,0.79826,0.7706,0.84906,0.850612,0.32720000000000005,0.2977,0.40290000000000004,0.41306000000000004
long,128,1,5,5,0,0,5,11.12314,0.7182,42.49391999999999,50.847024,0.24274,0.2412,0.2878,0.29556
long,128,2,5,5,0,0,5,0.67176,0.687,0.71382,0.717004,0.23406,0.2193,0.30498,0.320356
long,128,4,5,5,0,0,5,0.73632,0.7424,0.82392,0.8394240000000001,0.2589,0.2888,0.2994,0.29988
long,128,8,5,5,0,0,5,1.13046,1.1418,1.1559599999999999,1.157352,0.32717999999999997,0.3338,0.37658,0.379316
long,256,1,5,5,0,0,5,11.06772,0.6684,42.27443999999999,50.59144799999999,0.20823999999999998,0.2087,0.2191,0.21925999999999998
long,256,2,5,5,0,0,5,0.66578,0.6788,0.71078,0.716956,0.20152,0.203,0.20932,0.210264
long,256,4,5,5,0,0,5,0.75834,0.7544,0.84512,0.860144,0.25314000000000003,0.2717,0.2865,0.28809999999999997
long,256,8,5,5,0,0,5,0.99652,0.9951,1.01676,1.020472,0.42638,0.4391,0.53858,0.544116
medium,64,1,5,5,0,0,5,11.13574,0.6727,42.58311999999999,50.961104,0.22278000000000003,0.2058,0.26638,0.27183599999999997
medium,64,2,5,5,0,0,5,0.6522,0.6432,0.6827000000000001,0.68622,0.26095999999999997,0.2385,0.30538,0.30723599999999995
medium,64,4,5,5,0,0,5,0.79436,0.8199,0.8506,0.8530800000000001,0.30126,0.2886,0.33018,0.332196
medium,64,8,5,5,0,0,5,0.9821,0.9929,1.00244,1.003368,0.34585999999999995,0.3485,0.3933,0.39898
medium,128,1,5,5,0,0,5,11.117259999999998,0.6629,42.44883999999999,50.79056799999999,0.25356,0.2475,0.2977,0.30138000000000004
medium,128,2,5,5,0,0,5,0.6668000000000001,0.6529,0.69226,0.693332,0.22818,0.2217,0.26894,0.272028
medium,128,4,5,5,0,0,5,0.7041000000000001,0.6829,0.7427,0.7435,0.28686,0.2733,0.31314,0.314308
medium,128,8,5,5,0,0,5,0.8064,0.8021,0.8484200000000001,0.8491240000000001,0.41204,0.4042,0.48519999999999996,0.50128
medium,256,1,5,5,0,0,5,11.12964,0.6665,42.604139999999994,50.986428,0.23365999999999998,0.2319,0.29578,0.303476
medium,256,2,5,5,0,0,5,0.69398,0.689,0.76342,0.7675639999999999,0.25661999999999996,0.2372,0.32095999999999997,0.321152
medium,256,4,5,5,0,0,5,0.89316,0.9238,0.94682,0.9488840000000001,0.24144000000000002,0.2354,0.29352,0.302464
medium,256,8,5,5,0,0,5,0.66666,0.6819,0.68256,0.682672,0.27464,0.2582,0.35278,0.361356
short,64,1,5,5,0,0,5,0.49024,0.4765,0.5361,0.54602,0.18728,0.1808,0.21198,0.216316
short,64,2,5,5,0,0,5,0.53624,0.5382,0.5640999999999999,0.5646599999999999,0.20986000000000002,0.2019,0.25116,0.25375200000000003
short,64,4,5,5,0,0,5,0.60934,0.6242,0.65538,0.656116,0.20846,0.2087,0.22574,0.228988
short,64,8,5,5,0,0,5,0.77336,0.805,0.82296,0.826112,0.26264,0.2706,0.34642,0.36104400000000003
short,128,1,5,5,0,0,5,11.34236,0.5293,43.70649999999999,52.31162,0.22918000000000002,0.2265,0.27342,0.27772399999999997
short,128,2,5,5,0,0,5,0.60842,0.5478,0.70686,0.7071320000000001,0.24627999999999997,0.261,0.2713,0.27177999999999997
short,128,4,5,5,0,0,5,0.6355,0.6563,0.68252,0.685864,0.31433999999999995,0.3053,0.36846,0.368732
short,128,8,5,5,0,0,5,0.60944,0.6,0.63578,0.635956,0.27182,0.2695,0.30724,0.309768
short,256,1,5,5,0,0,5,11.317060000000001,0.6114,43.45825999999999,52.020772,0.23836,0.2682,0.27346000000000004,0.273892
short,256,2,5,5,0,0,5,0.81856,0.8048,0.9380000000000001,0.93984,0.40599999999999997,0.4352,0.52572,0.526104
short,256,4,5,5,0,0,5,0.63832,0.6586,0.66932,0.669944,0.27654,0.3092,0.32354,0.326148
short,256,8,5,5,0,0,5,0.9328,0.9574,0.99434,0.998468,0.4379799999999999,0.4238,0.52948,0.546616
