active_cap_binding_states,arrival_multiplier,axis,axis_value,canonical_action_collapse_states,canonical_disagreement_states,completion_fraction_mean,condition_id,disagreement_rate,invalid_window_count,kv_cap_binding_states,latency_outcomes_used_for_regime_selection,max_active_pressure,max_active_sequences,max_active_sequences_param,max_kv_pressure,max_kv_tokens_param,max_kv_utilization,max_queue_length,mean_active_pressure,mean_active_sequences,mean_kv_pressure,mean_kv_utilization,mean_queue_length,near_kv_binding_states,no_choice_states,policy_ranking_difference_states,pressure_order,requests,sbs_decision_states,schema_version,source_dataset,token_budget_binding_states,unfinished_request_count,unique_non_sbs_canonical_actions,valid_window_count,validity_classes,windows,windows_with_disagreement
0,1.0,active_sequence_capacity,512.0,216,0,1.0,active_512,0.0,0,0,False,0.025390625,13,512,0.002688,8000000,0.002688,5,0.002736081806229655,1.4008738847895834,0.0003567856740329474,0.0003567856740329474,0.04403290001949967,0,94407,216,0,4000,94407,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
0,1.0,active_sequence_capacity,64.0,216,0,1.0,active_64,0.0,0,0,False,0.203125,13,64,0.002688,8000000,0.002688,5,0.02188865444983724,1.4008738847895834,0.0003567856740329474,0.0003567856740329474,0.04403290001949967,0,94407,216,1,4000,94407,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
0,1.0,active_sequence_capacity,32.0,216,0,1.0,active_32,0.0,0,0,False,0.40625,13,32,0.002688,8000000,0.002688,5,0.04377730889967448,1.4008738847895834,0.0003567856740329474,0.0003567856740329474,0.04403290001949967,0,94407,216,2,4000,94407,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
0,1.0,active_sequence_capacity,16.0,216,0,1.0,active_16,0.0,0,0,False,0.8125,13,16,0.002688,8000000,0.002688,5,0.08755461779934896,1.4008738847895834,0.0003567856740329474,0.0003567856740329474,0.04403290001949967,0,94407,216,3,4000,94407,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,"VALID_PARTIALLY_CONSTRAINED,VALID_UNCONSTRAINED",20,0
78,1.0,active_sequence_capacity,8.0,237,10,1.0,active_8,0.00010592434883006557,0,0,False,1.0,8,8,0.002688,8000000,0.002688,5,0.17484801797973284,1.3987841438378628,0.0003568616221968939,0.0003568616221968939,0.04630810091187334,0,94397,244,4,4000,94407,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,9,20,"VALID_PARTIALLY_CONSTRAINED,VALID_STRONGLY_CONSTRAINED,VALID_UNCONSTRAINED",20,2
3557,1.0,active_sequence_capacity,4.0,586,122,1.0,active_4,0.0012897087583910354,0,0,False,1.0,4,4,0.002688,8000000,0.002688,9,0.3446192550768744,1.3784770203074976,0.0003565068349832112,0.0003565068349832112,0.09230111711714792,0,94473,668,5,4000,94595,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,83,20,VALID_STRONGLY_CONSTRAINED,20,15
0,0.5,arrival_pressure,0.5,168,0,1.0,arrival_x0p5,0.0,0,0,False,0.0234375,12,512,0.002688,8000000,0.002688,5,0.0024768427575779734,1.2681434918799224,0.0003284433527728709,0.0003284433527728709,0.04062143733949345,0,101069,168,0,4000,101069,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
0,1.0,arrival_pressure,1.0,216,0,1.0,arrival_x1p0,0.0,0,0,False,0.025390625,13,512,0.002688,8000000,0.002688,5,0.002736081806229655,1.4008738847895834,0.0003567856740329474,0.0003567856740329474,0.04403290001949967,0,94407,216,1,4000,94407,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
0,2.0,arrival_pressure,2.0,284,0,1.0,arrival_x2p0,0.0,0,0,False,0.029296875,15,512,0.003234375,8000000,0.003234375,7,0.0033095223421713837,1.6944754391917485,0.0004193420207745669,0.0004193420207745669,0.05168322101952548,0,82405,284,2,4000,82405,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
0,4.0,arrival_pressure,4.0,360,0,1.0,arrival_x4p0,0.0,0,0,False,0.048828125,25,512,0.00401,8000000,0.00401,10,0.004670298957309677,2.3911930661425544,0.0005368144967701323,0.0005368144967701323,0.06608782562731737,0,66411,360,3,4000,66411,fresh_production_latency_headroom_confirmatory_v1.support_result.0.0,azure_2023_code,0,0,0,20,VALID_UNCONSTRAINED,20,0
