completion_fraction,description,max_kv_cache_usage,max_vllm_running,max_vllm_waiting,mean_latency_s,mean_output_tokens,mean_prompt_tokens,mean_tpot_s,mean_ttft_s,num_requests,num_success,p50_latency_s,p50_ttft_s,p95_latency_s,p95_ttft_s,request_throughput,scenario_family,scenario_name
1.0,short prompt / short output,0.000355977454761236,1.0,0.0,0.10088958899723366,16.0,167.0,0.004751626246919234,0.02961519529344514,4,4,0.1016630029771477,0.03033954300917685,0.10320949298329651,0.03170617506839335,7.282495258341406,short_short,short_short
1.0,long prompt / short output,0.0035004449718184505,1.0,0.0,0.10608194372616708,16.0,1871.0,0.004788298819524547,0.034257461433298886,4,4,0.1094270481262356,0.038152070017531514,0.11918772989884019,0.04695722903124988,7.229892930877169,prefill_heavy,long_prompt_short_output
1.0,short prompt / long output,0.0014832393948382983,4.0,0.0,0.5445589376613498,96.0,167.0,0.005476904026306186,0.02425305516226217,4,4,0.5447777688968927,0.025511445943266153,0.5449634219985455,0.025997951859608293,7.339942165899486,decode_heavy,short_prompt_long_output
1.0,long prompt / long output,0.004538712548205259,4.0,0.0,0.5510963022825308,96.0,1871.0,0.005438929818276512,0.034397969546262175,4,4,0.5515377959236503,0.03569905902259052,0.5516575591173023,0.036367750028148293,7.25087499281317,long_long,long_prompt_long_output
1.0,mixed prompt lengths,0.0036784336991990685,2.0,0.0,0.17708450862361738,32.0,855.3333333333334,0.0051331126071032015,0.01795801780341814,6,6,0.17408405197784305,0.01583703001961112,0.19234613794833422,0.028094518929719925,6.510959133926693,mixed_prompt,mixed_prompt_lengths
1.0,mixed output lengths,0.0016612281222189162,3.0,0.0,0.3841012528088565,69.33333333333333,528.3333333333334,0.005285316708293652,0.019777831349832315,6,6,0.35797838191501796,0.016100970096886158,0.7081060369964689,0.035218394827097654,4.196946531833267,mixed_output,mixed_output_lengths
1.0,bursty arrivals,0.0027588252743993014,8.0,0.0,0.3856982863508165,64.0,528.0,0.005630414275589237,0.030982186988694593,8,8,0.3855484260711819,0.031553470995277166,0.3869457410182804,0.03303359588608146,20.674733307433037,bursty,bursty_arrivals
1.0,high concurrency,0.003025808365470173,12.0,0.0,0.39920834950559464,64.0,167.16666666666666,0.00572723049975971,0.03839282802073285,12,12,0.39948754804208875,0.03881559590809047,0.4010019600391388,0.04045808920636773,29.92380434623367,high_concurrency,high_concurrency
1.0,prefill-heavy long prompts,0.0042420646692376,6.0,0.0,0.1263161008246243,16.0,1871.0,0.005586512992158532,0.04251840594224632,6,6,0.1270082830451429,0.04227229091338813,0.12780687189660966,0.046701890882104635,46.945832496813985,prefill_heavy,prefill_heavy
1.0,decode-heavy long outputs,0.002165529516463982,6.0,0.0,0.7632403539028019,126.83333333333333,168.0,0.005663358624573359,0.05063168851969143,6,6,0.7681092091370374,0.05077096610330045,0.7698496009688824,0.052748928079381585,7.793730090200465,decode_heavy,decode_heavy
1.0,bounded KV-pressure attempt with long contexts,0.0076238504894690085,12.0,0.0,0.7867247749818489,128.0,1872.1666666666667,0.005837697071466947,0.045337246905546635,12,12,0.7889925399795175,0.046343337977305055,0.7893183939158916,0.05274487682618201,15.197912244597848,kv_pressure,kv_pressure_long_context
1.0,mixed prompt/output batch turnover,0.005962622367250092,16.0,0.0,0.4207683003041893,66.0,813.0,0.005720806682904446,0.052475294171017595,16,16,0.4162347218953073,0.05285414610989392,0.7665781029500067,0.055092856055125594,20.83953897933198,batch_turnover,batch_turnover_mixed
1.0,small burstgpt replay with synthetic prompt text,0.004835360427172919,4.0,0.0,0.649060267751338,114.25,561.375,0.005501304882440623,0.024859670433215797,8,8,0.7235906100831926,0.02833095914684236,0.7349968969356269,0.03511764598079026,10.871072263023816,real_trace_replay,burstgpt_replay_small
1.0,small azure_llm_2023 replay with synthetic prompt text,0.004360723820824641,4.0,0.0,0.3774973453837447,67.0,425.375,0.005418171717060407,0.021228878234978765,8,8,0.46348480181768537,0.02564755082130432,0.6893241310026497,0.02860476402565837,11.350494216814099,real_trace_replay,azure_2023_replay_small
