scenario_id,n_states,n_nonzero,n_positive,n_negative,abs_mass
joint_mm_0000,5,0,0,0,0.0
joint_mm_0001,15,0,0,0,0.0
joint_mm_0002,15,4,0,4,0.1586392320226412
joint_mm_0003,15,0,0,0,0.0
joint_mm_0004,15,0,0,0,0.0
joint_mm_0005,15,0,0,0,0.0
joint_mm_0006,15,0,0,0,0.0
joint_mm_0007,15,0,0,0,0.0
joint_mm_0008,15,1,1,0,0.0350181025974558
joint_mm_0009,15,0,0,0,0.0
joint_mm_0010,15,0,0,0,0.0
joint_mm_0011,15,0,0,0,0.0
joint_mm_0012,11,0,0,0,0.0
joint_mm_0013,15,0,0,0,0.0
joint_mm_0014,15,0,0,0,0.0
joint_mm_0015,15,0,0,0,0.0
joint_mm_0016,15,0,0,0,0.0
joint_mm_0017,15,0,0,0,0.0
joint_mm_0018,15,0,0,0,0.0
joint_mm_0019,15,0,0,0,0.0
joint_mm_0020,15,5,5,0,0.1006457562795864
joint_mm_0021,15,9,9,0,0.5622382945300902
joint_mm_0022,15,4,0,4,0.07728995306938172
joint_mm_0023,15,0,0,0,0.0
joint_mm_0024,15,1,1,0,0.023270635023796
joint_mm_0025,15,0,0,0,0.0
joint_mm_0026,15,0,0,0,0.0
joint_mm_0027,15,0,0,0,0.0
joint_mm_0028,15,0,0,0,0.0
joint_mm_0029,15,1,0,1,0.0208836248737771
joint_mm_0030,15,0,0,0,0.0
joint_mm_0031,15,1,1,0,0.0268897616238855
joint_mm_0032,15,0,0,0,0.0
joint_mm_0033,15,0,0,0,1.1102230246251563e-16
joint_mm_0034,15,0,0,0,0.0
joint_mm_0035,15,0,0,0,0.0
joint_mm_0036,15,1,1,0,0.0110900835035129
joint_mm_0037,15,0,0,0,0.0
joint_mm_0038,15,1,1,0,0.0070857173608868
joint_mm_0039,15,2,1,1,0.0244637656336375
joint_mm_0040,15,3,3,0,0.1658430083614502
joint_mm_0041,15,4,0,4,0.0410289567738088
joint_mm_0042,15,0,0,0,0.0
joint_mm_0043,15,0,0,0,0.0
joint_mm_0044,15,2,0,2,0.0284467197377102
joint_mm_0045,15,0,0,0,0.0
joint_mm_0046,15,1,0,1,0.005737517471315
joint_mm_0047,15,1,1,0,0.02562540301846082
joint_mm_0048,5,0,0,0,0.0
joint_mm_0049,15,0,0,0,0.0
joint_mm_0050,15,1,1,0,0.0259841339544074
joint_mm_0051,15,0,0,0,0.0
joint_mm_0052,15,0,0,0,0.0
joint_mm_0053,15,0,0,0,0.0
joint_mm_0054,15,4,3,1,0.09152487673672399
joint_mm_0055,15,0,0,0,0.0
joint_mm_0056,15,2,0,2,0.0446296284776328
joint_mm_0057,15,0,0,0,0.0
joint_mm_0058,15,0,0,0,0.0
joint_mm_0059,15,1,0,1,0.013123203116777
joint_mm_0060,15,0,0,0,0.0
joint_mm_0061,15,1,1,0,0.00985654705673
joint_mm_0062,15,0,0,0,0.0
joint_mm_0063,15,1,1,0,0.0089713693874892
joint_mm_0064,15,3,0,3,0.0832993740350049
joint_mm_0065,15,0,0,0,0.0
joint_mm_0066,15,0,0,0,0.0
joint_mm_0067,7,0,0,0,0.0
joint_mm_0068,15,3,0,3,0.1505785518487614
joint_mm_0069,15,0,0,0,0.0
joint_mm_0070,15,3,1,2,0.075857651427836
joint_mm_0071,15,0,0,0,0.0
joint_mm_0072,15,0,0,0,0.0
joint_mm_0073,15,1,0,1,0.0267495680765186
joint_mm_0074,11,0,0,0,0.0
joint_mm_0075,15,8,7,1,0.12347470217905801
joint_mm_0076,15,0,0,0,0.0
joint_mm_0077,15,2,0,2,0.04695310951493911
joint_mm_0078,15,0,0,0,0.0
joint_mm_0079,15,0,0,0,0.0
joint_mm_0080,15,1,0,1,0.0117850822036905
joint_mm_0081,15,1,1,0,0.0272265024571456
joint_mm_0082,15,0,0,0,0.0
joint_mm_0083,15,0,0,0,0.0
joint_mm_0084,15,0,0,0,0.0
joint_mm_0085,15,0,0,0,0.0
joint_mm_0086,15,5,3,2,0.072328526360082
joint_mm_0087,15,0,0,0,0.0
joint_mm_0088,15,7,7,0,0.1834706590430086
joint_mm_0089,15,2,1,1,0.0463844509473269
joint_mm_0090,15,0,0,0,0.0
joint_mm_0091,9,0,0,0,0.0
joint_mm_0092,15,1,0,1,0.0426963919318111
joint_mm_0093,15,0,0,0,0.0
joint_mm_0094,15,4,0,4,0.0466031258419028
joint_mm_0095,15,0,0,0,0.0
joint_mm_0096,15,0,0,0,0.0
joint_mm_0097,14,0,0,0,2.220446049250313e-16
joint_mm_0098,15,1,1,0,0.038930485609522
joint_mm_0099,15,3,3,0,0.035503602129061396
joint_mm_0100,15,3,0,3,0.0442592353431768
joint_mm_0101,15,1,1,0,0.0163811703883945
joint_mm_0102,15,1,0,1,0.016691859712855
joint_mm_0103,15,0,0,0,0.0
joint_mm_0104,15,0,0,0,0.0
joint_mm_0105,15,0,0,0,0.0
joint_mm_0106,15,0,0,0,0.0
joint_mm_0107,15,1,1,0,0.0167087881729253
joint_mm_0108,15,0,0,0,0.0
joint_mm_0109,15,0,0,0,0.0
joint_mm_0110,15,0,0,0,0.0
joint_mm_0111,15,0,0,0,0.0
joint_mm_0112,15,0,0,0,0.0
joint_mm_0113,15,3,3,0,0.080701139923506
joint_mm_0114,15,0,0,0,0.0
joint_mm_0115,15,0,0,0,0.0
joint_mm_0116,15,0,0,0,0.0
