fixture_id,interaction_shape,expected_to_diverge,observed_diverges,classification,sarathi_faithful_mean_latency,sarathi_faithful_mean_ttft,sarathi_faithful_completion_fraction,sarathi_faithful_num_completed,vllm_chunked_prefill_faithful_mean_latency,vllm_chunked_prefill_faithful_mean_ttft,vllm_chunked_prefill_faithful_completion_fraction,vllm_chunked_prefill_faithful_num_completed,vllm_faithful_mean_latency,vllm_faithful_mean_ttft,vllm_faithful_completion_fraction,vllm_faithful_num_completed
contention_a_earlier_long_prefill_later_short_decode,single_hog_vs_small_runner_burst,False,False,NEAR_TIE,0.037,0.0058000000000000005,1.0,5,0.037,0.0058000000000000005,1.0,5,0.037,0.0058000000000000005,1.0,5
contention_b_earlier_very_long_prefill_later_medium_decode,single_long_hog_vs_medium_runner_burst,False,False,NEAR_TIE,0.06233333333333333,0.013166666666666669,1.0,6,0.06233333333333333,0.013166666666666669,1.0,6,0.06233333333333333,0.013166666666666669,1.0,6
contention_c_two_long_prefills_later_decode,dual_hog_vs_small_runner_burst,False,False,NEAR_TIE,0.03366666666666667,0.007666666666666666,1.0,6,0.03366666666666667,0.007666666666666666,1.0,6,0.03366666666666667,0.007666666666666666,1.0,6
contention_d_burst_of_prefills_staggered_decode_arrivals,hog_burst_vs_staggered_runner_trickle,False,False,NEAR_TIE,0.026333333333333334,0.003666666666666667,1.0,9,0.026333333333333334,0.003666666666666667,1.0,9,0.026333333333333334,0.003666666666666667,1.0,9
contention_e_controlled_kv_pressure,single_hog_vs_small_runner_burst_tight_kv,False,False,NEAR_TIE,0.0374,0.0062,1.0,5,0.0374,0.0062,1.0,5,0.0374,0.0062,1.0,5
contention_f_short_context_negative_control,short_context_negative_control,False,False,NEAR_TIE,0.016,0.002,1.0,8,0.016,0.002,1.0,8,0.016,0.002,1.0,8
