scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,ttft_attainment,tbt_attainment,request_throughput,token_throughput,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,status
pd1.psizelong.occlow.slottft_tight.loadmoderate.s20260818,chunked_prefill_large,0.2857142857142857,0.2857142857142857,1.0,0.1014862606690449,0.24631635101734703,0.26169346383681835,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.10080952380952381,0.38095238095238093,1.0,13.972055888223553,3751.497005988024,0,0,0,294,3521,0.11143062544931703,4.053558590941768,1.5068296189791517,0.9479103039615121,success
pd1.psizelong.occlow.slottft_tight.loadmoderate.s20260818,chunked_prefill_small,0.2857142857142857,0.2857142857142857,1.0,0.12810530828809252,0.28973793746786264,0.29813132211133714,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.12742857142857145,0.2857142857142857,1.0,13.95812562313061,3747.7567298105682,0,0,0,249,2770,0.08997155049786629,4.010312944523471,1.8883357041251778,0.8092731245631379,success
pd1.psizelong.occlow.slottft_tight.loadmoderate.s20260818,decode_priority_chunked,0.2857142857142857,0.2857142857142857,1.0,0.12810530828809252,0.28973793746786264,0.29813132211133714,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.12742857142857145,0.2857142857142857,1.0,13.95812562313061,3747.7567298105682,0,0,0,249,2770,0.08997155049786629,4.010312944523471,1.8883357041251778,0.8092731245631379,success
pd1.psizelong.occlow.slottft_tight.loadmoderate.s20260818,full_prefill,0.2857142857142857,0.2857142857142857,1.0,0.097081498764283,0.24031635101734702,0.2560534638368184,0.0010000000000000002,0.0010000000000000005,0.0006767368595210887,0.0964047619047619,0.40476190476190477,1.0,13.972055888223553,3751.497005988024,0,0,0,302,3650,0.11322789360172537,4.053558590941768,1.4403306973400432,0.9704791471193869,success
pd1.psizelong.occlow.slotbt_tight.loadmoderate.s20260818,full_prefill,1.0,1.0,1.0,0.097081498764283,0.24031635101734702,0.2560534638368184,0.0010000000000000002,0.0010000000000000005,0.0006767368595210887,0.0964047619047619,1.0,1.0,13.972055888223553,3751.497005988024,0,0,0,302,3650,0.11322789360172537,4.053558590941768,1.4403306973400432,0.9704791471193869,success
pd1.psizelong.occlow.slottft_tight.loadmoderate.s20260818,adaptive_prefill_control,0.2857142857142857,0.2857142857142857,1.0,0.12810530828809252,0.28973793746786264,0.29813132211133714,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.12742857142857145,0.2857142857142857,1.0,13.95812562313061,3747.7567298105682,0,0,0,249,2770,0.08997155049786629,4.010312944523471,1.8883357041251778,0.8092731245631379,success
pd1.psizelong.occlow.slotbt_tight.loadmoderate.s20260818,chunked_prefill_large,1.0,1.0,1.0,0.1014862606690449,0.24631635101734703,0.26169346383681835,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.10080952380952381,1.0,1.0,13.972055888223553,3751.497005988024,0,0,0,294,3521,0.11143062544931703,4.053558590941768,1.5068296189791517,0.9479103039615121,success
pd1.psizelong.occlow.slotbt_tight.loadmoderate.s20260818,chunked_prefill_small,1.0,1.0,1.0,0.12810530828809252,0.28973793746786264,0.29813132211133714,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.12742857142857145,1.0,1.0,13.95812562313061,3747.7567298105682,0,0,0,249,2770,0.08997155049786629,4.010312944523471,1.8883357041251778,0.8092731245631379,success
pd1.psizelong.occlow.slotbt_tight.loadmoderate.s20260818,decode_priority_chunked,1.0,1.0,1.0,0.12810530828809252,0.28973793746786264,0.29813132211133714,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.12742857142857145,1.0,1.0,13.95812562313061,3747.7567298105682,0,0,0,249,2770,0.08997155049786629,4.010312944523471,1.8883357041251778,0.8092731245631379,success
pd1.psizelong.occlow.slotbt_tight.loadmoderate.s20260818,adaptive_prefill_control,1.0,1.0,1.0,0.12810530828809252,0.28973793746786264,0.29813132211133714,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.12742857142857145,1.0,1.0,13.95812562313061,3747.7567298105682,0,0,0,249,2770,0.08997155049786629,4.010312944523471,1.8883357041251778,0.8092731245631379,success
pd1.psizelong.occhigh.slottft_tight.loadmoderate.s20260818,chunked_prefill_small,0.7272727272727273,0.7272727272727273,1.0,0.07610952931813365,0.24399303520629598,0.2916633923246224,0.0010000000000000002,0.0010000000000000002,0.0005913474999518551,0.07551818181818182,0.5636363636363636,1.0,20.66115702479339,32729.71450037566,0,0,0,283,5488,0.05352112676056338,32.72356807511737,1.5393427230046948,0.8183469136173668,success
pd1.psizelong.occhigh.slottft_tight.loadmoderate.s20260818,full_prefill,0.7272727272727273,0.7272727272727273,1.0,0.07076407477267913,0.22825303383657944,0.25293142044918016,0.0010000000000000005,0.0010000000000000002,0.000591347499951855,0.07017272727272725,0.5727272727272728,1.0,20.665038512117224,32735.863235017845,0,0,0,318,7179,0.06010518407212622,32.72971450037566,1.4291885800150264,0.9722902071619712,success
pd1.psizelong.occhigh.slottft_tight.loadmoderate.s20260818,decode_priority_chunked,0.7272727272727273,0.7272727272727273,1.0,0.07610952931813365,0.24399303520629598,0.2916633923246224,0.0010000000000000002,0.0010000000000000002,0.0005913474999518551,0.07551818181818182,0.5636363636363636,1.0,20.66115702479339,32729.71450037566,0,0,0,283,5488,0.05352112676056338,32.72356807511737,1.5393427230046948,0.8183469136173668,success
pd1.psizelong.occhigh.slottft_tight.loadmoderate.s20260818,chunked_prefill_large,0.7272727272727273,0.7272727272727273,1.0,0.07241862022722458,0.23383011309889776,0.25801857001258877,0.0010000000000000002,0.0010000000000000002,0.000591347499951855,0.07182727272727271,0.5636363636363636,1.0,20.665038512117224,32735.863235017845,0,0,0,317,7043,0.05991735537190083,32.72971450037566,1.4633734034560482,0.9507381460657266,success
pd1.psizelong.occhigh.slottft_tight.loadmoderate.s20260818,adaptive_prefill_control,0.7272727272727273,0.7272727272727273,1.0,0.07610952931813365,0.24399303520629598,0.2916633923246224,0.0010000000000000002,0.0010000000000000002,0.0005913474999518551,0.07551818181818182,0.5636363636363636,1.0,20.66115702479339,32729.71450037566,0,0,0,283,5488,0.05352112676056338,32.72356807511737,1.5393427230046948,0.8183469136173668,success
pd1.psizelong.occhigh.slotbt_tight.loadmoderate.s20260818,full_prefill,0.8727272727272727,0.8727272727272727,1.0,0.07076407477267913,0.22825303383657944,0.25293142044918016,0.0010000000000000005,0.0010000000000000002,0.000591347499951855,0.07017272727272725,1.0,1.0,20.665038512117224,32735.863235017845,0,0,0,318,7179,0.06010518407212622,32.72971450037566,1.4291885800150264,0.9722902071619712,success
pd1.psizelong.occhigh.slotbt_tight.loadmoderate.s20260818,chunked_prefill_small,0.9181818181818182,0.9181818181818182,1.0,0.07610952931813365,0.24399303520629598,0.2916633923246224,0.0010000000000000002,0.0010000000000000002,0.0005913474999518551,0.07551818181818182,1.0,1.0,20.66115702479339,32729.71450037566,0,0,0,283,5488,0.05352112676056338,32.72356807511737,1.5393427230046948,0.8183469136173668,success
pd1.psizelong.occhigh.slotbt_tight.loadmoderate.s20260818,chunked_prefill_large,0.8636363636363636,0.8636363636363636,1.0,0.07241862022722458,0.23383011309889776,0.25801857001258877,0.0010000000000000002,0.0010000000000000002,0.000591347499951855,0.07182727272727271,1.0,1.0,20.665038512117224,32735.863235017845,0,0,0,317,7043,0.05991735537190083,32.72971450037566,1.4633734034560482,0.9507381460657266,success
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260818,full_prefill,0.38095238095238093,0.38095238095238093,1.0,0.013176736859521091,0.0314255454402041,0.032415811506953766,0.0010000000000000002,0.0010000000000000002,0.0006767368595210888,0.0125,1.0,1.0,13.972055888223553,3751.497005988024,0,0,0,82,353,0.032317297098788104,4.141388174807198,0.17737789203084833,0.9507180951116422,success
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260818,chunked_prefill_small,0.3333333333333333,0.3333333333333333,1.0,0.025248165430949664,0.04850774837848879,0.05149319126978348,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.02457142857142857,0.9761904761904762,1.0,13.95812562313061,3747.7567298105682,0,0,0,62,248,0.024497257769652652,4.123217550274223,0.3619744058500914,0.8147558034034832,success
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260818,chunked_prefill_large,0.38095238095238093,0.38095238095238093,1.0,0.01486721304999728,0.032475545440204104,0.03541581150695376,0.0010000000000000002,0.0010000000000000002,0.0006767368595210888,0.014190476190476193,1.0,1.0,13.972055888223553,3751.497005988024,0,0,0,81,340,0.030825688073394496,4.1383486238532114,0.20330275229357797,0.9167275221846024,success
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260818,decode_priority_chunked,0.3333333333333333,0.3333333333333333,1.0,0.025248165430949664,0.04850774837848879,0.05149319126978348,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.02457142857142857,0.9761904761904762,1.0,13.95812562313061,3747.7567298105682,0,0,0,62,248,0.024497257769652652,4.123217550274223,0.3619744058500914,0.8147558034034832,success
pd1.psizemedium.occlow.slottft_tight.loadmoderate.s20260818,adaptive_prefill_control,0.3333333333333333,0.3333333333333333,1.0,0.025248165430949664,0.04850774837848879,0.05149319126978348,0.0010000000000000002,0.0010000000000000005,0.0006767368595210888,0.02457142857142857,0.9761904761904762,1.0,13.95812562313061,3747.7567298105682,0,0,0,62,248,0.024497257769652652,4.123217550274223,0.3619744058500914,0.8147558034034832,success
