source_scenario_id,canonical_policy_id,historical_anwg,reconstructed_anwg,abs_diff
kvp2.bulk10.phaseearly.tightloose.s20260910,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phaseearly.tightloose.s20260910,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260911,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260911,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260912,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phaseearly.tightloose.s20260912,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260913,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260913,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260914,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260914,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tightloose.s20260915,kv_constrained_online,0.9,1.0,0.09999999999999998
kvp2.bulk10.phaseearly.tightloose.s20260915,least_laxity_first,0.85,1.0,0.15000000000000002
kvp2.bulk10.phaseearly.tighttight.s20260910,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phaseearly.tighttight.s20260910,least_laxity_first,0.8,0.85,0.04999999999999993
kvp2.bulk10.phaseearly.tighttight.s20260911,kv_constrained_online,0.9,0.9,0.0
kvp2.bulk10.phaseearly.tighttight.s20260911,least_laxity_first,0.8,0.85,0.04999999999999993
kvp2.bulk10.phaseearly.tighttight.s20260912,kv_constrained_online,0.9,0.85,0.050000000000000044
kvp2.bulk10.phaseearly.tighttight.s20260912,least_laxity_first,0.9,0.8,0.09999999999999998
kvp2.bulk10.phaseearly.tighttight.s20260913,kv_constrained_online,1.0,0.95,0.050000000000000044
kvp2.bulk10.phaseearly.tighttight.s20260913,least_laxity_first,0.85,0.85,0.0
kvp2.bulk10.phaseearly.tighttight.s20260914,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tighttight.s20260914,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaseearly.tighttight.s20260915,kv_constrained_online,0.9,0.75,0.15000000000000002
kvp2.bulk10.phaseearly.tighttight.s20260915,least_laxity_first,0.7,0.75,0.050000000000000044
kvp2.bulk10.phaselate.tightloose.s20260910,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phaselate.tightloose.s20260910,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260911,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260911,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260912,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260912,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260913,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260913,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260914,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260914,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260915,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phaselate.tightloose.s20260915,least_laxity_first,0.95,1.0,0.050000000000000044
kvp2.bulk10.phaselate.tighttight.s20260910,kv_constrained_online,0.9,0.95,0.04999999999999993
kvp2.bulk10.phaselate.tighttight.s20260910,least_laxity_first,0.55,0.75,0.19999999999999996
kvp2.bulk10.phaselate.tighttight.s20260911,kv_constrained_online,0.9,0.75,0.15000000000000002
kvp2.bulk10.phaselate.tighttight.s20260911,least_laxity_first,0.8,0.6,0.20000000000000007
kvp2.bulk10.phaselate.tighttight.s20260912,kv_constrained_online,0.9,0.65,0.25
kvp2.bulk10.phaselate.tighttight.s20260912,least_laxity_first,0.5,0.5,0.0
kvp2.bulk10.phaselate.tighttight.s20260913,kv_constrained_online,0.95,0.95,0.0
kvp2.bulk10.phaselate.tighttight.s20260913,least_laxity_first,0.8,0.75,0.050000000000000044
kvp2.bulk10.phaselate.tighttight.s20260914,kv_constrained_online,0.95,0.9,0.04999999999999993
kvp2.bulk10.phaselate.tighttight.s20260914,least_laxity_first,0.95,0.75,0.19999999999999996
kvp2.bulk10.phaselate.tighttight.s20260915,kv_constrained_online,0.85,0.7,0.15000000000000002
kvp2.bulk10.phaselate.tighttight.s20260915,least_laxity_first,0.5,0.6,0.09999999999999998
kvp2.bulk10.phasemiddle.tightloose.s20260910,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phasemiddle.tightloose.s20260910,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260911,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260911,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260912,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260912,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260913,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260913,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260914,kv_constrained_online,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260914,least_laxity_first,1.0,1.0,0.0
kvp2.bulk10.phasemiddle.tightloose.s20260915,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phasemiddle.tightloose.s20260915,least_laxity_first,0.95,1.0,0.050000000000000044
kvp2.bulk10.phasemiddle.tighttight.s20260910,kv_constrained_online,0.95,1.0,0.050000000000000044
kvp2.bulk10.phasemiddle.tighttight.s20260910,least_laxity_first,0.95,0.9,0.04999999999999993
kvp2.bulk10.phasemiddle.tighttight.s20260911,kv_constrained_online,0.95,0.85,0.09999999999999998
kvp2.bulk10.phasemiddle.tighttight.s20260911,least_laxity_first,0.65,0.75,0.09999999999999998
kvp2.bulk10.phasemiddle.tighttight.s20260912,kv_constrained_online,0.9,0.7,0.20000000000000007
kvp2.bulk10.phasemiddle.tighttight.s20260912,least_laxity_first,0.5,0.55,0.050000000000000044
kvp2.bulk10.phasemiddle.tighttight.s20260913,kv_constrained_online,0.95,0.85,0.09999999999999998
kvp2.bulk10.phasemiddle.tighttight.s20260913,least_laxity_first,0.7,0.7,0.0
kvp2.bulk10.phasemiddle.tighttight.s20260914,kv_constrained_online,1.0,0.95,0.050000000000000044
kvp2.bulk10.phasemiddle.tighttight.s20260914,least_laxity_first,0.8,0.65,0.15000000000000002
kvp2.bulk10.phasemiddle.tighttight.s20260915,kv_constrained_online,0.9,0.7,0.20000000000000007
kvp2.bulk10.phasemiddle.tighttight.s20260915,least_laxity_first,0.55,0.55,0.0
kvp2.bulk24.phaseearly.tightloose.s20260910,kv_constrained_online,0.7647058823529411,0.9117647058823529,0.1470588235294118
kvp2.bulk24.phaseearly.tightloose.s20260910,least_laxity_first,0.7058823529411765,0.7352941176470589,0.02941176470588236
kvp2.bulk24.phaseearly.tightloose.s20260911,kv_constrained_online,0.8235294117647058,0.8235294117647058,0.0
kvp2.bulk24.phaseearly.tightloose.s20260911,least_laxity_first,0.7647058823529411,0.5588235294117647,0.2058823529411764
kvp2.bulk24.phaseearly.tightloose.s20260912,kv_constrained_online,0.7647058823529411,0.9117647058823529,0.1470588235294118
kvp2.bulk24.phaseearly.tightloose.s20260912,least_laxity_first,0.6176470588235294,0.7647058823529411,0.1470588235294117
kvp2.bulk24.phaseearly.tightloose.s20260913,kv_constrained_online,0.8235294117647058,0.7647058823529411,0.05882352941176472
kvp2.bulk24.phaseearly.tightloose.s20260913,least_laxity_first,0.7058823529411765,0.6764705882352942,0.02941176470588236
kvp2.bulk24.phaseearly.tightloose.s20260914,kv_constrained_online,0.9411764705882353,0.9411764705882353,0.0
kvp2.bulk24.phaseearly.tightloose.s20260914,least_laxity_first,0.9705882352941176,0.7647058823529411,0.20588235294117652
kvp2.bulk24.phaseearly.tightloose.s20260915,kv_constrained_online,0.7352941176470589,0.7647058823529411,0.02941176470588225
kvp2.bulk24.phaseearly.tightloose.s20260915,least_laxity_first,0.6470588235294118,0.5588235294117647,0.08823529411764708
kvp2.bulk24.phaseearly.tighttight.s20260910,kv_constrained_online,0.7058823529411765,0.7647058823529411,0.05882352941176461
kvp2.bulk24.phaseearly.tighttight.s20260910,least_laxity_first,0.7058823529411765,0.5294117647058824,0.17647058823529416
kvp2.bulk24.phaseearly.tighttight.s20260911,kv_constrained_online,0.7941176470588235,0.7352941176470589,0.05882352941176461
kvp2.bulk24.phaseearly.tighttight.s20260911,least_laxity_first,0.6470588235294118,0.5,0.1470588235294118
kvp2.bulk24.phaseearly.tighttight.s20260912,kv_constrained_online,0.7058823529411765,0.7647058823529411,0.05882352941176461
kvp2.bulk24.phaseearly.tighttight.s20260912,least_laxity_first,0.5882352941176471,0.6470588235294118,0.05882352941176472
kvp2.bulk24.phaseearly.tighttight.s20260913,kv_constrained_online,0.8235294117647058,0.6764705882352942,0.1470588235294117
kvp2.bulk24.phaseearly.tighttight.s20260913,least_laxity_first,0.6176470588235294,0.5,0.11764705882352944
kvp2.bulk24.phaseearly.tighttight.s20260914,kv_constrained_online,0.9411764705882353,0.9411764705882353,0.0
kvp2.bulk24.phaseearly.tighttight.s20260914,least_laxity_first,0.8823529411764706,0.7058823529411765,0.17647058823529405
kvp2.bulk24.phaseearly.tighttight.s20260915,kv_constrained_online,0.7352941176470589,0.6764705882352942,0.05882352941176472
kvp2.bulk24.phaseearly.tighttight.s20260915,least_laxity_first,0.4411764705882353,0.5294117647058824,0.08823529411764708
kvp2.bulk24.phaselate.tightloose.s20260910,kv_constrained_online,0.7647058823529411,0.9117647058823529,0.1470588235294118
kvp2.bulk24.phaselate.tightloose.s20260910,least_laxity_first,0.7647058823529411,0.7941176470588235,0.02941176470588236
kvp2.bulk24.phaselate.tightloose.s20260911,kv_constrained_online,0.8529411764705882,0.8823529411764706,0.02941176470588236
kvp2.bulk24.phaselate.tightloose.s20260911,least_laxity_first,0.7352941176470589,0.7058823529411765,0.02941176470588236
kvp2.bulk24.phaselate.tightloose.s20260912,kv_constrained_online,0.7941176470588235,0.9705882352941176,0.17647058823529416
kvp2.bulk24.phaselate.tightloose.s20260912,least_laxity_first,0.7058823529411765,0.7941176470588235,0.08823529411764697
kvp2.bulk24.phaselate.tightloose.s20260913,kv_constrained_online,0.8235294117647058,0.8823529411764706,0.05882352941176472
kvp2.bulk24.phaselate.tightloose.s20260913,least_laxity_first,0.7941176470588235,0.8235294117647058,0.02941176470588236
kvp2.bulk24.phaselate.tightloose.s20260914,kv_constrained_online,0.9411764705882353,0.9411764705882353,0.0
kvp2.bulk24.phaselate.tightloose.s20260914,least_laxity_first,0.8823529411764706,0.8235294117647058,0.05882352941176472
kvp2.bulk24.phaselate.tightloose.s20260915,kv_constrained_online,0.7352941176470589,0.7647058823529411,0.02941176470588225
kvp2.bulk24.phaselate.tightloose.s20260915,least_laxity_first,0.6470588235294118,0.6470588235294118,0.0
kvp2.bulk24.phaselate.tighttight.s20260910,kv_constrained_online,0.7352941176470589,0.7058823529411765,0.02941176470588236
kvp2.bulk24.phaselate.tighttight.s20260910,least_laxity_first,0.5882352941176471,0.5,0.08823529411764708
kvp2.bulk24.phaselate.tighttight.s20260911,kv_constrained_online,0.6176470588235294,0.7352941176470589,0.11764705882352944
kvp2.bulk24.phaselate.tighttight.s20260911,least_laxity_first,0.4411764705882353,0.4117647058823529,0.02941176470588236
kvp2.bulk24.phaselate.tighttight.s20260912,kv_constrained_online,0.6176470588235294,0.7352941176470589,0.11764705882352944
kvp2.bulk24.phaselate.tighttight.s20260912,least_laxity_first,0.4117647058823529,0.5294117647058824,0.11764705882352944
kvp2.bulk24.phaselate.tighttight.s20260913,kv_constrained_online,0.7058823529411765,0.6470588235294118,0.05882352941176472
kvp2.bulk24.phaselate.tighttight.s20260913,least_laxity_first,0.5294117647058824,0.5294117647058824,0.0
kvp2.bulk24.phaselate.tighttight.s20260914,kv_constrained_online,0.9117647058823529,0.7941176470588235,0.11764705882352944
kvp2.bulk24.phaselate.tighttight.s20260914,least_laxity_first,0.6764705882352942,0.5294117647058824,0.1470588235294118
kvp2.bulk24.phaselate.tighttight.s20260915,kv_constrained_online,0.7352941176470589,0.6470588235294118,0.08823529411764708
kvp2.bulk24.phaselate.tighttight.s20260915,least_laxity_first,0.35294117647058826,0.35294117647058826,0.0
kvp2.bulk24.phasemiddle.tightloose.s20260910,kv_constrained_online,0.7647058823529411,0.9117647058823529,0.1470588235294118
kvp2.bulk24.phasemiddle.tightloose.s20260910,least_laxity_first,0.7647058823529411,0.7352941176470589,0.02941176470588225
kvp2.bulk24.phasemiddle.tightloose.s20260911,kv_constrained_online,0.8235294117647058,0.8823529411764706,0.05882352941176472
kvp2.bulk24.phasemiddle.tightloose.s20260911,least_laxity_first,0.7058823529411765,0.7058823529411765,0.0
kvp2.bulk24.phasemiddle.tightloose.s20260912,kv_constrained_online,0.7941176470588235,0.9411764705882353,0.1470588235294118
kvp2.bulk24.phasemiddle.tightloose.s20260912,least_laxity_first,0.7058823529411765,0.7941176470588235,0.08823529411764697
kvp2.bulk24.phasemiddle.tightloose.s20260913,kv_constrained_online,0.8235294117647058,0.8823529411764706,0.05882352941176472
kvp2.bulk24.phasemiddle.tightloose.s20260913,least_laxity_first,0.8235294117647058,0.7941176470588235,0.02941176470588236
