statistic,point,n,mean,ci95_low,ci95_high
nonzero_prevalence,0.03678474114441417,10000,0.03655407864823801,0.013005733367409067,0.06518671401094833
top1pct_state_mass_share,0.4834614099565657,10000,0.5014690653562419,0.2691099789302993,0.8924050632911393
scenario_concentration_top1pct_of_144_units,0.42365519545606445,10000,0.4365310310617672,0.24737540747934925,0.7848101265822786
disagreement_auroc,0.5131489339410131,9994,0.5026286035129882,0.2514646720757268,0.684075541871768
disagreement_auprc,0.0377643740357697,9994,0.03999187309037858,0.013158676302916622,0.08009864612763255
