scenario,metric,sarathi_n,sarathi_mean,sarathi_median,sarathi_stdev,sarathi_p50,sarathi_p95,vllm_n,vllm_mean,vllm_median,vllm_stdev,vllm_p50,vllm_p95,sarathi_over_vllm_ratio_of_means
mistral_match_long_prompt_moderate_output,ttft_s,5,0.45081542065599933,0.4501929882535478,0.0023114167393910056,0.4501929882535478,0.45357007045531644,5,0.4883250466024037,0.46825067201280035,0.03744231837022624,0.46825067201280035,0.5377340521430597,0.9231871758219584
mistral_match_long_prompt_moderate_output,tpot_s,5,0.015638833468812768,0.015616320172750107,0.00032240241404774635,0.015616320172750107,0.015993206935738823,5,0.013256062294297178,0.01325193673524065,1.1607591584518418e-05,0.01325193673524065,0.013271745609989226,1.1797495456505716
mistral_match_long_prompt_moderate_output,e2e_s,5,4.124141330062412,4.120712687523337,0.07743044574193304,4.120712687523337,4.207801109118736,5,3.8686209316481834,3.847658378756023,0.039754211487021525,3.847658378756023,3.9217780095437775,1.0660494793697368
mistral_match_active_decode_plus_arriving_prefill,ttft_s,5,0.15986529932561097,0.15968306962167844,0.0020012320135096378,0.15968306962167844,0.16250223186652873,5,0.15429341454873793,0.15025058525498025,0.009179205455662495,0.15025058525498025,0.1667462648532819,1.0361122656671324
mistral_match_active_decode_plus_arriving_prefill,tpot_s,5,0.015598440101655403,0.015436681656172454,0.00045727315138349755,0.015436681656172454,0.01622500650408535,5,0.01132726812783832,0.011319333628965273,3.382272700123675e-05,0.011319333628965273,0.011372423493251063,1.3770699100271222
mistral_match_active_decode_plus_arriving_prefill,e2e_s,5,0.6313733358983882,0.623764702497283,0.02739653306544785,0.623764702497283,0.6686249442325789,5,1.648563903826289,1.6440999176193145,0.011020852909002182,1.6440999176193145,1.6635486104001758,0.38298384092541476
mistral_match_prefill_heavy_burst,ttft_s,5,0.6263154080059999,0.6248718536711143,0.003911974323766312,0.6248718536711143,0.6315753558961054,5,0.5677978370610315,0.568455687656145,0.002379042748058323,0.568455687656145,0.570509579932938,1.1030605738969705
mistral_match_prefill_heavy_burst,tpot_s,5,0.02348465594921201,0.023495791945919414,0.0003093448023257973,0.023495791945919414,0.023814518344137937,5,0.02064243927873391,0.020643110586372856,2.848744976805399e-05,0.020643110586372856,0.02067079026976811,1.1376880237892324
mistral_match_prefill_heavy_burst,e2e_s,5,1.3543397424315722,1.3555686125085533,0.012845883898009416,1.3555686125085533,1.3693599828615939,5,1.2077134547017825,1.2083589903389413,0.003057796260211493,1.2083589903389413,1.2112539289596802,1.121408176052817
mistral_match_mixed_prompt_lengths,ttft_s,5,0.2659918660026354,0.26055028234259225,0.014316712315633948,0.26055028234259225,0.28542256866542937,5,0.270177061954746,0.2650209727580659,0.03163179358000888,0.2650209727580659,0.3115674174565356,0.9845094327333695
mistral_match_mixed_prompt_lengths,tpot_s,5,0.01807903277772942,0.017618708803872406,0.0011488373988265852,0.017618708803872406,0.01965380620723675,5,0.014130515213418265,0.014221476285629683,0.0002943992013754058,0.014221476285629683,0.01434005919990817,1.2794319601709683
mistral_match_mixed_prompt_lengths,e2e_s,5,1.0192579158038522,0.9934574794994356,0.061767572127428186,0.9934574794994356,1.1041538549102066,5,0.8140231956999437,0.8224220414995216,0.020109194523377366,0.8224220414995216,0.8333174894874295,1.2521239212691426
mistral_match_kv_pressure,ttft_s,5,1.181513907464493,1.17906704407748,0.008692949225258354,1.17906704407748,1.1932058356818744,5,1.0549181654011286,1.0546297452431947,0.003179438395366333,1.0546297452431947,1.0581046578251214,1.120005272650914
mistral_match_kv_pressure,tpot_s,5,0.017277828811262955,0.017303367307042867,8.97487838159952e-05,0.017303367307042867,0.017361240753565033,5,0.01721955991985589,0.01721923212719976,9.598365807395951e-06,0.01721923212719976,0.01723098331829777,1.0033838780827304
mistral_match_kv_pressure,e2e_s,5,12.709731685164538,12.727179020332793,0.06569051594113341,12.727179020332793,12.774323421678856,5,13.545754165554536,13.527085827760553,0.033978902289053876,13.527085827760553,13.584029452011842,0.9382815847554714
