axis,branch_id,branch_type,candidate_canonical_action_id,candidate_hash_roundtrip_match,completed_count,completed_ids_hash,condition_id,continuation_policy,decision_step,first_step_warning_count,first_step_warnings,forced_once,live_fingerprint_unchanged,mean_latency,median_latency,original_live_state_not_mutated,outside_population_completed_count,p95_latency,policy_forever_switch,population_count,population_ids_hash,regime_stage,sbs_hash_match,source_dataset,state_id,unfinished_count,validity_class,window_index,source_shard_file
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1955::sbs_reference,SBS_REFERENCE,8c8473922b61983d84e52aa4b126f6ad9c54518358fadf86fa43112f2eb1e8ff,,88,78d79f30cf477d0d057d83ad6c9a40f91cac5cbb78f722555ba18058dca609c6,active_4,kv_constrained_online,1955,0,,True,True,0.05305164575576791,0.03158397865295415,True,112,0.14009129829406725,False,88,78d79f30cf477d0d057d83ad6c9a40f91cac5cbb78f722555ba18058dca609c6,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1955,0,VALID,11,shard_018_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1967::sbs_reference,SBS_REFERENCE,197c11443366e3496b6b1a18d74e7275aabfa72a590c3fb9e55218f84f8e26ee,,87,2d50056c08cb96ab950c26691bcc5a68d2992c5a697f051ae2e91bbe445befe3,active_4,kv_constrained_online,1967,0,,True,True,0.053348295365256905,0.03172593688964831,True,113,0.14118840370178234,False,87,2d50056c08cb96ab950c26691bcc5a68d2992c5a697f051ae2e91bbe445befe3,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1967,0,VALID,11,shard_068_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1977::sbs_reference,SBS_REFERENCE,7b3f233c87849a44b2b9c9841e6edda64bc764bc63dc0fbc58b52ac1a1e41135,,86,0065fb4bbbef42e49fc3761031014ca0aa7d5584a188f54473f6bc22e8558f9a,active_4,kv_constrained_online,1977,0,,True,True,0.05354542583643012,0.03158397865295415,True,114,0.1422855091094971,False,86,0065fb4bbbef42e49fc3761031014ca0aa7d5584a188f54473f6bc22e8558f9a,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step1977,0,VALID,11,shard_086_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2053::sbs_reference,SBS_REFERENCE,5720de9d1046f895845ca10be3e16a48a4ba71309525930ced26b37a001f98d5,,81,7e88f247cb4525c05f3c64b77dd0a5d6ed2f81f2824a3f2acbff58a5f0814888,active_4,kv_constrained_online,2053,0,,True,True,0.05321765110816494,0.03117310333251977,True,119,0.1477710361480713,False,81,7e88f247cb4525c05f3c64b77dd0a5d6ed2f81f2824a3f2acbff58a5f0814888,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2053,0,VALID,11,shard_062_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2746::sbs_reference,SBS_REFERENCE,17c60a48e419f2573c2945b7c029c7f4491737bcf529660e14c63ef5fa92f574,,48,a521ab8f2d7e6aa734eaac4330f0c06ccfcc1fd9a248c7b243f4df9e9da3abd3,active_4,kv_constrained_online,2746,0,,True,True,0.05764094245433817,0.03680504512786875,True,152,0.13548320951461787,False,48,a521ab8f2d7e6aa734eaac4330f0c06ccfcc1fd9a248c7b243f4df9e9da3abd3,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2746,0,VALID,11,shard_045_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2757::sbs_reference,SBS_REFERENCE,303c0bcb5b49f5c95df4c847c5117d0d735284656f1ec9c1ee14f86744c6f748,,47,b3f56d3aebd4d60c9655857580383ca9b70a06d39aa898387180b143a65da5b4,active_4,kv_constrained_online,2757,0,,True,True,0.05843679131852829,0.037965990066528565,True,153,0.13723861331939682,False,47,b3f56d3aebd4d60c9655857580383ca9b70a06d39aa898387180b143a65da5b4,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2757,0,VALID,11,shard_048_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2765::sbs_reference,SBS_REFERENCE,d6595f28619b645c0b2067a0689055c70a3712438cd7fb45747afffb670e14cb,,46,418cff0d6a3e23e8bb6b407c54d6489e1d8ef15e0e495d8977c287e16891a127,active_4,kv_constrained_online,2765,0,,True,True,0.05910100530541471,0.03862002468109149,True,154,0.13899401712417603,False,46,418cff0d6a3e23e8bb6b407c54d6489e1d8ef15e0e495d8977c287e16891a127,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2765,0,VALID,11,shard_064_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2768::sbs_reference,SBS_REFERENCE,fb9e83d83f9b0b5f4b77188299fbbad2d5e8fe2206c103373421a5ce5ead3de0,,45,27aa1280fa41b30c6141e60b31ba0c477935355cbc11100878f74d0373094132,active_4,kv_constrained_online,2768,0,,True,True,0.05972162534925682,0.03927405929565442,True,155,0.14074942092895498,False,45,27aa1280fa41b30c6141e60b31ba0c477935355cbc11100878f74d0373094132,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2768,0,VALID,11,shard_052_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2772::sbs_reference,SBS_REFERENCE,514c518fe9e33cac62d1ac9ba425d0e802400be5488e8cac27616ec7ae42f1be,,44,ba328a4a27ccf547e71f2565939c4e3d15c50df4491d8234adb895c6a7b94f94,active_4,kv_constrained_online,2772,0,,True,True,0.060373364015059126,0.04022506618499766,True,156,0.1425048247337342,False,44,ba328a4a27ccf547e71f2565939c4e3d15c50df4491d8234adb895c6a7b94f94,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2772,0,VALID,11,shard_036_of_096.csv
active_sequence_capacity,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2776::sbs_reference,SBS_REFERENCE,07588f7f4a9b1f46e0a7432b3294fcc27d339d0c142668762d2420373f57e4d7,,43,5ca265498f98bc370d59e2c137a009467c0f3fea61b6f517ac5919e10448e19e,active_4,kv_constrained_online,2776,0,,True,True,0.060894465734792395,0.0411760730743409,True,157,0.14426022853851314,False,43,5ca265498f98bc370d59e2c137a009467c0f3fea61b6f517ac5919e10448e19e,strongest-valid,True,azure_2023_code,phase_a::FRESH_LATENCY_SUPPORT::azure_2023_code::w11::faithful::active_4::step2776,0,VALID,11,shard_002_of_096.csv
