omitted,n_states,n_windows,mean_H_ms,boot_ci95_low_ms,boot_ci95_high_ms,ci_excludes_zero,boot_replicates,boot_seed
azure_2023_code:w1,709,35,2.0103114519832803,0.16405277539086036,3.5734858158095038,True,200000,20260920
azure_2023_code:w11,457,35,0.3646901823194302,0.15783406633359676,0.6823701247955324,True,200000,20260920
azure_2023_code:w13,683,35,2.0905058339234452,0.1778840568572129,3.645532856908961,True,200000,20260920
azure_2023_code:w15,717,35,2.004123588156318,0.18620390975328027,3.550378866658739,True,200000,20260920
azure_2023_code:w17,719,35,1.9985547580747276,0.18512734886976687,3.5438050017841896,True,200000,20260920
azure_2023_code:w19,716,35,2.006748642886389,0.18636996099285408,3.553665955046278,True,200000,20260920
azure_2023_code:w21,688,35,2.084430304341434,0.19392954361525008,3.63507203492967,True,200000,20260920
azure_2023_code:w23,713,35,2.015305329809566,0.1879855045396429,3.5641663940479016,True,200000,20260920
azure_2023_code:w25,717,35,2.0037613887208177,0.1852947455050233,3.550033290901713,True,200000,20260920
azure_2023_code:w27,718,35,2.001312350255373,0.1854453238090725,3.5465289028493188,True,200000,20260920
azure_2023_code:w29,718,35,2.001350477695757,0.18549699766976,3.5465525024201776,True,200000,20260920
azure_2023_code:w3,715,35,2.0095946208873547,0.18731657340571267,3.5641301992924648,True,200000,20260920
azure_2023_code:w31,640,35,2.2238098356901825,0.18813050447228633,3.7136140956981936,True,200000,20260920
azure_2023_code:w33,708,35,2.028836863581842,0.18924064063897367,3.5790520354399122,True,200000,20260920
azure_2023_code:w35,702,35,2.0264706168759323,0.16210958430516909,3.5853205414781932,True,200000,20260920
azure_2023_code:w37,667,35,2.0390625219679714,0.15765803445623022,3.6385797213368014,True,200000,20260920
azure_2023_code:w39,715,35,2.009673131925898,0.18607115613005556,3.560387298352455,True,200000,20260920
azure_2023_code:w5,712,35,2.017988315203664,0.18868128809843787,3.5745447815756766,True,200000,20260920
azure_2023_code:w7,703,35,2.0437397997876303,0.1934957529445533,3.6024778903591916,True,200000,20260920
azure_2023_conv:w1,717,35,2.0041099421979283,0.18512550423567017,3.553133402077121,True,200000,20260920
azure_2023_conv:w10,716,35,2.005386197412217,0.18225114572169507,3.5557642552261073,True,200000,20260920
azure_2023_conv:w11,709,35,2.023322517235147,0.18213376177162707,3.5787385666972646,True,200000,20260920
azure_2023_conv:w13,719,35,1.9985407163574764,0.18363014654524407,3.5472560596823275,True,200000,20260920
azure_2023_conv:w14,719,35,1.9978028654652358,0.18214631599563658,3.5469652374622767,True,200000,20260920
azure_2023_conv:w15,717,35,2.0038423196549413,0.1841549833608094,3.553292305346667,True,200000,20260920
azure_2023_conv:w18,625,35,2.263239105224156,0.1681876166206054,3.726698199889485,True,200000,20260920
azure_2023_conv:w2,718,35,2.0013112450856116,0.18455987209344135,3.550007718678104,True,200000,20260920
azure_2023_conv:w21,717,35,2.0040655706111195,0.185089769565838,3.5502059212399186,True,200000,20260920
azure_2023_conv:w22,718,35,2.001279659509647,0.18460412617925484,3.546676176659241,True,200000,20260920
azure_2023_conv:w23,715,35,2.0097477524273475,0.1862728940918888,3.5564510744471924,True,200000,20260920
azure_2023_conv:w25,718,35,2.001350477695757,0.18466859927084375,3.5451555067823564,True,200000,20260920
azure_2023_conv:w26,719,35,1.99856695825529,0.18416446124398853,3.5415763668792404,True,200000,20260920
azure_2023_conv:w3,713,35,2.0032391709884463,0.16656234851777663,3.5588041054495965,True,200000,20260920
azure_2023_conv:w5,715,35,2.0096831301783302,0.18547007715144925,3.560297807029361,True,200000,20260920
azure_2023_conv:w6,710,35,2.0233172276487674,0.18713913111579233,3.5766034210172992,True,200000,20260920
azure_2023_conv:w7,718,35,2.0009774176082127,0.1835530174826934,3.5489610309199278,True,200000,20260920
