omitted,omitted_label,n_states_omitted,share_of_total_headroom_omitted,n_states,n_windows,mean_H_ms,P_beneficial_canonical,P_beneficial_eps_guarded,sum_H_s,delta_mean_H_ms,delta_P_canonical
azure_2023_code:w1,azure_2023_code:w1,11,0.008113479353109375,709,35,2.0103114519832803,0.8180535966149506,0.8166431593794076,1.4253108194561455,0.01452028117001114,-0.0013908478294938353
azure_2023_code:w11,azure_2023_code:w11,263,0.8840174431425651,457,35,0.3646901823194302,0.8205689277899344,0.8183807439824945,0.1666634133199796,-1.631100988493839,0.0011244833454899794
azure_2023_code:w13,azure_2023_code:w13,37,0.0063704605455834765,683,35,2.0905058339234452,0.8096632503660323,0.808199121522694,1.427815484569713,0.09471466311017607,-0.009781194078412159
azure_2023_code:w15,azure_2023_code:w15,3,9.067886393303362e-06,717,35,2.004123588156318,0.8200836820083682,0.8186889818688982,1.4369566127080804,0.008332417343049014,0.0006392375639238113
azure_2023_code:w17,azure_2023_code:w17,1,6.104464257394142e-06,719,35,1.9985547580747276,0.8191933240611962,0.8178025034770514,1.4369608710557291,0.0027635872614584223,-0.00025112038324826
azure_2023_code:w19,azure_2023_code:w19,4,9.576728330394243e-05,716,35,2.006748642886389,0.8184357541899442,0.8170391061452514,1.4368320283066547,0.010957472073119812,-0.001008690254500233
azure_2023_code:w21,azure_2023_code:w21,32,0.0020053267045086493,688,35,2.084430304341434,0.8197674418604651,0.8183139534883721,1.4340880493869066,0.08863913352816488,0.0003229974160207094
azure_2023_code:w23,azure_2023_code:w23,7,3.9627024558970104e-05,713,35,2.015305329809566,0.8246844319775596,0.82328190743338,1.4369127001542206,0.019514158996296826,0.005239987533115165
azure_2023_code:w25,azure_2023_code:w25,3,0.00018979334327520086,717,35,2.0037613887208177,0.8214783821478382,0.8200836820083682,1.4366969157128264,0.007970217907548482,0.0020339377033937733
azure_2023_code:w27,azure_2023_code:w27,2,1.9050856313680716e-05,718,35,2.001312350255373,0.8189415041782729,0.8175487465181058,1.436942267483358,0.005521179442103952,-0.000502940266171481
azure_2023_code:w29,azure_2023_code:w29,2,0.0,718,35,2.001350477695757,0.8217270194986073,0.8203342618384402,1.4369696429855536,0.005559306882487958,0.0022825750541628498
azure_2023_code:w3,azure_2023_code:w3,5,7.619440788424851e-05,715,35,2.0095946208873547,0.8181818181818182,0.8167832167832167,1.4368601539344588,0.013803450074085566,-0.0012626262626261875
