omitted,omitted_label,n_states_omitted,share_of_total_headroom_omitted,n_states,n_windows,mean_H_ms,P_beneficial_canonical,P_beneficial_eps_guarded,sum_H_s,delta_mean_H_ms,delta_P_canonical,kind
azure_2023_code,Azure code,563,0.9747243764188844,157,17,0.23133951460887098,0.7898089171974523,0.7834394904458599,0.036320303793592745,-1.7644516562043981,-0.029635527246992144,workload
azure_2023_conv,Azure conversation,157,0.025275623581115476,563,19,2.4878318635736427,0.827708703374778,0.827708703374778,1.4006493391919608,0.49204069276037354,0.008264258930333557,workload
active_sequence_capacity,active_sequence_capacity,196,0.016399048272752743,524,15,2.697337229854491,0.9370229007633588,0.9370229007633588,1.4134047084437533,0.7015460590412219,0.11757845631891439,axis
kv_capacity,kv_capacity,524,0.9836009517272473,196,32,0.12022925786632842,0.5051020408163265,0.5,0.02356493454180037,-1.8755619129469407,-0.31434240362811794,axis
