concurrency_level,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
1,27,27,0,0,27,1.9607370370370372,1.7086,3.8193099999999998,4.015846,0.22232962962962965,0.2166,0.29035,0.308986
2,27,27,0,0,27,1.998937037037037,1.9826,3.61977,4.061577999999999,0.24559629629629628,0.231,0.3596,0.377754
4,27,27,0,0,27,1.8776407407407407,1.8975,3.4403799999999993,3.8720239999999992,0.2612703703703704,0.2547,0.32029,0.33005399999999996
8,27,27,0,0,27,1.9189148148148147,1.8212,3.6805,3.8454599999999997,0.2556148148148148,0.2363,0.38517,0.387592
