target_output_tokens,n_total,n_success,mean_output_tokens,p50_output_tokens,mean_output_token_ratio,frac_reached_target_range
64,36,36,51.97222222222222,52.0,0.8120659722222222,0.8333333333333334
128,36,36,127.55555555555556,125.0,0.9965277777777778,1.0
256,36,36,241.58333333333334,232.0,0.9436848958333334,1.0
