prompt_bucket,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
long,36,36,0,0,36,1.932822222222222,1.8024499999999999,3.218025,3.53447,0.2443361111111111,0.2279,0.3232,0.331905
medium,36,36,0,0,36,2.0350055555555553,1.8909,3.99415,4.1389949999999995,0.24658333333333335,0.2399,0.32957499999999995,0.36584999999999995
short,36,36,0,0,36,1.8493444444444447,1.9013499999999999,3.199375,3.66103,0.2476888888888889,0.238,0.38145,0.38752
