n_rows,estf_fraction,wfs_fraction,tie_fraction,regret_weighted_dominant_parent,dominant_parent_row_fraction,dominant_parent_regret_to_state_envelope_mean,within_sequence_switching_frequency,oracle_utility_advantage_best_parent_over_other,scenario_key,configuration_group_id,favored_tenant_size
4,0.25,0.75,0.0,WFS,0.75,0.25,0.3333333333333333,76.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260816,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
4,0.0,0.75,0.25,WFS,0.75,0.0,0.0,64.5,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260817,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,66.66666666666667,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260818,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,68.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260819,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,97.33333333333333,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260820,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,7.666666666666667,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260821,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,58.333333333333336,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260822,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,73.66666666666667,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260823,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,53.333333333333336,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260824,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,64.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260825,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,54.666666666666664,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260826,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,18.333333333333332,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260827,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,52.666666666666664,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260828,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,32.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260829,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,16.75,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260830,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,72.33333333333333,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260831,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,46.666666666666664,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260832,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
7,0.0,0.42857142857142855,0.5714285714285714,WFS,0.5714285714285714,0.0,0.0,7.428571428571429,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260833,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
6,0.0,0.6666666666666666,0.3333333333333333,WFS,0.6666666666666666,0.0,0.0,13.833333333333334,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260834,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,27.666666666666668,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260835,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,90.66666666666667,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260836,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,122.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.00.s20260837,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,38.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260816,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,53.5,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260817,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,0.75,0.25,WFS,0.75,0.0,0.0,44.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260818,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,97.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260819,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,72.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260820,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,78.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260821,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,56.5,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260822,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,0.75,0.25,WFS,0.75,0.0,0.0,71.5,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260823,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,0.75,0.25,WFS,0.75,0.0,0.0,40.75,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260824,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,77.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260825,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,101.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260826,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,44.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260827,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
5,0.0,0.6,0.4,WFS,0.6,0.0,0.0,13.4,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260828,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.25,0.75,0.0,WFS,0.75,0.25,0.3333333333333333,30.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260829,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,14.25,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260830,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,76.66666666666667,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260831,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,66.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260832,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
6,0.0,1.0,0.0,WFS,1.0,0.0,0.0,35.5,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260833,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,32.75,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260834,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,45.75,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260835,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
4,0.0,1.0,0.0,WFS,1.0,0.0,0.0,48.5,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260836,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,43.666666666666664,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew10.0000.favlong.noise0.30.s20260837,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,14.333333333333334,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260816,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
5,0.0,1.0,0.0,WFS,1.0,0.0,0.0,38.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260817,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
5,0.0,0.8,0.2,WFS,0.8,0.0,0.0,23.6,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260818,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
6,0.16666666666666666,0.6666666666666666,0.16666666666666666,WFS,0.6666666666666666,0.8333333333333334,0.25,19.0,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260819,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,13.666666666666666,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260820,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
3,1.0,0.0,0.0,ESTF,1.0,0.0,0.0,17.333333333333332,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260821,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
6,0.0,0.6666666666666666,0.3333333333333333,WFS,0.6666666666666666,0.0,0.0,2.1666666666666665,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260822,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,33.333333333333336,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260823,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
3,0.0,1.0,0.0,WFS,1.0,0.0,0.0,24.666666666666668,FAMILY_A_ORACLE_POLICY_V1::fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260824,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,long
