n_rows,estf_fraction,wfs_fraction,tie_fraction,regret_weighted_dominant_parent,dominant_parent_row_fraction,dominant_parent_regret_to_state_envelope_mean,within_sequence_switching_frequency,oracle_utility_advantage_best_parent_over_other,configuration_group_id,target_utilization,tenant_weight_skew,favored_tenant_size,prediction_noise_sigma
76,0.013157894736842105,0.8947368421052632,0.09210526315789473,WFS,0.8947368421052632,0.013157894736842105,0.014705882352941176,49.76315789473684,util1.1000.skew10.0000.favlong.noise0.00.n120.maxseq1,1.1,10.0,long,0.0
81,0.012345679012345678,0.9259259259259259,0.06172839506172839,WFS,0.9259259259259259,0.012345679012345678,0.013333333333333334,50.74074074074074,util1.1000.skew10.0000.favlong.noise0.30.n120.maxseq1,1.1,10.0,long,0.3
107,0.06542056074766354,0.822429906542056,0.11214953271028037,WFS,0.822429906542056,0.6448598130841121,0.14893617021276595,14.700934579439252,util1.1000.skew5.0000.favlong.noise0.00.n120.maxseq1,1.1,5.0,long,0.0
102,0.00980392156862745,0.9117647058823529,0.0784313725490196,WFS,0.9117647058823529,0.00980392156862745,0.021505376344086023,19.784313725490197,util1.3000.skew5.0000.favlong.noise0.30.n120.maxseq1,1.3,5.0,long,0.3
58,0.8620689655172413,0.0,0.13793103448275862,ESTF,0.8620689655172413,0.0,0.0,8.672413793103448,util1.3000.skew5.0000.favshort.noise0.30.n120.maxseq1,1.3,5.0,short,0.3
79,0.02531645569620253,0.9113924050632911,0.06329113924050633,WFS,0.9113924050632911,0.06329113924050633,0.0136986301369863,52.88607594936709,util1.5000.skew10.0000.favlong.noise0.00.n120.maxseq1,1.5,10.0,long,0.0
78,0.02564102564102564,0.9102564102564102,0.0641025641025641,WFS,0.9102564102564102,0.10256410256410256,0.041666666666666664,62.47435897435897,util1.5000.skew10.0000.favlong.noise0.30.n120.maxseq1,1.5,10.0,long,0.3
32,0.75,0.0,0.25,ESTF,0.75,0.0,0.0,7.8125,util1.5000.skew10.0000.favshort.noise0.00.n120.maxseq1,1.5,10.0,short,0.0
27,0.7407407407407407,0.0,0.25925925925925924,ESTF,0.7407407407407407,0.0,0.0,12.407407407407407,util1.5000.skew10.0000.favshort.noise0.30.n120.maxseq1,1.5,10.0,short,0.3
100,0.1,0.88,0.02,WFS,0.88,0.22,0.07216494845360824,21.39,util1.5000.skew5.0000.favlong.noise0.00.n120.maxseq1,1.5,5.0,long,0.0
101,0.1188118811881188,0.8118811881188119,0.06930693069306931,WFS,0.8118811881188119,0.46534653465346537,0.13978494623655913,16.584158415841586,util1.5000.skew5.0000.favlong.noise0.30.n120.maxseq1,1.5,5.0,long,0.3
77,0.948051948051948,0.0,0.05194805194805195,ESTF,0.948051948051948,0.0,0.0,13.025974025974026,util1.5000.skew5.0000.favshort.noise0.00.n120.maxseq1,1.5,5.0,short,0.0
80,0.9875,0.0,0.0125,ESTF,0.9875,0.0,0.0,12.5875,util1.5000.skew5.0000.favshort.noise0.30.n120.maxseq1,1.5,5.0,short,0.3
