scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk10.phasemiddle.tightloose.s20260912,kv_constrained_online,low,middle,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0693333333333332,942,2030,3597
kvp2.bulk10.phasemiddle.tightloose.s20260914,kv_constrained_online,low,middle,loose,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0613333333333332,441,1463,1509
kvp2.bulk10.phasemiddle.tightloose.s20260912,least_laxity_first,low,middle,loose,20260912,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.076,1588,1804,0
kvp2.bulk10.phasemiddle.tightloose.s20260913,kv_constrained_online,low,middle,loose,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0263333333333333,763,1671,1698
kvp2.bulk10.phasemiddle.tightloose.s20260913,least_laxity_first,low,middle,loose,20260913,False,success,1.0,1.0,1.0,10,1.0,10,1.0,1.1153333333333333,948,1459,0
kvp2.bulk10.phasemiddle.tighttight.s20260910,least_laxity_first,low,middle,tight,20260910,False,success,0.95,0.95,1.0,10,1.0,10,0.9,1.0723333333333334,1325,1835,0
kvp2.bulk10.phasemiddle.tightloose.s20260915,least_laxity_first,low,middle,loose,20260915,True,success,0.95,0.95,1.0,10,0.9,10,1.0,1.064,1434,1931,0
kvp2.bulk10.phasemiddle.tighttight.s20260910,kv_constrained_online,low,middle,tight,20260910,False,success,0.95,0.95,1.0,10,0.9,10,1.0,1.0901666666666667,1077,1935,96
kvp2.bulk10.phasemiddle.tighttight.s20260911,least_laxity_first,low,middle,tight,20260911,False,success,0.65,0.65,1.0,10,1.0,10,0.3,1.1005,1140,1543,0
kvp2.bulk10.phasemiddle.tighttight.s20260911,kv_constrained_online,low,middle,tight,20260911,False,success,0.95,0.95,1.0,10,1.0,10,0.9,1.0325,820,1667,204
kvp2.bulk10.phasemiddle.tightloose.s20260915,kv_constrained_online,low,middle,loose,20260915,True,success,0.95,0.95,1.0,10,0.9,10,1.0,0.9936666666666667,764,2201,3661
kvp2.bulk10.phasemiddle.tighttight.s20260912,kv_constrained_online,low,middle,tight,20260912,False,success,0.9,0.9,1.0,10,0.8,10,1.0,1.0693333333333332,840,2233,222
kvp2.bulk10.phasemiddle.tighttight.s20260914,least_laxity_first,low,middle,tight,20260914,True,success,0.8,0.8,1.0,10,1.0,10,0.6,1.0391666666666666,932,1251,0
kvp2.bulk10.phasemiddle.tighttight.s20260913,least_laxity_first,low,middle,tight,20260913,False,success,0.7,0.7,1.0,10,1.0,10,0.4,1.1153333333333333,948,1459,0
kvp2.bulk10.phasemiddle.tighttight.s20260914,kv_constrained_online,low,middle,tight,20260914,True,success,1.0,1.0,1.0,10,1.0,10,1.0,1.0205,579,1384,278
kvp2.bulk10.phasemiddle.tighttight.s20260913,kv_constrained_online,low,middle,tight,20260913,False,success,0.95,0.95,1.0,10,1.0,10,0.9,1.0261666666666667,865,1520,220
