policy,concurrency_level,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,1,135,135,0,1.3997482547282103,0.015049536675818402
edf,2,135,135,0,1.4600197537103667,0.01785655660830714
edf,4,135,135,0,1.4478573025389643,0.020088183337874297
edf,8,135,135,0,1.4924846167201866,0.021934497007599998
estimated_service_time_first,1,135,135,0,1.4284924330987485,0.015395389591705881
estimated_service_time_first,2,135,135,0,1.4910876602538068,0.018447521822613284
estimated_service_time_first,4,135,135,0,1.4970704897393092,0.02085384429535932
estimated_service_time_first,8,135,135,0,1.5230490958115466,0.022970182303753164
fifo,1,135,135,0,1.4090495860061816,0.01524828598636237
fifo,2,135,135,0,1.4678724788711406,0.018316214923591662
fifo,4,135,135,0,1.4878884151793534,0.020201818874812927
fifo,8,135,135,0,1.5038569720224821,0.022193382442842618
least_laxity_first,1,135,135,0,1.4107354712629414,0.015011271000494835
least_laxity_first,2,135,135,0,1.4729746111948905,0.018136144911059766
least_laxity_first,4,135,135,0,1.4772753516707948,0.02057377077397649
least_laxity_first,8,135,135,0,1.5115047560970265,0.02257405374052555
selector,1,135,112,0,1.2898201736050916,0.01552507456965811
selector,2,135,119,0,1.3686559174680386,0.020404463284648955
selector,4,135,123,0,1.4931284527983364,0.021303293934542444
selector,8,135,127,0,1.522422421448149,0.022995411380337127
shortest_output_first,1,135,135,0,1.4240959533641149,0.015469230231139119
shortest_output_first,2,135,135,0,1.482316819528825,0.018148457948377147
shortest_output_first,4,135,135,0,1.5096186708301065,0.020525583403650672
shortest_output_first,8,135,135,0,1.5271643676976157,0.022863165835453267
vllm_direct,1,135,135,0,1.4198352514727353,0.015690164790161092
vllm_direct,2,135,135,0,1.4884185767771365,0.01859358539244298
vllm_direct,4,135,135,0,1.5268931602938445,0.020987110992859083
vllm_direct,8,135,135,0,1.5471761533899957,0.02390060764953011
