policy,point_estimate_wg,ci_low_2.5pct,ci_high_97.5pct,n_boot
edf,0.2303082191780822,0.1983736505397841,0.2659247878865999,2000
estimated_service_time_first,0.22345890410958905,0.1919191919191919,0.257951292237429,2000
fifo,0.2440068493150685,0.21034674763472996,0.2781848854782166,2000
least_laxity_first,0.22773972602739725,0.19566844169514397,0.26344744248653934,2000
selector,0.21575342465753425,0.18478260869565216,0.24888171022562144,2000
shortest_output_first,0.24315068493150685,0.21074614794908303,0.2785196295433364,2000
vllm_direct,0.24143835616438356,0.20821987627005334,0.27559584377624957,2000
selector_minus_edf,-0.014667519139508364,-0.05897233935664772,0.029362332787112387,2000
selector_minus_estimated_service_time_first,-0.007831787932764334,-0.05514036405061379,0.0387906005112581,2000
selector_minus_fifo,-0.02794040485664672,-0.0739332532992198,0.019834168607128184,2000
selector_minus_least_laxity_first,-0.012311650976335058,-0.06045487650101154,0.03410557688398613,2000
selector_minus_shortest_output_first,-0.02788441936423809,-0.0758340501012325,0.01926042447330379,2000
selector_minus_vllm_direct,-0.025276978958228873,-0.07166207298385441,0.02111817638427581,2000
