policy,prompt_bucket,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,long,180,180,0,1.584479116638411,0.02092712953356871
edf,medium,180,180,0,1.5829389623864296,0.018416231895227814
edf,short,180,180,0,1.1826643667484555,0.016853218793403357
estimated_service_time_first,long,180,180,0,1.613266042151372,0.02203110229618485
estimated_service_time_first,medium,180,180,0,1.6284864683519118,0.018823853277070965
estimated_service_time_first,short,180,180,0,1.2130222486742746,0.01739524793681792
fifo,long,180,180,0,1.5856072743245426,0.02149116526124999
fifo,medium,180,180,0,1.5988784772890439,0.018234023876074288
fifo,short,180,180,0,1.2170148374457819,0.017244587533382906
least_laxity_first,long,180,180,0,1.6076538602281492,0.02158093598425492
least_laxity_first,medium,180,180,0,1.5995488271799534,0.018644280286712778
least_laxity_first,short,180,180,0,1.1971649552611376,0.016996214048574782
selector,long,180,167,0,1.5842742568138475,0.02285457054511393
selector,medium,180,167,0,1.5537543569187477,0.019896730441114903
selector,short,180,147,0,1.0903509003213183,0.017470711681811253
shortest_output_first,long,180,180,0,1.6280635891954363,0.021913337425859127
shortest_output_first,medium,180,180,0,1.6149451257748297,0.018767952956194576
shortest_output_first,short,180,180,0,1.2143881435952304,0.01707353768191145
vllm_direct,long,180,180,0,1.6484421340700162,0.02335014107844068
vllm_direct,medium,180,180,0,1.638675866209087,0.018768458816339262
vllm_direct,short,180,180,0,1.199624356171181,0.01726000172396501
