scenario_id,fold,states,scenario_gain,mean_state_gain,overrides,beneficial_overrides,harmful_overrides,oracle_gain
joint_mm_0220,2,52,0.0,0.0,2,0,0,0.0536792223955552
joint_mm_0222,3,16,0.0,0.0,1,0,0,0.0
joint_mm_0213,0,16,0.0,0.0,0,0,0,0.3769900951469352
joint_mm_0226,3,12,0.0,0.0,0,0,0,0.0
joint_mm_0207,4,36,0.0,0.0,8,0,0,0.0519506590552848
joint_mm_0214,4,30,0.0,0.0,5,0,0,0.0657509514245191
joint_mm_0208,0,59,0.0,0.0,0,0,0,0.7833146288264062
joint_mm_0167,0,52,0.0,0.0,11,0,0,0.0929896449561853
joint_mm_0170,4,36,0.0,0.0,18,0,0,0.10756670826583
joint_mm_0144,3,1,0.0,0.0,1,0,0,0.0
joint_mm_0137,0,61,0.0,0.0,0,0,0,0.2706024055666374
joint_mm_0145,2,19,0.0,0.0,7,0,0,0.0
joint_mm_0149,4,32,0.0,0.0,7,0,0,0.0
joint_mm_0163,2,10,0.0,0.0,3,0,0,0.0
joint_mm_0161,0,17,0.0,0.0,6,0,0,0.0
joint_mm_0160,0,52,0.0,0.0,40,0,0,0.0
joint_mm_0002,2,62,5.551115123125783e-17,8.953411488912552e-19,5,2,1,0.4949925931277971
joint_mm_0157,2,37,1.1102230246251563e-16,3.00060276925718e-18,15,3,1,0.2246959648113566
joint_mm_0134,0,25,1.1102230246251563e-16,4.4408920985006255e-18,4,1,0,0.097562981777533
joint_mm_0092,3,26,1.1102230246251563e-16,4.2700885562506015e-18,2,1,0,0.0801286007402666
joint_mm_0186,2,15,2.2204460492503126e-16,1.480297366166875e-17,13,2,0,0.0350754211034629
joint_mm_0219,4,65,0.0073770136129113,0.0001134925171217,19,1,0,0.0073770136129113
joint_mm_0022,3,34,0.0075025039053605,0.0002206618795694,8,5,3,0.5537697652806199
joint_mm_0063,3,29,0.0089713693874892,0.0003093575650858,22,1,0,0.0269141081624676
joint_mm_0084,0,47,0.0091134018492038,0.0001939021670043,13,1,0,0.0091134018492038
joint_mm_0175,2,42,0.010408025133718,0.0002478101222313,3,1,0,0.8284184275489502
joint_mm_0139,4,61,0.0104955316384979,0.000172057895713,35,1,0,0.0419821265539916
joint_mm_0210,2,45,0.0106587419794672,0.000236860932877,2,1,0,0.0426349679178688
joint_mm_0197,4,32,0.0122241808599936,0.0003820056518748,19,2,1,0.0488967234399742
joint_mm_0209,3,45,0.0143139917190299,0.0003180887048673,5,2,0,0.0790797050618695
joint_mm_0181,2,47,0.0148889001192619,0.0003167851089204,8,1,0,0.0744445005963095
joint_mm_0221,1,43,0.0168687632725026,0.0003922968202907,12,2,0,0.0674750530900104
joint_mm_0125,2,38,0.0205127735031356,0.0005398098290298,2,2,0,0.164102188025085
joint_mm_0031,3,26,0.0216811032963162,0.0008338885883198,3,1,0,0.325216549444743
joint_mm_0138,3,38,0.025198278440458,0.0006631125905383,3,1,0,0.5023419160780614
joint_mm_0239,3,27,0.026841510426952,0.000994130015813,8,3,1,0.1494382395895037
joint_mm_0185,1,36,0.0297557226058058,0.0008265478501612,5,3,0,0.3288040737087577
joint_mm_0225,4,48,0.0301420344911549,0.000627959051899,29,10,1,0.123753291921331
joint_mm_0035,1,56,0.0312292280287472,0.0005576647862276,26,4,0,0.0858803770790548
joint_mm_0192,1,26,0.0325529179306668,0.0012520353050256,1,1,0,0.2168972731001922
joint_mm_0153,2,47,0.0332448981970344,0.0007073382595113,2,1,0,0.4402997917844886
joint_mm_0102,2,45,0.03338371942571,0.0007418604316824,3,2,0,0.1540205672428423
joint_mm_0135,4,20,0.0364462305464864,0.0018223115273243,12,1,0,0.0591440053513126
joint_mm_0174,3,34,0.0372102096121815,0.00109441792977,20,1,0,0.0478793501140642
joint_mm_0140,4,52,0.038126825563536,0.0007332081839141,34,3,0,0.146227699656147
joint_mm_0095,2,118,0.0387676727218602,0.0003285395993377,101,3,2,0.6361262524339161
joint_mm_0052,3,57,0.0389971074660975,0.0006841597801069,5,3,1,0.0786850181089073
joint_mm_0162,2,38,0.0410361783631696,0.0010798994306097,8,2,0,0.0820723567263392
joint_mm_0148,3,52,0.0425711992718283,0.0008186769090736,24,5,1,0.0709519987863805
joint_mm_0230,2,41,0.0432333107957609,0.0010544709950185,22,10,2,0.1783920946153777
joint_mm_0126,3,54,0.0437020890781851,0.0008092979458923,5,5,0,0.1893757193388022
joint_mm_0096,4,34,0.0437897455705746,0.0012879336932521,10,3,0,0.5126368167147879
joint_mm_0193,1,52,0.0492540791419641,0.0009471938296531,17,1,0,0.1655056980399547
joint_mm_0034,0,29,0.0520469432109988,0.0017947221796896,17,4,0,0.0910821506192479
joint_mm_0191,0,30,0.0528237103367815,0.0017607903445593,23,5,0,0.2142048075826127
joint_mm_0118,2,59,0.0532874332253076,0.0009031768343272,19,6,5,0.3894105381678762
joint_mm_0106,2,21,0.0559969998980284,0.002666523804668,6,3,0,0.1650615244879548
joint_mm_0079,4,11,0.0572867416215135,0.0052078856019557,8,5,0,0.1031161349187243
joint_mm_0041,0,43,0.0599860649078658,0.0013950247652992,28,10,1,0.2862896797402945
joint_mm_0229,4,21,0.0630865034419064,0.0030041192115193,12,2,0,0.157716258604766
joint_mm_0112,1,26,0.0679886705355699,0.0026149488667526,26,5,2,0.108781872856912
joint_mm_0008,0,52,0.0700362051949116,0.0013468500999021,28,4,0,0.1103746317843333
joint_mm_0098,1,14,0.071229942943844,0.0050878530674174,6,3,0,0.1272727145927805
joint_mm_0199,1,42,0.0756427652350771,0.0018010182198827,25,7,3,0.5873576124659767
joint_mm_0169,1,31,0.0833156760626005,0.0026876024536322,31,5,0,0.0999788112751206
joint_mm_0200,3,57,0.0837519467311969,0.0014693323987929,13,7,3,0.3235328849622191
joint_mm_0087,1,32,0.0860389709501914,0.0026887178421934,31,11,0,0.1955431157958893
joint_mm_0077,3,59,0.088939712233493,0.0015074527497202,6,3,0,0.2747181814565638
joint_mm_0237,3,51,0.0917814935006589,0.0017996371274638,27,17,0,0.2321531894428432
joint_mm_0236,1,46,0.0949195016192351,0.0020634674265051,21,6,2,0.1840801496475444
