fold,scenario_count,state_count,selected_model_family,selected_hyperparameters,selected_threshold,train_selection_metric,override_rate,mean_realized_gain,total_realized_gain,beneficial_overrides,harmful_overrides,zero_effect_overrides,override_precision,oracle_mean_gain,oracle_gap_closure
0,50,1901,EXTRA_TREES,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":20,""model_name"":""EXTRA_TREES"",""n_estimators"":100,""n_jobs"":4}",0.0,0.0001929780005451,0.30405049973698056,0.00016707436998906547,0.3176083773492135,53,46,479,0.09169550173010381,0.004023670945261118,0.0415228710950724
1,48,1739,EXTRA_TREES,"{""max_depth"":null,""max_features"":1.0,""min_samples_leaf"":20,""model_name"":""EXTRA_TREES"",""n_estimators"":100,""n_jobs"":4}",0.0,0.000409427611025,0.5618171362852213,-8.899437743042069e-08,-0.00015476122235150158,164,138,675,0.16786079836233367,0.0040090226836738165,-2.219852179755376e-05
2,48,1894,HIST_GRADIENT_BOOSTING,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":100,""max_leaf_nodes"":15,""model_name"":""HIST_GRADIENT_BOOSTING""}",0.001,0.0005374163479959,0.34318901795142553,-0.00021750187377387852,-0.4119485489277259,91,144,415,0.14,0.004883125852890866,-0.044541525311110906
3,45,1681,HIST_GRADIENT_BOOSTING,"{""l2_regularization"":0.0,""learning_rate"":0.05,""max_iter"":100,""max_leaf_nodes"":31,""model_name"":""HIST_GRADIENT_BOOSTING""}",0.001,0.0003512720985022,0.280785246876859,0.0005679401177869571,0.954707337999875,143,63,266,0.3029661016949153,0.005498759524071228,0.10328513463823197
4,45,1673,HIST_GRADIENT_BOOSTING,"{""l2_regularization"":0.1,""learning_rate"":0.1,""max_iter"":100,""max_leaf_nodes"":15,""model_name"":""HIST_GRADIENT_BOOSTING""}",0.0,0.0004872394334155,0.4303646144650329,0.0005267866410250683,0.8813140504349393,117,59,544,0.1625,0.0049892732150137765,0.10558384324190868
