active_sequence_capacity_binding_states,active_sequence_capacity_near_binding_states,canonical_action_collapse_states,disagreement_rate,disagreement_states,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_sequences,max_kv_utilization,max_queue_length,mean_active_sequences,mean_kv_utilization,mean_queue_length,no_policy_choice_states,policy_ranking_proxy_difference_states,requests,sbs_decision_states,schema_version,source_dataset,token_budget_binding_proxy_states,true_canonical_disagreement_states,unique_alternative_canonical_action_hashes,window_disagreement_fraction,windows,windows_with_disagreement
0,0,194,0.0,0,0,0,9,0.0027155,4,1.3595487639011121,0.00034507713117049363,0.04000320025602048,99992,194,4000,99992,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,0.0,20,0
0,0,22,0.0,0,0,0,7,0.00172775,2,1.7041743779559941,0.00025949180655216077,0.008658289771312921,461985,22,4000,461985,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_conv,0,0,0,0.0,20,0
0,0,462,0.0,0,0,0,31,0.003802,31,1.3641162327652165,0.000248303167022733,0.00908139426646173,440461,462,4000,440461,industry_realism_action_opportunity_phase_a_v1.0.0,burstgpt,0,0,0,0.0,20,0
