reserve,source_dataset,axis,condition_id,decision_states,disagreement_states,P_D,beneficial_states,total_headroom_mass_sim_ms,opportunity_weighted_headroom_sim_ms_per_decision,beneficial_decision_rate
0.82,azure_2023_code,active_sequence_capacity,active_4,94595,122,0.0012897087583910354,64,9.355565696091787,9.89012706389533e-05,0.0006765685289920186
0.82,azure_2023_code,active_sequence_capacity,active_8,94407,10,0.00010592434883006557,4,0.334267272573012,3.540704318249833e-06,4.236973953202623e-05
0.82,azure_2023_code,kv_capacity,kv_16000,94495,431,0.004561087888248055,398,1390.9595062233127,0.014719927046122152,0.004211863061537647
0.82,azure_2023_conv,active_sequence_capacity,active_4,594842,64,0.00010759159575147686,31,13.875101573136927,2.33256924916817e-05,5.211467919212161e-05
0.82,azure_2023_conv,kv_capacity,kv_16000,592176,93,0.00015704790467698792,93,22.445202220460093,3.790292450295198e-05,0.00015704790467698792
0.9,azure_2023_code,active_sequence_capacity,active_4,94595,122,0.0012897087583910354,64,9.355565696091787,9.89012706389533e-05,0.0006765685289920186
0.9,azure_2023_code,active_sequence_capacity,active_8,94407,10,0.00010592434883006557,4,0.334267272573012,3.540704318249833e-06,4.236973953202623e-05
0.9,azure_2023_code,kv_capacity,kv_16000,94427,224,0.0023722028657057834,208,1378.9778465844488,0.014603639283091158,0.002202759803869656
0.9,azure_2023_conv,active_sequence_capacity,active_4,594842,64,0.00010759159575147686,31,13.875101573136927,2.33256924916817e-05,5.211467919212161e-05
0.9,azure_2023_conv,kv_capacity,kv_16000,592176,46,7.767960876496177e-05,46,5.543589743590677,9.361388748599533e-06,7.767960876496177e-05
1.0,azure_2023_code,active_sequence_capacity,active_4,94595,122,0.0012897087583910354,64,9.355565696091787,9.89012706389533e-05,0.0006765685289920186
1.0,azure_2023_code,active_sequence_capacity,active_8,94407,10,0.00010592434883006557,4,0.334267272573012,3.540704318249833e-06,4.236973953202623e-05
1.0,azure_2023_code,kv_capacity,kv_16000,94407,2,2.1184869766013114e-05,0,0.0,0.0,0.0
1.0,azure_2023_conv,active_sequence_capacity,active_4,594842,64,0.00010759159575147686,31,13.875101573136927,2.33256924916817e-05,5.211467919212161e-05
1.0,azure_2023_conv,kv_capacity,kv_16000,592176,0,0.0,0,0.0,0.0,0.0
