reserve,source_dataset,axis,condition_id,decision_states,disagreement_states,P_D_percent,beneficial_states,mean_conditional_H_LAT_sim_ms,headroom_mass_sim_ms
0.82,azure_2023_code,active_sequence_capacity,active_8,94407,10,0.010592434883006556,4,0.0334267272573012,0.334267272573012
0.82,azure_2023_code,active_sequence_capacity,active_4,94595,122,0.12897087583910355,64,0.07668496472206383,9.355565696091787
0.82,azure_2023_code,kv_capacity,kv_16000,94495,431,0.4561087888248055,398,3.22728423717706,1390.9595062233127
0.82,azure_2023_conv,active_sequence_capacity,active_4,594842,64,0.010759159575147685,31,0.2167984620802645,13.875101573136927
0.82,azure_2023_conv,kv_capacity,kv_16000,592176,93,0.015704790467698793,93,0.24134626043505478,22.445202220460093
0.90,azure_2023_code,active_sequence_capacity,active_8,94407,10,0.010592434883006556,4,0.0334267272573012,0.334267272573012
0.90,azure_2023_code,active_sequence_capacity,active_4,94595,122,0.12897087583910355,64,0.07668496472206383,9.355565696091787
0.90,azure_2023_code,kv_capacity,kv_16000,94427,224,0.23722028657057834,208,6.156151100823433,1378.9778465844488
0.90,azure_2023_conv,active_sequence_capacity,active_4,594842,64,0.010759159575147685,31,0.2167984620802645,13.875101573136927
0.90,azure_2023_conv,kv_capacity,kv_16000,592176,46,0.007767960876496177,46,0.12051282051284079,5.543589743590677
1.00,azure_2023_code,active_sequence_capacity,active_8,94407,10,0.010592434883006556,4,0.0334267272573012,0.334267272573012
1.00,azure_2023_code,active_sequence_capacity,active_4,94595,122,0.12897087583910355,64,0.07668496472206383,9.355565696091787
1.00,azure_2023_code,kv_capacity,kv_16000,94407,2,0.0021184869766013113,0,0.0,0.0
1.00,azure_2023_conv,active_sequence_capacity,active_4,594842,64,0.010759159575147685,31,0.2167984620802645,13.875101573136927
1.00,azure_2023_conv,kv_capacity,kv_16000,592176,0,0.0,0,0.0,0.0
