reserve,source_dataset,window_index,axis,condition_id,decision_states,disagreement_states,P_D
0.82,azure_2023_code,5,kv_capacity,kv_16000,5109,0,0.0
0.82,azure_2023_code,7,kv_capacity,kv_16000,4521,0,0.0
0.82,azure_2023_code,9,kv_capacity,kv_16000,6669,0,0.0
0.82,azure_2023_code,11,kv_capacity,kv_16000,2724,205,0.07525697503671072
0.82,azure_2023_code,13,kv_capacity,kv_16000,4245,37,0.008716136631330978
0.82,azure_2023_code,15,kv_capacity,kv_16000,5048,1,0.00019809825673534074
0.82,azure_2023_code,17,kv_capacity,kv_16000,4705,1,0.00021253985122210415
0.82,azure_2023_code,19,kv_capacity,kv_16000,4624,4,0.0008650519031141869
0.82,azure_2023_code,21,kv_capacity,kv_16000,4330,25,0.005773672055427252
0.82,azure_2023_code,23,kv_capacity,kv_16000,4877,3,0.0006151322534344885
0.82,azure_2023_code,25,kv_capacity,kv_16000,4974,0,0.0
0.82,azure_2023_code,27,kv_capacity,kv_16000,4066,0,0.0
0.82,azure_2023_code,29,kv_capacity,kv_16000,4974,1,0.0002010454362685967
0.82,azure_2023_code,31,kv_capacity,kv_16000,4569,75,0.016414970453053186
0.82,azure_2023_code,33,kv_capacity,kv_16000,4087,2,0.0004893564962074871
0.82,azure_2023_code,35,kv_capacity,kv_16000,3992,15,0.00375751503006012
0.82,azure_2023_code,37,kv_capacity,kv_16000,5462,49,0.008971072867081655
0.82,azure_2023_code,39,kv_capacity,kv_16000,4098,0,0.0
0.82,azure_2023_conv,1,active_sequence_capacity,active_4,33782,3,8.880468888757326e-05
0.82,azure_2023_conv,2,active_sequence_capacity,active_4,30803,2,6.492874070707399e-05
0.82,azure_2023_conv,3,active_sequence_capacity,active_4,26879,7,0.0002604263551471409
0.82,azure_2023_conv,5,active_sequence_capacity,active_4,27041,5,0.00018490440442291335
0.82,azure_2023_conv,6,active_sequence_capacity,active_4,29020,10,0.00034458993797381116
0.82,azure_2023_conv,7,active_sequence_capacity,active_4,32750,2,6.106870229007633e-05
0.82,azure_2023_conv,9,active_sequence_capacity,active_4,33440,0,0.0
