policy,target_output_tokens,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,64,12,12,0,0.6925191374175483,0.015722423670619417
edf,128,12,12,0,1.1240928645856911,0.015817526427175228
estimated_service_time_first,64,12,12,0,0.6758864087654123,0.0152500194235472
estimated_service_time_first,128,12,12,0,1.1487285128290143,0.015626290672419902
fifo,64,12,12,0,0.6922116003309687,0.016125832495163195
fifo,128,12,12,0,1.2938152292578404,0.01642372525626949
least_laxity_first,64,12,12,0,0.6834125006619919,0.01581599207808419
least_laxity_first,128,12,12,0,1.1472358210739912,0.015821200829426136
selector,64,12,12,0,0.6786663851623113,0.015871903907585267
selector,128,12,12,0,1.156232118664775,0.015602093257863695
shortest_output_first,64,12,12,0,0.69456629633108,0.01620208674770159
shortest_output_first,128,12,12,0,1.0754463360111306,0.01662215510441456
vllm_direct,64,12,12,0,0.6969409991676608,0.01665603949610765
vllm_direct,128,12,12,0,1.0664808738365537,0.016043699346482754
