policy,concurrency_level,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,1,8,8,0,0.8511746280055377,0.013976458998513408
edf,2,8,8,0,0.9802778909943299,0.016500370140420273
edf,4,8,8,0,0.8934654840049916,0.016833096007758286
estimated_service_time_first,1,8,8,0,0.8242324917518999,0.01337061725644162
estimated_service_time_first,2,8,8,0,0.8728202575075557,0.01669626975490246
estimated_service_time_first,4,8,8,0,1.0398696331321844,0.016247578132606577
fifo,1,8,8,0,0.8442010425060289,0.013850917377567384
fifo,2,8,8,0,1.064216349637718,0.01708947787847137
fifo,4,8,8,0,1.0706228522394667,0.017883941371110268
least_laxity_first,1,8,8,0,0.8329764321242692,0.013436882996757049
least_laxity_first,2,8,8,0,1.0351159723650198,0.0170121172486688
least_laxity_first,4,8,8,0,0.8778800781146856,0.017006789115839638
selector,1,8,8,0,0.8277980589991785,0.014225723505660426
selector,2,8,8,0,0.9592323098768247,0.01648399511759635
selector,4,8,8,0,0.9653173868646263,0.01650127712491667
shortest_output_first,1,8,8,0,0.8510534075030591,0.013772630256426055
shortest_output_first,2,8,8,0,0.8989965387518168,0.017967437270272058
shortest_output_first,4,8,8,0,0.90496900225844,0.017496295251476113
vllm_direct,1,8,8,0,0.8432752527442062,0.013542422748287208
vllm_direct,2,8,8,0,0.9006742506244336,0.018288233011844568
vllm_direct,4,8,8,0,0.9011833061376819,0.017218952503753826
