policy,concurrency_level,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,1,8,8,0,0.8386532213844475,0.013622681130073033
edf,2,8,8,0,0.9041145083829178,0.016833742876769975
edf,4,8,8,0,0.9020784051172086,0.016660329485603143
estimated_service_time_first,1,8,8,0,0.8427254329944844,0.013715247994696256
estimated_service_time_first,2,8,8,0,0.8967503686217242,0.017397465257090516
estimated_service_time_first,4,8,8,0,1.049930956120079,0.01761335325136315
fifo,1,8,8,0,0.8454843217477901,0.014026914628630038
fifo,2,8,8,0,0.9861001335957553,0.0169918448664248
fifo,4,8,8,0,0.9798098811152158,0.01676402800512733
least_laxity_first,1,8,8,0,0.8425838791299611,0.013938351883552969
least_laxity_first,2,8,8,0,0.8945537303661695,0.017303889246250037
least_laxity_first,4,8,8,0,0.9002314082681551,0.01698019813920837
shortest_output_first,1,8,8,0,0.8465257042626035,0.013761268754024059
shortest_output_first,2,8,8,0,1.0476783673730097,0.017466901132138446
shortest_output_first,4,8,8,0,0.8938581723778043,0.016825038503156975
vllm_direct,1,8,8,0,0.9290677022363525,0.013830500880430918
vllm_direct,2,8,8,0,1.0550865588738816,0.017019034494296648
vllm_direct,4,8,8,0,1.0617403498690692,0.017214437626535073
