policy,prompt_bucket,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,medium,12,12,0,1.0418657733292396,0.01658238208134814
edf,short,12,12,0,0.7213649832604764,0.014828786913615962
estimated_service_time_first,medium,12,12,0,1.0394394542478647,0.01671729876155344
estimated_service_time_first,short,12,12,0,0.8201650509096604,0.01576674557387984
fifo,medium,12,12,0,1.0383676566464903,0.016890598242753185
fifo,short,12,12,0,0.8358952343260171,0.014964593424034925
least_laxity_first,medium,12,12,0,1.0386748814295668,0.016847327681413542
least_laxity_first,short,12,12,0,0.7195711304132905,0.015300965164594041
shortest_output_first,medium,12,12,0,1.0337398335929417,0.01639169293048326
shortest_output_first,short,12,12,0,0.82496832908267,0.01564377932906306
vllm_direct,medium,12,12,0,1.0449856368262165,0.016667802250594832
vllm_direct,short,12,12,0,0.9856107704933189,0.015374846416913593
