id,label,n_states,sum_H_s,mean_H_ms,n_windows,P_beneficial_canonical,share_of_states,share_of_total_headroom,contribution_to_pooled_mean_ms,cum_share_of_total_headroom,rank
azure_2023_code:w11,azure_2023_code:w11,263,1.270306229665574,4.830061709755034,1,0.8174904942965779,0.36527777777777776,0.8840174431425654,1.764314207868853,0.8840174431425654,1
azure_2023_code:w37,azure_2023_code:w37,53,0.0769149408329168,1.4512252987342793,1,0.9433962264150944,0.07361111111111111,0.05352579381782393,0.10682630671238445,0.9375432369603893,2
azure_2023_conv:w18,azure_2023_conv:w18,95,0.022445202220456345,0.23626528653111942,1,0.9789473684210527,0.13194444444444445,0.015619816556334862,0.031173891972856037,0.9531630535167241,3
azure_2023_code:w35,azure_2023_code:w35,18,0.014387269938649106,0.7992927743693947,1,0.8888888888888888,0.025,0.010012229561619032,0.019982319359234866,0.9631752830783432,4
azure_2023_code:w31,azure_2023_code:w31,80,0.01373134814383699,0.17164185179796237,1,0.9625,0.1111111111111111,0.00955576773028255,0.019071316866440265,0.9727310508086258,5
azure_2023_code:w1,azure_2023_code:w1,11,0.01165882352940824,1.0598930481280218,1,0.9090909090909091,0.015277777777777777,0.008113479353109375,0.016192810457511447,0.9808445301617351,6
azure_2023_code:w13,azure_2023_code:w13,37,0.009154158415840644,0.24740968691461196,1,1.0,0.05138888888888889,0.0063704605455834765,0.012714108910889784,0.9872149907073186,7
azure_2023_conv:w3,azure_2023_conv:w3,7,0.008660114070791541,1.2371591529702202,1,0.8571428571428571,0.009722222222222222,0.006026650676348773,0.012027936209432696,0.9932416413836673,8
azure_2023_code:w21,azure_2023_code:w21,32,0.002881593598647191,0.09004979995772472,1,0.8125,0.044444444444444446,0.0020053267045086493,0.004002213331454432,0.995246968088176,9
azure_2023_conv:w11,azure_2023_conv:w11,11,0.0024339782658348223,0.22127075143952932,1,0.36363636363636365,0.015277777777777777,0.0016938271992843288,0.003380525369215031,0.9969407952874604,10
azure_2023_conv:w10,azure_2023_conv:w10,4,0.001113125638406556,0.27828140960163905,1,0.5,0.005555555555555556,0.0007746340667947895,0.0015460078311202168,0.9977154293542552,11
azure_2023_code:w33,azure_2023_code:w33,12,0.0005531435696092527,0.046095297467437735,1,0.5833333333333334,0.016666666666666666,0.0003849375470869385,0.0007682549577906288,0.9981003669013421,12
azure_2023_conv:w14,azure_2023_conv:w14,1,0.0005493827160493,0.5493827160493,1,1.0,0.001388888888888889,0.0003823203355276609,0.0007630315500684722,0.9984826872368697,13
azure_2023_conv:w6,azure_2023_conv:w6,10,0.00041441135492882895,0.0414411354928829,1,0.5,0.013888888888888888,0.0002883925606582875,0.0005755713262900402,0.998771079797528,14
azure_2023_code:w25,azure_2023_code:w25,3,0.0002727272727272,0.09090909090906665,1,0.3333333333333333,0.004166666666666667,0.00018979334327520086,0.00037878787878777774,0.9989608731408032,15
azure_2023_conv:w7,azure_2023_conv:w7,2,0.0002678571428571,0.13392857142855,1,0.5,0.002777777777777778,0.0001864041764310207,0.00037202380952375,0.9991472773172342,16
azure_2023_code:w7,azure_2023_code:w7,17,0.00022056373484942438,0.012974337344083786,1,0.23529411764705882,0.02361111111111111,0.0001534922716886106,0.0003063385206242005,0.9993007695889228,17
azure_2023_conv:w15,azure_2023_conv:w15,3,0.00021469979296058524,0.07156659765352842,1,0.6666666666666666,0.004166666666666667,0.00014941150219047717,0.00029819415688970175,0.9994501810911133,18
azure_2023_code:w5,azure_2023_code:w5,8,0.00016196256054502867,0.020245320068128583,1,0.625,0.011111111111111112,0.00011271119145462486,0.00022494800075698425,0.9995628922825679,19
azure_2023_code:w19,azure_2023_code:w19,4,0.00013761467889896253,0.03440366972474063,1,1.0,0.005555555555555556,9.576728330394243e-05,0.00019113149847078132,0.9996586595658719,20
azure_2023_code:w3,azure_2023_code:w3,5,0.00010948905109492424,0.021897810218984848,1,1.0,0.006944444444444444,7.619440788424851e-05,0.0001520681265207281,0.999734853973756,21
azure_2023_code:w23,azure_2023_code:w23,7,5.694283133308303e-05,0.008134690190440432,1,0.2857142857142857,0.009722222222222222,3.9627024558970104e-05,7.90872657403931e-05,0.999774480998315,22
azure_2023_conv:w21,azure_2023_conv:w21,3,5.462885738111156e-05,0.018209619127037186,1,0.6666666666666666,0.004166666666666667,3.8016709432782895e-05,7.587341302932161e-05,0.9998124977077478,23
azure_2023_code:w39,azure_2023_code:w39,5,5.3353658536581944e-05,0.010670731707316389,1,0.4,0.006944444444444444,3.712928717528818e-05,7.410230352303048e-05,0.9998496269949231,24
azure_2023_conv:w22,azure_2023_conv:w22,2,5.084745762701237e-05,0.025423728813506186,1,0.5,0.002777777777777778,3.5385199593617e-05,7.062146892640607e-05,0.9998850121945166,25
azure_2023_conv:w5,azure_2023_conv:w5,5,4.620490804746469e-05,0.009240981609492938,1,0.6,0.006944444444444444,3.215440790486428e-05,6.417348339925652e-05,0.9999171666024215,26
azure_2023_conv:w2,azure_2023_conv:w2,2,2.816901408453365e-05,0.014084507042266825,1,0.5,0.002777777777777778,1.960306831952806e-05,3.91236306729634e-05,0.999936769670741,27
azure_2023_code:w27,azure_2023_code:w27,2,2.737550219563886e-05,0.01368775109781943,1,1.0,0.002777777777777778,1.9050856313680716e-05,3.802153082727619e-05,0.9999558205270547,28
azure_2023_conv:w1,azure_2023_conv:w1,3,2.2814429639250733e-05,0.007604809879750245,1,0.6666666666666666,0.004166666666666667,1.5876765212555082e-05,3.168670783229268e-05,0.9999716972922672,29
azure_2023_conv:w13,azure_2023_conv:w13,1,1.8867924528293e-05,0.018867924528293,1,1.0,0.001388888888888889,1.3130357081929453e-05,2.620545073374028e-05,0.9999848276493492,30
azure_2023_code:w15,azure_2023_code:w15,3,1.3030277473218693e-05,0.004343425824406231,1,0.6666666666666666,0.004166666666666667,9.067886393303362e-06,1.809760760169263e-05,0.9999938955357425,31
azure_2023_code:w17,azure_2023_code:w17,1,8.771929824565733e-06,0.008771929824565733,1,1.0,0.001388888888888889,6.104464257394142e-06,1.2183235867452406e-05,0.9999999999999999,32
azure_2023_code:w29,azure_2023_code:w29,2,0.0,0.0,1,0.0,0.002777777777777778,0.0,0.0,0.9999999999999999,33
azure_2023_conv:w26,azure_2023_conv:w26,1,0.0,0.0,1,0.0,0.001388888888888889,0.0,0.0,0.9999999999999999,34
azure_2023_conv:w23,azure_2023_conv:w23,5,0.0,0.0,1,0.0,0.006944444444444444,0.0,0.0,0.9999999999999999,35
azure_2023_conv:w25,azure_2023_conv:w25,2,0.0,0.0,1,0.0,0.002777777777777778,0.0,0.0,0.9999999999999999,36
