scenario_id,policy_name,generator_family,template_name,seed,workload_tag,num_completed,num_dropped,num_slo_violated,num_total,completion_fraction,mean_latency,median_latency,p95_latency,p99_latency,max_latency,mean_queuing_delay,p95_queuing_delay,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_prefill_delay,p95_prefill_delay,slo_violation_rate,weighted_goodput,arrival_normalized_weighted_goodput,weighted_completion_fraction,request_throughput
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,fifo,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260809,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,60,0,13,60,1.0,0.1572113791918025,0.1580913107046651,0.2713621526509845,0.2987572856800067,0.3211559796843759,0.026844712525135792,0.12300406959521493,0.027844712525135814,0.12400406959521483,0.14068078554574645,0.001,0.0010000000000000024,0.0010000000000000193,0.001000000000000334,0.21666666666666667,0.7833333333333333,0.7833333333333333,1.0,13.522650439486139
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,fifo,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260810,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,60,0,4,60,1.0,0.1402880599459617,0.1408060376654281,0.20975314373802928,0.21300537220476815,0.21365914761621818,0.006938059945961683,0.04460806643900566,0.007938059945961713,0.04560806643900597,0.0707540579992628,0.0009999999999999998,0.0010000000000000026,0.0010000000000000295,0.001000000000000334,0.06666666666666667,0.9333333333333333,0.9333333333333333,1.0,13.10615989515072
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,estimated_service_time_first,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260809,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,60,0,10,60,1.0,0.1582947125251358,0.15446020248202677,0.26321606522293234,0.4100304812821252,0.510655352851427,0.027928045858469138,0.10262040671140767,0.028928045858469153,0.10362040671140797,0.2998660631346221,0.001,0.0010000000000000024,0.001000000000000012,0.001000000000000334,0.16666666666666666,0.8333333333333334,0.8333333333333334,1.0,13.583880461851937
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,shortest_output_first,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260809,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,60,0,11,60,1.0,0.15812804585846915,0.1580913107046651,0.2610191131503795,0.38113606313462184,0.510655352851427,0.027761379191802476,0.09927477513482921,0.028761379191802484,0.10027477513482952,0.27862606313462196,0.001,0.0010000000000000024,0.001000000000000012,0.001000000000000334,0.18333333333333332,0.8166666666666667,0.8166666666666667,1.0,13.583880461851937
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,aging_priority,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260809,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260809,60,0,11,60,1.0,0.15756137919180244,0.15446020248202677,0.26016911315037955,0.37755030492544667,0.45010472307295024,0.027194712525135802,0.12956525460687981,0.02819471252513582,0.1305652546068799,0.2680703049254469,0.001,0.0010000000000000024,0.0010000000000000193,0.001000000000000334,0.18333333333333332,0.8166666666666667,0.8166666666666667,1.0,13.583880461851937
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,shortest_output_first,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260810,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,60,0,3,60,1.0,0.14065472661262837,0.14400420496874355,0.19950099214658734,0.21300537220476815,0.21365914761621818,0.007304726612628349,0.047161669042415345,0.00830472661262838,0.048161669042415235,0.0707540579992628,0.0009999999999999998,0.0010000000000000026,0.0010000000000000306,0.001000000000000334,0.05,0.95,0.95,1.0,13.10615989515072
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,estimated_service_time_first,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260810,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,60,0,3,60,1.0,0.14065472661262837,0.14400420496874355,0.19930099214658736,0.21287537220476804,0.21765914761621818,0.007304726612628349,0.047161669042415345,0.00830472661262838,0.048161669042415235,0.07045720922954042,0.0009999999999999998,0.0010000000000000026,0.0010000000000000306,0.001000000000000334,0.05,0.95,0.95,1.0,13.10615989515072
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,aging_priority,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260810,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260810,60,0,4,60,1.0,0.1402880599459617,0.1408060376654281,0.20975314373802928,0.21300537220476815,0.21365914761621818,0.006938059945961683,0.04460806643900566,0.007938059945961713,0.04560806643900597,0.0707540579992628,0.0009999999999999998,0.0010000000000000026,0.0010000000000000295,0.001000000000000334,0.06666666666666667,0.9333333333333333,0.9333333333333333,1.0,13.10615989515072
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260811,fifo,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260811,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260811,60,0,21,60,1.0,0.15221091571383283,0.15239526137421794,0.2516353932033524,0.26370804545802917,0.26820374014635995,0.02836091571383285,0.10390133093369773,0.029360915713832834,0.10490133093369805,0.12952673381236343,0.0010000000000000002,0.0010000000000000024,0.0009999999999999842,0.001000000000000334,0.35,0.65,0.65,1.0,14.943960149439603
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260812,shortest_output_first,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260812,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260812,60,0,16,60,1.0,0.15680367052150018,0.14094062416572206,0.28801006427719966,0.3794006024659724,0.4147235010960806,0.03183700385483347,0.20744922862903253,0.03283700385483345,0.2084492286290324,0.2679306024659722,0.0010000000000000005,0.0010000000000000028,0.0009999999999999805,0.001000000000000334,0.26666666666666666,0.7333333333333333,0.7333333333333333,1.0,14.378145219266715
sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260812,fifo,sobol_family_b_prediction_sensitive,prediction_inversion_boundary_grid,20260812,sobolB.idx0.case2b_prediction_inversion_boundary.stress.moderate.util0.607073.inv0.729613.s20260812,60,0,13,60,1.0,0.15098700385483352,0.14126539461830512,0.25097371194327556,0.3517035538226746,0.38446470217568285,0.026020337188166796,0.1309685912584197,0.027020337188166797,0.13196859125842003,0.16346688029872278,0.0010000000000000002,0.0010000000000000024,0.0010000000000000028,0.001000000000000334,0.21666666666666667,0.7833333333333333,0.7833333333333333,1.0,14.261944378416924
