generator_family,policy_name,n,mean,median,std,sign_consistency
sobol_family_b_prediction_sensitive,aging_priority,1024,0.5773437500000002,0.5833333333333334,0.16970971548861322,1.0
sobol_family_b_prediction_sensitive,estimated_service_time_first,1024,0.5915364583333333,0.5833333333333334,0.15683959305759623,1.0
sobol_family_b_prediction_sensitive,fifo,1024,0.526513671875001,0.5333333333333333,0.20124217386607143,1.0
sobol_family_b_prediction_sensitive,shortest_output_first,1024,0.5856933593749998,0.5833333333333334,0.15965579131086322,1.0
sobol_family_c_deadline_admission,admission_control,512,0.1460937500000002,0.1,0.15983363245280124,0.94921875
sobol_family_c_deadline_admission,edf,512,0.14648437500000008,0.1,0.16060269645599554,0.94921875
sobol_family_c_deadline_admission,fifo,512,0.3645182291666669,0.36666666666666664,0.1451309704365487,1.0
sobol_family_c_deadline_admission,least_laxity_first,512,0.1928385416666667,0.13333333333333333,0.15286185765793994,0.958984375
sobol_family_c_deadline_admission,scorpio_style_slo_guard,512,0.5809895833333332,0.6,0.20801230974287635,1.0
fcfs_categorical_add_on,aging_priority,80,0.5321027012203479,0.4901960784313726,0.31206606741417187,1.0
fcfs_categorical_add_on,estimated_service_time_first,80,0.5321027012203479,0.4901960784313726,0.31206606741417187,1.0
fcfs_categorical_add_on,fifo,80,0.3879048402577815,0.23613053613053614,0.3756561226299394,1.0
fcfs_categorical_add_on,shortest_output_first,80,0.5321027012203479,0.4901960784313726,0.31206606741417187,1.0
