target_output_tokens,n_total,n_success,mean_output_tokens,p50_output_tokens,mean_output_token_ratio,frac_reached_target_range
64,36,36,66.66666666666667,65.0,1.0416666666666667,1.0
128,36,36,118.66666666666667,118.0,0.9270833333333334,1.0
256,36,36,232.66666666666666,233.0,0.9088541666666666,1.0
