prompt_bucket,n_total,n_success,n_failed,n_skipped,count,mean_latency_s,p50_latency_s,p95_latency_s,p99_latency_s,mean_ttft_s,p50_ttft_s,p95_ttft_s,p99_ttft_s
long,36,36,0,0,36,1.3338916666666667,1.2271,2.0415,2.2131600000000002,0.7495888888888889,0.64615,1.524525,1.8155799999999995
medium,36,36,0,0,36,1.2341083333333334,1.06985,2.0414499999999998,2.3856499999999996,0.6709222222222223,0.5824,1.261225,1.6195299999999992
short,36,36,0,0,36,1.2344583333333334,1.0994000000000002,1.7792999999999999,1.8497449999999998,0.6017388888888889,0.59275,0.7311000000000001,0.9395599999999995
