scenario_id,policy_name,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,ttft_attainment,tbt_attainment,request_throughput,token_throughput,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,status
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260818,decode_priority_chunked,0.36538461538461536,0.36538461538461536,1.0,0.010292071760997612,0.01776918058917968,0.017954669046268787,0.001,0.0010000000000000002,0.0007343794533053103,0.009557692307692298,1.0,1.0,22.559652928416483,7035.574837310195,0,0,0,0,0,0.0,7.032523850823938,0.19297484822202948,0.9624753616720592,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260818,chunked_prefill_large,0.36538461538461536,0.36538461538461536,1.0,0.004311302530228388,0.005897174630225167,0.005969912791646977,0.001,0.0010000000000000002,0.0007343794533053103,0.0035769230769230774,1.0,1.0,22.569444444444443,7038.628472222222,0,0,0,0,0,0.006507592190889371,7.035574837310195,0.05813449023861171,0.9510580534791179,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260818,adaptive_prefill_control,0.36538461538461536,0.36538461538461536,1.0,0.010292071760997612,0.01776918058917968,0.017954669046268787,0.001,0.0010000000000000002,0.0007343794533053103,0.009557692307692298,1.0,1.0,22.559652928416483,7035.574837310195,0,0,0,0,0,0.0,7.032523850823938,0.19297484822202948,0.9624753616720592,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260818,full_prefill,0.36538461538461536,0.36538461538461536,1.0,0.0033497640686899264,0.003980569317359304,0.004895159815767518,0.001,0.0010000000000000002,0.0007343794533053103,0.002615384615384616,1.0,1.0,22.569444444444443,7038.628472222222,0,0,0,0,0,0.01388286334056399,7.035574837310195,0.03644251626898048,0.9624009818141247,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260819,full_prefill,0.28846153846153844,0.28846153846153844,1.0,0.0031921486358553078,0.003924801059675516,0.004390510877049469,0.001,0.0010000000000000002,0.0006921486358553118,0.0024999999999999957,1.0,1.0,15.762352227947863,5583.510154592301,0,0,0,0,0,0.0080545229244114,5.70631970260223,0.024163568773234202,0.9638664491225277,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260819,chunked_prefill_small,0.28846153846153844,0.28846153846153844,1.0,0.009749840943547618,0.016083931745767895,0.01719116235405531,0.001,0.0010000000000000002,0.0006921486358553118,0.009057692307692305,1.0,1.0,15.757575757575756,5581.818181818181,0,0,0,0,0,0.0,5.690454124189064,0.12944084028421377,0.9352938835608261,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260819,chunked_prefill_large,0.28846153846153844,0.28846153846153844,1.0,0.004153687097393771,0.005736532857882838,0.005896481883850101,0.001,0.0010000000000000002,0.0006921486358553118,0.003461538461538458,1.0,1.0,15.762352227947863,5583.510154592301,0,0,0,0,0,0.0037163208423660575,5.7045524930318985,0.03964075565190461,0.948426121214533,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260818,chunked_prefill_small,0.36538461538461536,0.36538461538461536,1.0,0.010292071760997612,0.01776918058917968,0.017954669046268787,0.001,0.0010000000000000002,0.0007343794533053103,0.009557692307692298,1.0,1.0,22.559652928416483,7035.574837310195,0,0,0,0,0,0.0,7.032523850823938,0.19297484822202948,0.9624753616720592,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260819,decode_priority_chunked,0.28846153846153844,0.28846153846153844,1.0,0.009749840943547618,0.016083931745767895,0.01719116235405531,0.001,0.0010000000000000002,0.0006921486358553118,0.009057692307692305,1.0,1.0,15.757575757575756,5581.818181818181,0,0,0,0,0,0.0,5.690454124189064,0.12944084028421377,0.9352938835608261,success
pd1.psizeshort.occlow.slottft_tight.loadhigh.s20260818,full_prefill,0.3194444444444444,0.3194444444444444,1.0,0.003364224567840382,0.0039881179684395016,0.004724792128175824,0.001,0.0010000000000000002,0.000753113456729271,0.002611111111111111,1.0,1.0,30.52140737600678,9885.120813904197,0,0,0,0,0,0.019846639603067207,10.518267929634641,0.05232295895354082,0.9683328487219476,success
pd1.psizeshort.occlow.slottft_tight.loadmoderate.s20260819,adaptive_prefill_control,0.28846153846153844,0.28846153846153844,1.0,0.009749840943547618,0.016083931745767895,0.01719116235405531,0.001,0.0010000000000000002,0.0006921486358553118,0.009057692307692305,1.0,1.0,15.757575757575756,5581.818181818181,0,0,0,0,0,0.0,5.690454124189064,0.12944084028421377,0.9352938835608261,success
