provider,target_output_tokens,fit,n,r2,effective_decode_rate_tokens_per_sec,decode_intercept_s
Cohere,overall,True,108,0.886569250484566,88.48598618257714,0.10649755291990237
Cohere,64,True,36,0.48671877548791753,94.94492415588981,0.10736218319486814
Cohere,128,True,36,0.4228657815372333,96.8111843361493,0.27811566271482707
Cohere,256,True,36,0.23071022828047494,106.19853102764984,0.5532947740870419
Gemini,overall,True,108,0.8334044240984967,288.9269821113135,0.11115867473428595
Gemini,64,True,36,0.00032916616593703374,,0.4053749402628435
Gemini,128,True,36,0.007993165338463726,553.1148721642053,0.24886579861111058
Gemini,256,True,36,0.4654290402298028,70.83236177987507,-2.351898158379374
