provider,model_type,n,mean_residual,std_residual,rmse
Cohere,latency,108,1.0399088997322299e-13,0.3217872558157035,0.3217872558157035
Cohere,ttft,108,9.894348714830678e-17,0.05120352767819288,0.051203527678192876
Gemini,latency,108,-1.7266743590482747e-13,0.1022267465523217,0.1022267465523217
Gemini,ttft,108,-1.850371707708594e-17,0.2662213781625737,0.2662213781625737
