scenario_id,policy_name,eval_id,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,mean_ttft,p95_ttft,p99_ttft,mean_tpot,p95_tpot,mean_queuing_delay,mean_prefill_delay_s,request_throughput,token_throughput,global_tbt_attainment,decode_stalled_steps,cumulative_decode_tokens_deferred,steps_with_prefill_while_decode_deferred,prefill_stalled_steps,cumulative_prefill_requests_stalled,budget_saturation_fraction,mean_num_decoding,mean_num_prefilling,fraction_prefill_tokens_while_decodes_active,mean_theoretical_chunks,mean_interchunk_extra_wait_s,steps_decode_active_prefill_stalled,mean_num_prefilling_saturated,mean_num_decoding_saturated,n_saturated_steps,status,composition_id,parent_policy,split,seed,run_config_id
pd2.hog12.late40.slolate_ttft.s20260821,chunked_prefill_small,d7a7dfdfc44cb679,0.7115384615384616,0.7115384615384616,1.0,0.1019501020753375,0.2827110749364449,0.31992988755840585,0.001,0.0010000000000000005,0.000527025152260559,0.10142307692307692,123.80952380952381,9914.285714285714,1.0,0,0,0,196,3058,0.47268408551068886,9.890736342042755,12.403800475059382,0.9155053171711163,40.75,0.06067307692307692,184,23.537688442211056,8.06532663316583,199,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog12.late40.slolate_ttft.s20260821,full_prefill,037da8d5252aebd0,0.23076923076923078,0.23076923076923078,1.0,0.1408154866907221,0.22108643593942776,0.22287673646938946,0.001,0.0010000000000000002,0.000527025152260559,0.14028846153846156,134.02061855670104,10731.958762886597,1.0,0,0,0,261,6928,0.6786632390745502,10.704370179948587,18.619537275064268,0.8781586971071614,1.0,0.13928846153846153,232,27.424242424242426,3.9204545454545454,264,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog12.late40.slohog_ttft.s20260822,full_prefill,b11cfe5a74774b30,0.8269230769230769,0.8269230769230769,1.0,0.18335569137833302,0.2541502587734209,0.260357267327134,0.0010000000000000005,0.0010000000000000009,0.0005095375321791615,0.18284615384615385,121.21212121212122,9233.100233100233,1.0,0,0,0,298,9102,0.7023255813953488,9.211627906976744,21.990697674418605,0.9164894241684826,1.0,0.18184615384615382,276,31.307947019867548,4.6092715231788075,302,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog12.late40.slolate_ttft.s20260822,full_prefill,993c473999046ab2,0.23076923076923078,0.23076923076923078,1.0,0.18335569137833302,0.2541502587734209,0.260357267327134,0.0010000000000000005,0.0010000000000000009,0.0005095375321791615,0.18284615384615385,121.21212121212122,9233.100233100233,1.0,0,0,0,298,9102,0.7023255813953488,9.211627906976744,21.990697674418605,0.9164894241684826,1.0,0.18184615384615382,276,31.307947019867548,4.6092715231788075,302,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog12.late40.slolate_ttft.s20260822,chunked_prefill_small,cff30b8e9f42a680,0.2692307692307692,0.2692307692307692,1.0,0.15472107599371762,0.2918403474385726,0.36349772877129866,0.001,0.0010000000000000002,0.0005095375321791614,0.1542115384615385,104.0,7922.0,1.0,0,0,0,247,5500,0.500998003992016,7.906187624750499,15.902195608782435,0.9729960723932304,46.48076923076923,0.10773076923076924,247,30.067729083665338,7.629482071713148,251,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog12.late40.slolate_ttft.s20260820,chunked_prefill_small,3aa4837631675225,0.2692307692307692,0.2692307692307692,1.0,0.16746018056739317,0.29801482071981145,0.3896469353204879,0.001,0.0010000000000000002,0.00044094979816238064,0.16701923076923078,102.97029702970298,8817.821782178218,1.0,0,0,0,240,6141,0.48616600790513836,8.800395256916996,17.061264822134387,0.9865961538461538,47.30769230769231,0.11971153846153845,240,33.08943089430894,5.085365853658536,246,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog12.late40.slohog_ttft.s20260822,chunked_prefill_small,dbae2fc8f0c9a9ba,0.7692307692307693,0.7692307692307693,1.0,0.15472107599371762,0.2918403474385726,0.36349772877129866,0.001,0.0010000000000000002,0.0005095375321791614,0.1542115384615385,104.0,7922.0,1.0,0,0,0,247,5500,0.500998003992016,7.906187624750499,15.902195608782435,0.9729960723932304,46.48076923076923,0.10773076923076924,247,30.067729083665338,7.629482071713148,251,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog12.late40.slolate_ttft.s20260820,full_prefill,3e1847f5b3d02783,0.23076923076923078,0.23076923076923078,1.0,0.189056334413547,0.25765178938914196,0.26500795345926953,0.001,0.0010000000000000005,0.00044094979816238064,0.1886153846153846,119.54022988505747,10236.781609195403,1.0,0,0,0,304,9397,0.7041284403669725,10.213302752293577,22.376146788990827,0.9048205128205128,1.0,0.18761538461538457,278,31.77198697068404,4.495114006514658,307,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slohog_ttft.s20260821,full_prefill,5948dcd358744cf1,0.3888888888888889,0.3888888888888889,1.0,0.2080070285459729,0.3948480938060464,0.4057256437912239,0.001,0.0010000000000000002,0.0005625841015284514,0.20744444444444446,65.6934306569343,5169.70802919708,1.0,0,0,0,462,6923,0.8633879781420765,5.1602914389799635,13.537340619307832,0.93187950855456,1.0,0.20644444444444446,433,15.677215189873417,5.533755274261603,474,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slohog_ttft.s20260820,full_prefill,861bc58c1843f39e,0.3611111111111111,0.3611111111111111,1.0,0.2711625424560324,0.4264753762675985,0.4488655385468864,0.001,0.0010000000000000009,0.0006625424560324149,0.27049999999999996,59.60264900662252,5036.423841059603,1.0,0,0,0,498,9145,0.8611570247933884,5.028099173553719,16.036363636363635,0.9438118484040037,1.0,0.2695,472,18.61996161228407,5.293666026871401,521,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slohog_ttft.s20260822,full_prefill,f567cb396bc65f93,0.4166666666666667,0.4166666666666667,1.0,0.2546067853178193,0.4331176488527042,0.4531733070834646,0.001,0.0010000000000000009,0.0005512297622637038,0.25405555555555553,58.91980360065467,4469.721767594108,1.0,0,0,0,518,8553,0.8513071895424836,4.462418300653595,14.88562091503268,0.9516077200809059,1.0,0.25305555555555553,496,17.481765834932823,4.794625719769674,521,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slohog_ttft.s20260821,chunked_prefill_small,08bb845df182eec0,0.3333333333333333,0.3333333333333333,1.0,0.21611813965708404,0.4619234347465828,0.5116889631025215,0.001,0.0010000000000000002,0.0005625841015284514,0.21555555555555553,54.54545454545454,4292.424242424242,1.0,0,0,0,343,3905,0.5763993948562783,4.285930408472012,11.685325264750379,0.98084111178097,104.72222222222223,0.11083333333333334,343,18.30971128608924,5.593175853018373,381,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late12.slohog_ttft.s20260820,chunked_prefill_small,bee1030ff3745427,0.3333333333333333,0.3333333333333333,1.0,0.2935792091226991,0.5050181645046924,0.5361505775212874,0.001,0.0010000000000000009,0.0006625424560324148,0.29291666666666666,50.70422535211268,4284.507042253521,1.0,0,0,0,422,6318,0.6441631504922645,4.2784810126582276,14.780590717299578,0.8730922782918015,115.05555555555556,0.1778611111111111,370,21.847161572052403,4.864628820960698,458,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late12.slohog_ttft.s20260822,chunked_prefill_small,4273efac0a6dc0b4,0.3333333333333333,0.3333333333333333,1.0,0.28291234087337486,0.49755074013217737,0.6027256675293141,0.001,0.0010000000000000005,0.0005512297622637038,0.28236111111111106,46.75324675324675,3546.7532467532465,1.0,0,0,0,433,5940,0.5642023346303502,3.5421530479896237,13.137483787289234,0.9585036199693767,115.25,0.1671111111111111,426,21.708045977011494,4.31264367816092,435,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late12.slolate_ttft.s20260821,full_prefill,1c390ff722be9464,0.6666666666666666,0.6666666666666666,1.0,0.2080070285459729,0.3948480938060464,0.4057256437912239,0.001,0.0010000000000000002,0.0005625841015284514,0.20744444444444446,65.6934306569343,5169.70802919708,1.0,0,0,0,462,6923,0.8633879781420765,5.1602914389799635,13.537340619307832,0.93187950855456,1.0,0.20644444444444446,433,15.677215189873417,5.533755274261603,474,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slolate_ttft.s20260820,full_prefill,cfc886e02cb9bc5c,0.6666666666666666,0.6666666666666666,1.0,0.2711625424560324,0.4264753762675985,0.4488655385468864,0.001,0.0010000000000000009,0.0006625424560324149,0.27049999999999996,59.60264900662252,5036.423841059603,1.0,0,0,0,498,9145,0.8611570247933884,5.028099173553719,16.036363636363635,0.9438118484040037,1.0,0.2695,472,18.61996161228407,5.293666026871401,521,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slolate_ttft.s20260821,chunked_prefill_small,7e868ee9c0d7a43e,0.8333333333333334,0.8333333333333334,1.0,0.21611813965708404,0.4619234347465828,0.5116889631025215,0.001,0.0010000000000000002,0.0005625841015284514,0.21555555555555553,54.54545454545454,4292.424242424242,1.0,0,0,0,343,3905,0.5763993948562783,4.285930408472012,11.685325264750379,0.98084111178097,104.72222222222223,0.11083333333333334,343,18.30971128608924,5.593175853018373,381,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late12.slolate_ttft.s20260822,full_prefill,9bcc1a1f5846dad7,0.6666666666666666,0.6666666666666666,1.0,0.2546067853178193,0.4331176488527042,0.4531733070834646,0.001,0.0010000000000000009,0.0005512297622637038,0.25405555555555553,58.91980360065467,4469.721767594108,1.0,0,0,0,518,8553,0.8513071895424836,4.462418300653595,14.88562091503268,0.9516077200809059,1.0,0.25305555555555553,496,17.481765834932823,4.794625719769674,521,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slolate_ttft.s20260822,chunked_prefill_small,7b8f3a708d9adc22,0.7222222222222222,0.7222222222222222,1.0,0.28291234087337486,0.49755074013217737,0.6027256675293141,0.001,0.0010000000000000005,0.0005512297622637038,0.28236111111111106,46.75324675324675,3546.7532467532465,1.0,0,0,0,433,5940,0.5642023346303502,3.5421530479896237,13.137483787289234,0.9585036199693767,115.25,0.1671111111111111,426,21.708045977011494,4.31264367816092,435,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late40.slohog_ttft.s20260820,full_prefill,ef664237c1951e0f,0.640625,0.640625,1.0,0.3252965495397572,0.4387064134730961,0.45256262538075265,0.0009999999999999996,0.0010000000000000005,0.0005465495397571636,0.32475000000000004,97.70992366412213,8354.198473282442,1.0,0,0,0,526,20127,0.8064024390243902,8.341463414634147,31.585365853658537,0.9446738109787907,1.0,0.32375000000000004,500,39.16257088846881,5.274102079395085,529,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late12.slolate_ttft.s20260820,chunked_prefill_small,a6c618d9b36a2470,0.6666666666666666,0.6666666666666666,1.0,0.2935792091226991,0.5050181645046924,0.5361505775212874,0.001,0.0010000000000000009,0.0006625424560324148,0.29291666666666666,50.70422535211268,4284.507042253521,1.0,0,0,0,422,6318,0.6441631504922645,4.2784810126582276,14.780590717299578,0.8730922782918015,115.05555555555556,0.1778611111111111,370,21.847161572052403,4.864628820960698,458,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late40.slohog_ttft.s20260820,chunked_prefill_small,4fac8a83cfde14ff,0.625,0.625,1.0,0.3236715495397572,0.47997595952938105,0.5334080531589281,0.001,0.0010000000000000009,0.0005465495397571636,0.323125,88.39779005524862,7558.011049723757,1.0,0,0,0,482,16337,0.6744827586206896,7.547586206896551,28.435862068965516,0.9792526791170465,65.890625,0.257234375,482,41.49284253578732,5.40081799591002,489,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
pd2.hog24.late40.slohog_ttft.s20260821,full_prefill,5df682315df90091,0.65625,0.65625,1.0,0.2905716107260084,0.4052877401435596,0.40883711233216696,0.0010000000000000002,0.0010000000000000009,0.0005559857260083917,0.290015625,105.09031198686371,8927.750410509032,1.0,0,0,0,479,17952,0.7901639344262295,8.91311475409836,30.32295081967213,0.9329538525754085,1.0,0.289015625,450,38.365145228215766,5.873443983402489,482,success,prefill_control_composition,full_prefill,train,20261201,39b54d547d3f
pd2.hog24.late40.slohog_ttft.s20260821,chunked_prefill_small,5ec3dcd9df6ab942,0.625,0.625,1.0,0.2784309857260084,0.43650732438974427,0.4881359313827808,0.001,0.0010000000000000005,0.0005559857260083916,0.277875,89.88764044943821,7636.2359550561805,1.0,0,0,0,432,13804,0.6072931276297335,7.625525946704068,24.85273492286115,0.973810098662269,60.015625,0.21785937500000002,430,39.99076212471132,6.713625866050808,433,success,prefill_control_composition,chunked_prefill_small,train,20261201,39b54d547d3f
