fraction_prompts_gt_1024,fraction_urgent,kv_util_ratio,max_predicted_output,max_prompt_tokens,mean_predicted_output,mean_prompt_tokens,mean_slo_slack,min_slo_slack,n_decoding_active,n_prefilling_active,n_queued_requests,scenario_id,split,std_slo_slack
0.23076923076923078,0.0,0.0,128.0,16384.0,76.17307692307692,2947.576923076923,1.6261730769230769,0.098,0.0,0.0,52.0,pd2.hog12.late40.slohog_ttft.s20260822,train,0.8210521327295627
0.23076923076923078,0.0,0.0,128.0,16384.0,85.63461538461539,3000.0,0.6087115384615386,0.128,0.0,0.0,52.0,pd2.hog12.late40.slolate_ttft.s20260820,train,0.8062187223876672
0.23076923076923078,0.0,0.0,128.0,16384.0,80.07692307692308,2585.9615384615386,0.6031538461538462,0.128,0.0,0.0,52.0,pd2.hog12.late40.slolate_ttft.s20260821,train,0.8015444079212469
0.23076923076923078,0.0,0.0,128.0,16384.0,76.17307692307692,2947.576923076923,0.5992500000000001,0.12799999999999997,0.0,0.0,52.0,pd2.hog12.late40.slolate_ttft.s20260822,train,0.8100524169886977
0.6666666666666666,0.0,0.0,128.0,16384.0,84.5,7340.416666666667,0.7845,0.09799999999999999,0.0,0.0,36.0,pd2.hog24.late12.slohog_ttft.s20260820,train,0.9166963783063616
0.6666666666666666,0.0,0.0,128.0,16384.0,78.69444444444444,6680.972222222223,0.7786944444444446,0.098,0.0,0.0,36.0,pd2.hog24.late12.slohog_ttft.s20260821,train,0.9094783248117951
0.6666666666666666,0.0,0.0,128.0,16384.0,75.86111111111111,7347.361111111111,0.775861111111111,0.098,0.0,0.0,36.0,pd2.hog24.late12.slohog_ttft.s20260822,train,0.9164885024670637
0.6666666666666666,0.0,0.0,128.0,16384.0,84.5,7340.416666666667,1.4445000000000001,0.128,0.0,0.0,36.0,pd2.hog24.late12.slolate_ttft.s20260820,train,0.9083321253814598
0.6666666666666666,0.0,0.0,128.0,16384.0,78.69444444444444,6680.972222222223,1.4386944444444445,0.128,0.0,0.0,36.0,pd2.hog24.late12.slolate_ttft.s20260821,train,0.9154083733335281
0.6666666666666666,0.0,0.0,128.0,16384.0,75.86111111111111,7347.361111111111,1.4358611111111115,0.12799999999999997,0.0,0.0,36.0,pd2.hog24.late12.slolate_ttft.s20260822,train,0.9082801560207004
0.375,0.0,0.0,128.0,16384.0,85.5,4193.3125,1.35425,0.098,0.0,0.0,64.0,pd2.hog24.late40.slohog_ttft.s20260820,train,0.9433807390179216
0.375,0.0,0.0,128.0,16384.0,84.953125,3818.265625,1.3537031249999998,0.098,0.0,0.0,64.0,pd2.hog24.late40.slohog_ttft.s20260821,train,0.9447810705344568
0.375,0.0,0.0,128.0,16384.0,76.703125,4188.6875,1.3454531250000001,0.098,0.0,0.0,64.0,pd2.hog24.late40.slohog_ttft.s20260822,train,0.94820086100084
0.375,0.0,0.0,128.0,16384.0,85.5,4193.3125,0.8855,0.128,0.0,0.0,64.0,pd2.hog24.late40.slolate_ttft.s20260820,train,0.9308626879137438
0.375,0.0,0.0,128.0,16384.0,84.953125,3818.265625,0.884953125,0.128,0.0,0.0,64.0,pd2.hog24.late40.slolate_ttft.s20260821,train,0.9293666262179497
0.375,0.0,0.0,128.0,16384.0,76.703125,4188.6875,0.8767031249999999,0.128,0.0,0.0,64.0,pd2.hog24.late40.slolate_ttft.s20260822,train,0.9258809939674939
0.5,0.0,0.0,128.0,16384.0,81.5,6338.166666666667,1.1065000000000003,0.098,0.0,0.0,24.0,pd2.hog12.late12.slohog_ttft.s20260820,val,0.9847327894747218
0.5,0.0,0.0,128.0,16384.0,84.625,5432.041666666667,1.109625,0.09799999999999999,0.0,0.0,24.0,pd2.hog12.late12.slohog_ttft.s20260821,val,0.9848274304203419
0.5,0.0,0.0,128.0,16384.0,81.625,6225.875,1.1066250000000002,0.09799999999999998,0.0,0.0,24.0,pd2.hog12.late12.slohog_ttft.s20260822,val,0.9707271249129008
0.5,0.0,0.0,128.0,16384.0,81.5,6338.166666666667,1.1215000000000002,0.133,0.0,0.0,24.0,pd2.hog12.late12.slolate_ttft.s20260820,val,0.9507411144295099
