beneficial_states,disagreement_states,mean_oracle_headroom,source_dataset,window_index
10,11,0.0010598930481280665,azure_2023_code,1
5,5,2.1897810218984847e-05,azure_2023_code,3
5,8,2.0245320068128583e-05,azure_2023_code,5
4,17,1.2974337344083787e-05,azure_2023_code,7
215,263,0.0048300617097550656,azure_2023_code,11
37,37,0.0002474096869146564,azure_2023_code,13
2,3,4.343425824406231e-06,azure_2023_code,15
1,1,8.771929824565733e-06,azure_2023_code,17
4,4,3.4403669724740633e-05,azure_2023_code,19
26,32,9.004979995772921e-05,azure_2023_code,21
2,7,8.134690190440433e-06,azure_2023_code,23
1,3,9.090909090909288e-05,azure_2023_code,25
2,2,1.3687751097819431e-05,azure_2023_code,27
0,2,0.0,azure_2023_code,29
77,80,0.00017164185179799644,azure_2023_code,31
7,12,4.609529746744164e-05,azure_2023_code,33
16,18,0.0007992927743694382,azure_2023_code,35
50,53,0.0014512252987343222,azure_2023_code,37
2,5,1.0670731707316388e-05,azure_2023_code,39
2,3,7.6048098797502446e-06,azure_2023_conv,1
1,2,1.4084507042266825e-05,azure_2023_conv,2
6,7,0.0012371591529702314,azure_2023_conv,3
3,5,9.240981609492938e-06,azure_2023_conv,5
5,10,4.14411354928923e-05,azure_2023_conv,6
1,2,0.0001339285714285765,azure_2023_conv,7
2,4,0.0002782814096016495,azure_2023_conv,10
4,11,0.00022127075143953755,azure_2023_conv,11
1,1,1.8867924528293e-05,azure_2023_conv,13
1,1,0.0005493827160493736,azure_2023_conv,14
2,3,7.156659765356066e-05,azure_2023_conv,15
93,95,0.00023626528653115887,azure_2023_conv,18
2,3,1.8209619127037186e-05,azure_2023_conv,21
1,2,2.5423728813506186e-05,azure_2023_conv,22
0,5,0.0,azure_2023_conv,23
0,2,0.0,azure_2023_conv,25
0,1,0.0,azure_2023_conv,26
