policy,prompt_bucket,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,long,180,180,0,1.6200636489061355,0.022066864960490623
edf,medium,180,180,0,1.6183195844176226,0.01877728197561939
edf,short,180,180,0,1.2094800419012446,0.017395436977514892
estimated_service_time_first,long,180,180,0,1.6226977952012223,0.021618777603402528
estimated_service_time_first,medium,180,180,0,1.6184598309126967,0.01870860591394982
estimated_service_time_first,short,180,180,0,1.2167125887269827,0.017466080823861477
fifo,long,180,180,0,1.620831172084177,0.022079951742651045
fifo,medium,180,180,0,1.601955960028378,0.01866182244913135
fifo,short,180,180,0,1.20762248313242,0.01721947731760641
least_laxity_first,long,180,180,0,1.6224956021479253,0.022214625295277478
least_laxity_first,medium,180,180,0,1.6289737614243576,0.019028236140406482
least_laxity_first,short,180,180,0,1.2387890757194124,0.01693925199150625
selector,long,180,167,0,1.5362451755571385,0.021898083194315122
selector,medium,180,169,0,1.522770543093311,0.01910734212524726
selector,short,180,147,0,1.0878679943247223,0.01691715547349304
shortest_output_first,long,180,180,0,1.62742625073782,0.02135054142628279
shortest_output_first,medium,180,180,0,1.6119317482917621,0.018704218874659596
shortest_output_first,short,180,180,0,1.2324279492507533,0.017719637963131793
vllm_direct,long,180,180,0,1.598106163443299,0.0217244395213331
vllm_direct,medium,180,180,0,1.5941164928362317,0.018513682343958258
vllm_direct,short,180,180,0,1.209915758183019,0.01768860638516748
