policy,point_estimate_wg,ci_low_2.5pct,ci_high_97.5pct,n_boot
edf,0.22773972602739725,0.19665201348798617,0.26244977851035334,2000
estimated_service_time_first,0.22773972602739725,0.19635383681518073,0.26143934487259585,2000
fifo,0.24143835616438356,0.2080855183813107,0.2752758630902278,2000
least_laxity_first,0.22345890410958905,0.1909944828770691,0.2593948660175424,2000
selector,0.21232876712328766,0.18211624740864507,0.2463393626184324,2000
shortest_output_first,0.24315068493150685,0.20995747745276225,0.2780726464047442,2000
vllm_direct,0.23972602739726026,0.20678167959711446,0.2740102815486129,2000
selector_minus_edf,-0.01538750174366097,-0.05916146141411841,0.03017380226709969,2000
selector_minus_estimated_service_time_first,-0.01543282295165643,-0.06252676843365637,0.03174896254870054,2000
selector_minus_fifo,-0.028661228935146294,-0.07460776151591585,0.018483770080429836,2000
selector_minus_least_laxity_first,-0.011349531153204499,-0.058406780654758836,0.03476698863429076,2000
selector_minus_shortest_output_first,-0.03125820069913239,-0.07752489100510504,0.015112076847491723,2000
selector_minus_vllm_direct,-0.026929332468200732,-0.07332191552845156,0.018697344748358664,2000
