policy,concurrency_level,n_total,n_success,n_failed,mean_latency_s,mean_ttft_s
edf,1,135,135,0,1.4309705669262998,0.015531914717414313
edf,2,135,135,0,1.4684752413507172,0.018541380975619647
edf,4,135,135,0,1.5012851104588696,0.02071370865063121
edf,8,135,135,0,1.5297534482307835,0.022865774207834706
estimated_service_time_first,1,135,135,0,1.4279501679801831,0.015676276060252417
estimated_service_time_first,2,135,135,0,1.4861981945845333,0.018399832844389258
estimated_service_time_first,4,135,135,0,1.4953334529556472,0.020398727340054594
estimated_service_time_first,8,135,135,0,1.5343451376008388,0.022583116210255497
fifo,1,135,135,0,1.4179720778768468,0.01555509462616303
fifo,2,135,135,0,1.4780780014508679,0.018457515621816533
fifo,4,135,135,0,1.502325621692688,0.02043237535032892
fifo,8,135,135,0,1.5088371193062307,0.02283668308087659
least_laxity_first,1,135,135,0,1.4366909817736424,0.015444875787081267
least_laxity_first,2,135,135,0,1.5011018246709784,0.018416715383581403
least_laxity_first,4,135,135,0,1.5087331945309415,0.020831736932612126
least_laxity_first,8,135,135,0,1.5404852514133651,0.022882823132978822
selector,1,135,113,0,1.2682019330533345,0.014857929867004103
selector,2,135,120,0,1.3415400797515757,0.019468203314075557
selector,4,135,123,0,1.470072520276384,0.021092793298979874
selector,8,135,127,0,1.4858835690341319,0.02175904345500657
shortest_output_first,1,135,135,0,1.4268727078844137,0.015629365598282742
shortest_output_first,2,135,135,0,1.49252657386802,0.018507999182178603
shortest_output_first,4,135,135,0,1.5173235393784665,0.020539993890647396
shortest_output_first,8,135,135,0,1.5256584432428806,0.02235517234765683
vllm_direct,1,135,135,0,1.4087356528939887,0.015387555109595673
vllm_direct,2,135,135,0,1.4654614603685872,0.01847621811364122
vllm_direct,4,135,135,0,1.4964506446379582,0.020818004147925725
vllm_direct,8,135,135,0,1.4988701280495325,0.022553860296115832
