policy,regime,n_total,n_completed,n_failed,n_dropped,n_declined_admission,n_never_admitted,completion_fraction,ttft_stats,server_latency_stats,total_wall_time_stats,mean_output_tokens,conditional_weighted_goodput,arrival_normalized_weighted_goodput,slo_violation_rate_among_completed,request_throughput_per_sec,output_token_throughput_per_sec,policy_wall_clock_seconds
edf,bursty_tight,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018903837974196196, 'p50': 0.01757949049351737, 'p95': 0.02776480383181479, 'p99': 0.029825635640881958}","{'count': 180, 'mean': 1.4961848011172454, 'p50': 1.3402203754812945, 'p95': 2.8567803428770278, 'p99': 2.87385538843635}","{'count': 180, 'mean': 2.5870816666666667, 'p50': 1.8036, 'p95': 8.003744999999999, 'p99': 11.25652100000002}",274.6277777777778,0.17204301075268819,0.17204301075268819,0.7555555555555555,0.3830455603908411,105.19495103778027,469.91799047699897
edf,overloaded_mixed_priority,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018853648400141133, 'p50': 0.01717938599176705, 'p95': 0.028449986237683317, 'p99': 0.03338434329489246}","{'count': 180, 'mean': 1.4858704169044763, 'p50': 1.3325112014717888, 'p95': 2.8767361903970596, 'p99': 2.882918602972641}","{'count': 180, 'mean': 2.566667222222222, 'p50': 1.9687000000000001, 'p95': 7.499379999999992, 'p99': 11.183894000000022}",272.25555555555553,0.1047008547008547,0.1047008547008547,0.7833333333333333,0.3830455603908411,104.28628184729754,469.91799047699897
edf,steady_moderate,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.020482097539287578, 'p50': 0.01849836399196647, 'p95': 0.03563510690582916, 'p99': 0.04044947969960049}","{'count': 180, 'mean': 1.465808057203281, 'p50': 1.3398021790198982, 'p95': 2.8193992754124335, 'p99': 2.8846350092161446}","{'count': 180, 'mean': 2.683257222222222, 'p50': 1.85355, 'p95': 6.695789999999991, 'p99': 11.072935000000015}",272.3611111111111,0.46646341463414637,0.46646341463414637,0.4111111111111111,0.3830455603908411,104.3267144342277,469.91799047699897
estimated_service_time_first,bursty_tight,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.01896149854259824, 'p50': 0.01823334049549885, 'p95': 0.027252679862431246, 'p99': 0.02857807760825381}","{'count': 180, 'mean': 1.4878636851124207, 'p50': 1.3441588369896635, 'p95': 2.8825947291974443, 'p99': 2.904154927478521}","{'count': 180, 'mean': 2.5778616666666667, 'p50': 1.78755, 'p95': 7.971824999999999, 'p99': 11.26031400000002}",273.30555555555554,0.17204301075268819,0.17204301075268819,0.7555555555555555,0.38247940190705904,104.53374542676538,470.613578411052
estimated_service_time_first,overloaded_mixed_priority,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.018507971776287175, 'p50': 0.017413444496924058, 'p95': 0.0267287787690293, 'p99': 0.02982679385459052}","{'count': 180, 'mean': 1.5027237343475766, 'p50': 1.3380060135095846, 'p95': 2.8466939871083015, 'p99': 2.8599715006595945}","{'count': 180, 'mean': 2.5950544444444446, 'p50': 2.0023999999999997, 'p95': 7.047884999999985, 'p99': 11.20253700000002}",276.30555555555554,0.1047008547008547,0.1047008547008547,0.7833333333333333,0.38247940190705904,105.68118363248657,470.613578411052
estimated_service_time_first,steady_moderate,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.020323994022328408, 'p50': 0.0186937160033267, 'p95': 0.03565447457658592, 'p99': 0.03915707657695748}","{'count': 180, 'mean': 1.4672827953809044, 'p50': 1.3435665589931887, 'p95': 2.823529648422846, 'p99': 2.880157292835065}","{'count': 180, 'mean': 2.687727777777778, 'p50': 1.85845, 'p95': 6.587879999999991, 'p99': 11.042512000000015}",272.30555555555554,0.46646341463414637,0.46646341463414637,0.4111111111111111,0.38247940190705904,104.15126602485833,470.613578411052
fifo,bursty_tight,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.01870920179676937, 'p50': 0.017643486993620172, 'p95': 0.02646925041917711, 'p99': 0.030197941542137417}","{'count': 180, 'mean': 1.4824653896079527, 'p50': 1.3332552099891473, 'p95': 2.825198346184334, 'p99': 2.851638784990646}","{'count': 180, 'mean': 2.544048888888889, 'p50': 1.6846999999999999, 'p95': 7.091349999999984, 'p99': 11.169936000000021}",273.9888888888889,0.1935483870967742,0.1935483870967742,0.7055555555555556,0.3825110131105147,104.80376746991314,470.5746862979722
fifo,overloaded_mixed_priority,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.01879809781870184, 'p50': 0.017872403957881033, 'p95': 0.027487346628913646, 'p99': 0.029704089555889372}","{'count': 180, 'mean': 1.4942958298042262, 'p50': 1.327912857523188, 'p95': 2.86643540324003, 'p99': 2.868052991689765}","{'count': 180, 'mean': 2.561863888888889, 'p50': 1.9034, 'p95': 7.077059999999985, 'p99': 11.14961200000002}",276.24444444444447,0.13247863247863248,0.13247863247863248,0.7277777777777777,0.3825110131105147,105.66654231059574,470.5746862979722
fifo,steady_moderate,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.020453951893917594, 'p50': 0.01828226901125163, 'p95': 0.03640899206220637, 'p99': 0.04338087338139303}","{'count': 180, 'mean': 1.4536483958327961, 'p50': 1.325094573025126, 'p95': 2.852284705123748, 'p99': 2.8745115024875854}","{'count': 180, 'mean': 2.6743005555555555, 'p50': 1.9139, 'p95': 6.753884999999992, 'p99': 10.823881000000014}",271.9277777777778,0.45121951219512196,0.45121951219512196,0.4222222222222222,0.3825110131105147,104.01536977066868,470.5746862979722
least_laxity_first,bursty_tight,180,180,0,0,0,0,1.0,"{'count': 180, 'mean': 0.019155977632423552, 'p50': 0.017735360481310636, 'p95': 0.027556706857285448, 'p99': 0.032527151465183125}","{'count': 180, 'mean': 1.5001186690820356, 'p50': 1.3595103374973405, 'p95': 2.8437745135946897, 'p99': 2.900442696174723}","{'count': 180, 'mean': 2.5929105555555556, 'p50': 1.8139500000000002, 'p95': 7.959134999999997, 'p99': 11.317990000000021}",274.65555555555557,0.17204301075268819,0.17204301075268819,0.7555555555555555,0.3791589420977504,104.13810988571436,474.73494625795865
