policy,n_total,n_completed,n_failed,n_dropped,n_declined_admission,n_never_admitted,completion_fraction,ttft_stats,server_latency_stats,total_wall_time_stats,mean_output_tokens,conditional_weighted_goodput,arrival_normalized_weighted_goodput,slo_violation_rate_among_completed,request_throughput_per_sec,output_token_throughput_per_sec,policy_wall_clock_seconds
edf,540,540,0,0,0,0,1.0,"{'count': 540, 'mean': 0.01941319463787497, 'p50': 0.017771460494259372, 'p95': 0.033120224668527945, 'p99': 0.037021774352760994}","{'count': 540, 'mean': 1.4826210917416676, 'p50': 1.337402317498345, 'p95': 2.8404007583420023, 'p99': 2.882966450577951}","{'count': 540, 'mean': 2.6123353703703702, 'p50': 1.8820000000000001, 'p95': 7.352549999999994, 'p99': 11.835149000000026}",273.0814814814815,0.22773972602739725,0.22773972602739725,0.65,1.1491366811725232,313.8079473193055,469.91799047699897
estimated_service_time_first,540,540,0,0,0,0,1.0,"{'count': 540, 'mean': 0.019264488113737942, 'p50': 0.01787412297562696, 'p95': 0.02942402799380943, 'p99': 0.03691503458889201}","{'count': 540, 'mean': 1.4859567382803005, 'p50': 1.3441588369896635, 'p95': 2.8466939871083015, 'p99': 2.88333710901381}","{'count': 540, 'mean': 2.6202146296296296, 'p50': 1.9412500000000001, 'p95': 7.324169999999995, 'p99': 11.820402000000025}",273.97222222222223,0.22773972602739725,0.22773972602739725,0.65,1.1474382057211772,314.36619508411025,470.613578411052
fifo,540,540,0,0,0,0,1.0,"{'count': 540, 'mean': 0.019320417169796267, 'p50': 0.01811833248939365, 'p95': 0.02952409007702954, 'p99': 0.038279548191349044}","{'count': 540, 'mean': 1.4768032050816584, 'p50': 1.328297937521711, 'p95': 2.8345123418810543, 'p99': 2.8679543787660076}","{'count': 540, 'mean': 2.5934044444444444, 'p50': 1.8992, 'p95': 7.053419999999993, 'p99': 11.633769000000022}",274.0537037037037,0.24143835616438356,0.24143835616438356,0.6185185185185185,1.1475330393315442,314.48567955117755,470.5746862979722
least_laxity_first,540,540,0,0,0,0,1.0,"{'count': 540, 'mean': 0.019394037809063406, 'p50': 0.017854535981314257, 'p95': 0.030107048214995255, 'p99': 0.03968236096436158}","{'count': 540, 'mean': 1.4967528130972318, 'p50': 1.3513239720195998, 'p95': 2.8511529376206455, 'p99': 2.9357234613836054}","{'count': 540, 'mean': 2.64301, 'p50': 1.9568, 'p95': 7.273239999999995, 'p99': 11.812406000000024}",274.60370370370373,0.22345890410958905,0.22345890410958905,0.6555555555555556,1.1374768262932513,312.35534937726123,474.73494625795865
selector,540,483,57,57,57,0,0.8944444444444445,"{'count': 483, 'mean': 0.01940567819300391, 'p50': 0.017343074025120586, 'p95': 0.027232209726935252, 'p99': 0.04853153723059224}","{'count': 483, 'mean': 1.3950678287092046, 'p50': 1.3087544119916856, 'p95': 2.7890544987516477, 'p99': 2.808986246625427}","{'count': 483, 'mean': 2.378203105590062, 'p50': 1.6619, 'p95': 5.63277, 'p99': 9.920634000000002}",262.12422360248445,0.2505050505050505,0.2240628507295174,0.6211180124223602,1.1670558968206304,305.9136208548089,413.861924965051
shortest_output_first,540,540,0,0,0,0,1.0,"{'count': 540, 'mean': 0.019258132754691393, 'p50': 0.018393117003142834, 'p95': 0.028511693130712945, 'p99': 0.038313539494411096}","{'count': 540, 'mean': 1.4905953160934453, 'p50': 1.3369509075128008, 'p95': 2.8326271575846476, 'p99': 2.9689141827175627}","{'count': 540, 'mean': 2.611299259259259, 'p50': 1.9007999999999998, 'p95': 7.133894999999987, 'p99': 11.830297000000025}",274.72777777777776,0.24315068493150685,0.24315068493150685,0.6166666666666667,1.1418493765946698,313.69774178879453,472.9170160870417
vllm_direct,540,540,0,0,0,0,1.0,"{'count': 540, 'mean': 0.019308909416819613, 'p50': 0.018077754008118063, 'p95': 0.029930251828045568, 'p99': 0.03740469474520069}","{'count': 540, 'mean': 1.4673794714875166, 'p50': 1.3207015114603564, 'p95': 2.7964509185170754, 'p99': 2.8464425700349967}","{'count': 540, 'mean': 2.5734044444444444, 'p50': 1.8488, 'p95': 6.898124999999999, 'p99': 11.482915000000018}",274.7037037037037,0.23972602739726026,0.23972602739726026,0.6203703703703703,1.1563465562552973,317.6526817683533,466.98802973801503
