active_sequence_capacity_binding_states,active_sequence_capacity_near_binding_states,canonical_action_collapse_states,completion_fraction,disagreement_rate,disagreement_states,kv_capacity_binding_or_over_requested_states,kv_capacity_near_binding_states,max_active_sequences,max_kv_utilization,max_queue_length,mean_active_sequences,mean_kv_utilization,mean_queue_length,no_policy_choice_states,policy_ranking_proxy_difference_states,requests,sbs_arrival_normalized_weighted_goodput,sbs_decision_states,scenario_id,schema_version,source_dataset,token_budget_binding_proxy_states,true_canonical_disagreement_states,unique_alternative_canonical_action_hashes,window_index,windows_with_disagreement
0,0,3,1.0,0.0,0,0,0,7,0.00200875,2,1.3405308142150247,0.0003796548582995951,0.0449842555105713,4446,3,200,1.0,4446,PUBLIC_TRACE::azure_2023_code::w0::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,0,0
0,0,9,1.0,0.0,0,0,0,7,0.002230625,3,1.8260553129548762,0.0004475774502668608,0.048520135856380396,4122,9,200,1.0,4122,PUBLIC_TRACE::azure_2023_code::w2::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,2,0
0,0,6,1.0,0.0,0,0,0,4,0.002165625,2,1.1201759648070386,0.0003171630673865227,0.03999200159968006,5001,6,200,1.0,5001,PUBLIC_TRACE::azure_2023_code::w4::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,4,0
0,0,7,1.0,0.0,0,0,0,7,0.001768,3,1.5482946402980797,0.0003174703711665234,0.05732301519059903,3489,7,200,1.0,3489,PUBLIC_TRACE::azure_2023_code::w6::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,6,0
0,0,7,1.0,0.0,0,0,0,6,0.00161,3,1.3247466216216217,0.0002636114336993243,0.028153153153153154,7104,7,200,1.0,7104,PUBLIC_TRACE::azure_2023_code::w8::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,8,0
0,0,12,1.0,0.0,0,0,0,8,0.002275625,3,1.7902952154733627,0.00041228881065490325,0.0678656260604004,2947,12,200,1.0,2947,PUBLIC_TRACE::azure_2023_code::w10::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,10,0
0,0,11,1.0,0.0,0,0,0,7,0.001790375,3,1.3085890622321275,0.00036679390965198007,0.0342876735813475,5833,11,200,1.0,5833,PUBLIC_TRACE::azure_2023_code::w12::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,12,0
0,0,9,1.0,0.0,0,0,0,9,0.0021925,3,1.3497474747474747,0.000422088489057239,0.04208754208754209,4752,9,200,1.0,4752,PUBLIC_TRACE::azure_2023_code::w14::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,14,0
0,0,15,1.0,0.0,0,0,0,6,0.001458625,3,1.4763038818766372,0.0003642223148368659,0.04763038818766373,4199,15,200,1.0,4199,PUBLIC_TRACE::azure_2023_code::w16::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,16,0
0,0,9,1.0,0.0,0,0,0,7,0.001864,4,1.357960054295133,0.00038029462381229396,0.03878223773511732,5157,9,200,1.0,5157,PUBLIC_TRACE::azure_2023_code::w18::faithful,industry_realism_action_opportunity_phase_a_v1.0.0,azure_2023_code,0,0,0,18,0
