scenario_id,split,method,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,favored_violations,favored_total,other_violations,other_total,jains_fairness_index,mean_ttft,status,predicted_alpha_or_choice,switch_count,frac_alpha_intermediate,frac_alpha_near_0,frac_alpha_near_1,mean_alpha
fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260817,,estimated_service_time_first,0.6583333333333333,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favlong.noise0.00.s20260817,,weighted_fair_share,0.6583333333333333,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260817,,estimated_service_time_first,0.7083333333333334,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favlong.noise0.30.s20260817,,weighted_fair_share,0.7416666666666667,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,,estimated_service_time_first,0.85,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favshort.noise0.00.s20260817,,weighted_fair_share,0.7583333333333333,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,,estimated_service_time_first,0.925,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew1.0000.favshort.noise0.30.s20260817,,weighted_fair_share,0.8333333333333334,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew10.0000.favshort.noise0.00.s20260817,,estimated_service_time_first,0.9727272727272728,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew10.0000.favshort.noise0.00.s20260817,,weighted_fair_share,0.9727272727272728,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew10.0000.favshort.noise0.30.s20260817,,estimated_service_time_first,0.9863636363636363,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew10.0000.favshort.noise0.30.s20260817,,weighted_fair_share,0.9863636363636363,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260817,,estimated_service_time_first,0.4305555555555556,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favlong.noise0.00.s20260817,,weighted_fair_share,0.5444444444444444,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favlong.noise0.30.s20260817,,estimated_service_time_first,0.5138888888888888,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favlong.noise0.30.s20260817,,weighted_fair_share,0.5722222222222222,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favshort.noise0.00.s20260817,,estimated_service_time_first,0.95,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favshort.noise0.00.s20260817,,weighted_fair_share,0.9361111111111111,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favshort.noise0.30.s20260817,,estimated_service_time_first,0.975,,,,,,,,,from_family_a_v2_csv,,0,,,,
fs2.util1.1000.skew5.0000.favshort.noise0.30.s20260817,,weighted_fair_share,0.975,,,,,,,,,from_family_a_v2_csv,,0,,,,
